well,E,N,cluster,beta1,beta2,beta3,sy,mean_head,winter_head,summer_head,head_swing,P_eff,recharge_m_mon,et_draw_m_mon,drainage_m_mon,lateral_inflow_m_mon,storage_change_mm
nw1,241725.0,364139.0,3.0,1.3669090017644332,5.5998170434436245,0.1383438349761759,0.173,11.51676244486982,11.746101497274008,11.306878779020039,0.4392227182539692,0.08187363877822045,0.1119138138531591,0.2942435324091013,1.5932730831328903,1.7756028016888326,75.98553025793667
nw2,241703.008,364112.082,3.0,1.7195218338684803,4.974298454761458,0.1936939184900408,0.2036,12.044106343481227,12.263779941792041,11.84487637036347,0.4189035714285705,0.08187363877822045,0.14078350949741114,0.2613755301701904,2.3328701523796362,2.4534621730524155,85.28876714285695
nw3,242091.94,363939.361,2.0,1.2046937621866585,4.518423061478501,0.3233068729447888,0.2539,10.342351520143882,10.565795120302088,10.134553689016542,0.43124143128554593,0.08187363877822045,0.09863266192364588,0.23742146434673328,3.3437533288735017,3.482542131296589,109.49219940340012
nw4,242431.164,363744.512,2.0,1.5538069435064157,3.798096044032725,0.2646482343503263,0.2329,9.056256311566504,9.226034596315344,8.893409373507643,0.33262522280770135,0.08187363877822045,0.12721582842373505,0.19957173381828425,2.396722242680074,2.469078148074623,77.46841439191364
nw4b,242414.677,363751.66,2.0,1.4946469798385946,4.035833362580789,0.2904107338213731,0.2125,9.124711162392689,9.311443647703939,8.94353306869961,0.3679105790043291,0.08187363877822045,0.12237218692826324,0.21206368986833984,2.6499140645785353,2.7396055675186117,78.18099803841993
nw5,241711.757,363023.697,3.0,1.4329320196623023,3.882078452900556,0.1584767029208028,0.2543,5.238208387169388,5.40877559104345,5.08724316644169,0.32153242460176035,0.08187363877822045,0.11731935857157721,0.20398460667712676,0.8301339944107007,0.9167992425162501,81.76569557622766
nw6,241444.307,363316.599,3.0,1.3015127538300189,3.40581651540234,0.1939027021183179,0.2375,6.164083896587299,6.340537092824086,6.007472704727662,0.3330643880964237,0.08187363877822045,0.10655958507232591,0.17895932571628664,1.1952325236322874,1.267632264276248,79.10279217290064
nw7,241423.695,363584.862,3.0,0.9121396836495876,3.895456842516416,0.1140693557288841,0.2649,7.438334602478376,7.595074296125959,7.298212776344881,0.29686151978107755,0.08187363877822045,0.0746801949744066,0.2046875768970422,0.8484860358005736,0.9784934177232093,78.63861659000746
nw9,240937.259,363567.162,3.0,1.0907304610889983,3.146050011343358,0.113963737129785,0.2821,4.609689903096048,4.737975462578604,4.488890445147206,0.24908501743139855,0.08187363877822045,0.08930207177560248,0.1653098416058425,0.5253374883662622,0.6013452581965022,70.26688341739754
nw10,241435.0,364325.025,4.0,1.5317094535108091,4.118611036530953,0.0993855017137576,0.2098,11.024697552313702,11.15721292880518,10.90318503983065,0.2540278889745302,0.06222396547144754,0.09530903614754636,0.2164132596844149,1.0956950974791326,1.216799321016001,53.295051106856434
nw11,241689.0,364237.0,3.0,1.9743886245082416,4.938791364211896,0.1561335849987218,0.2025,11.579784067874298,11.787480272918154,11.389692479490925,0.3977877934272289,0.08187363877822045,0.1616503810508153,0.25950980283163294,1.807993200028296,1.9058526218091139,80.55202816901385
ceh2,241421.0,363979.0,4.0,0.9392051100783384,4.2219900702896656,0.1212965855529796,0.1818,11.611496558873915,11.726509547578676,11.509987405855208,0.21652214172346795,0.06222396547144754,0.05844106634012161,0.22184533216717897,1.408434885751578,1.5718391515786354,39.363725365326474
ceh1,241595.864,363948.335,3.0,2.35882253944819,4.633988915647414,0.118141216942512,0.2323,10.323267260040783,10.53458978121926,10.137440614552593,0.3971491666666669,0.08187363877822045,0.19312538453670577,0.24349389580167685,1.2196033569240097,1.2699718681889807,92.25775141666671
