Cluster,Cluster_Label,n_wells,n_boot_success,beta_1_median,beta_1_lo,beta_1_hi,beta_2_median,beta_2_lo,beta_2_hi,beta_3_median,beta_3_lo,beta_3_hi,R2_median,LCSC_median,LCSC_lo,LCSC_hi,beta_1_frac_positive
1,C1 (Lake Edge),7,1000,4.327412109224749,3.9763543576039373,4.715791411873713,1.488861893615669,1.1253254582133703,1.728397775144818,0.07465590883986463,0.06525350698143256,0.08735601268519659,0.748292115674673,23.108499370057658,21.20534842745881,25.14866407938999,1.0
2,C2 (Dune),26,1000,3.5435402750629077,3.365865249263096,3.7948084829110384,2.0628342365438463,1.8929943808005036,2.285899394705913,0.04880876361043493,0.045069860632240014,0.054017998659745374,0.7601798909476228,28.22036519053723,26.35179099300484,29.710042634715837,1.0
3,C3 (Western Residual),19,1000,3.2846141341804014,2.9666445738752834,3.60331734856866,1.8747674386129356,1.697517217651657,2.0400693180998495,0.04971122273341723,0.04050286846383775,0.059345425933726846,0.7973197141665194,30.444976741843735,27.752204518520603,33.70811619423938,1.0
4,C4 (Main Forest),9,1000,2.1533495320525886,1.8747263890829897,2.422493037806099,2.264898051979652,2.0275587206798993,2.53966313622913,0.015629670880309775,0.002989777305650182,0.02483597257218017,0.616327123202366,46.4392791764745,41.27978839966028,53.341120381855966,1.0
5,C5 (Coastal Forest),5,1000,2.233207930689602,2.0476853584836596,2.4487804125497226,1.39268747155676,1.1882294789194396,1.5934888976176727,0.03808730808576541,0.034709988760767994,0.044530701028399615,0.7171824115460956,44.778633742860016,40.836723335983564,48.83562779100566,1.0
