Cluster,Cluster_Label,Block,n_wells,beta_1,beta_1_boot_lo,beta_1_boot_hi,pvalue_beta_1,beta_2,pvalue_beta_2,beta_3,pvalue_beta_3,R2,LCSC_percent,LCSC_boot_lo,LCSC_boot_hi,beta_1_frac_positive,amplitude_heterogeneous,post2018_amp_lo_m,post2018_amp_hi_m,n
1,C1 (Lake Edge),Lake Edge,7,4.327412109224749,3.9763543576039373,4.715791411873713,1.2130745847206935e-63,1.4770528360663118,6.105058688869796e-10,0.07491153667757375,1.0202110274287338e-23,0.7577635286843727,23.108499370057658,21.20534842745881,25.14866407938999,1.0,False,0.853,1.233,235
2,C2 (Dune),Eastern Block,26,3.5345270585385924,3.365865249263096,3.7948084829110384,1.1346027016979289e-63,2.0711042604710013,7.211136832370543e-21,0.048614022977628436,2.0423808583357214e-14,0.7727641462948003,28.292328321104048,26.35179099300484,29.710042634715837,1.0,True,0.779,1.3729999999999998,247
3,C3 (Western Residual),Western Block,19,3.2868698971619703,2.9666445738752834,3.60331734856866,2.4161135415423273e-73,1.8795101696413696,1.39874349988455e-23,0.04956368000334157,2.922590317642633e-17,0.8097891132616093,30.42408222070014,27.752204518520603,33.70811619423938,1.0,True,0.6429999999999998,1.275,247
4,C4 (Main Forest),Forest,9,2.1971608390651287,1.8747263890829897,2.422493037806099,2.4071193189063267e-32,2.1953219328496827,4.841978923982588e-18,0.01732846442680856,0.04995061493438263,0.5992008173419097,45.51328160506859,41.27978839966028,53.341120381855966,1.0,True,0.906,1.488,235
5,C5 (Coastal Forest),Coastal Forest,5,2.233207930689602,2.0476853584836596,2.4487804125497226,1.5307832395579895e-49,1.4551606504220378,1.5235248430144277e-17,0.03625497807405743,1.0263329473557751e-09,0.7033850581344105,44.778633742860016,40.836723335983564,48.83562779100566,1.0,False,0.5800000000000001,0.7989999999999998,237
