Parameter,Well,Era,Value,Unit,Note
canopy_index_restock_first_frame,,2006-01-01,0.5707633252420002,index,"texture position between in-frame open and conifer references; NOT a canopy fraction, and its upper anchor is conifer so a closed broadleaf canopy reads below 1"
canopy_index_restock_plateau_median,,2009-2026,1.1294002881499297,index,median of every frame after the first
