Well,Well_Normalized,TLM_NSE,SSM_NSE,dNSE,Cluster,beta_2_atmospheric_draw,beta_3_drainage
CEH1,ceh1,-0.004036223474079392,0.8284933927458416,0.8325296162199209,3,2.2765657537244035,0.0653459645254704
CEH10,ceh10,-0.4507372927933071,0.801376244539676,1.252113537332983,2,1.6254014500656877,0.1039497151028528
CEH11,ceh11,-0.5723072257803028,0.7197974246319117,1.2921046504122145,1,0.7627397667776663,0.0906962911965706
CEH13,ceh13,0.33050072754423176,0.223015649652198,-0.10748507789203376,4,2.646802861361249,0.000876361233039
CEH14,ceh14,0.4278271870888002,-3.2142506506168314,-3.6420778377056315,4,3.723129009579993,-0.0164277619128858
CEH16,ceh16,0.07106794748046852,0.7970577109866481,0.7259897635061796,5,1.4682724342583355,0.0363651201950211
CEH17,ceh17,0.6440023148396713,0.7842450572380087,0.14024274239833745,5,1.2064831207524456,0.0545736892458355
CEH18,ceh18,-0.6100037122837447,0.714745065719063,1.3247487780028078,3,1.6062179382718451,0.0543382072570442
CEH19,ceh19,-0.29598414577643006,0.7766637357426894,1.0726478815191194,5,0.8728825898142347,0.0420341053016217
CEH2,ceh2,0.515859181486967,0.6757954691705753,0.15993628768360835,4,2.872773657929504,0.0176085074317177
CEH20,ceh20,0.19346494176575513,0.7030763454520592,0.5096114036863041,4,2.1282105029826326,0.0277572611637268
CEH21,ceh21,0.47434898966100913,0.7869884822330472,0.31263949257203805,3,1.1354303247595303,0.0414289120135802
CEH23,ceh23,-0.4953875281634501,0.5922489980877532,1.0876365262512033,1,0.6536734353921935,0.0884124070599396
CEH24,ceh24,0.12779486297015952,0.8043918182192422,0.6765969552490827,2,1.591878406364519,0.0736811217170886
CEH25,ceh25,-1.477955455627594,0.6825101395491759,2.16046559517677,1,0.4032873813240932,0.1332625805970834
CEH26,ceh26,-0.1530475717178379,0.6325663576727036,0.7856139293905415,1,0.5489867009743243,0.0864849356398357
CEH27,ceh27,-0.5684045917817042,0.7180128168606112,1.2864174086423155,1,0.8346176382473078,0.0982072673717791
CEH28,ceh28,0.25334478558252727,0.40451932886555897,0.1511745432830317,2,1.476676753808988,0.071183529206416
CEH30,ceh30,0.35259647313149156,0.7065984682786315,0.3540019951471399,4,2.1793006256310687,0.0230304558243931
CEH31,ceh31,0.3747420890792881,0.6501914721689175,0.2754493830896294,5,1.342169779413224,0.0385029092017627
CEH32,ceh32,0.40759983970027713,0.6363066018428492,0.22870676214257202,4,2.633225982890826,0.0120412420052634
