Cluster,n,median_dNSE,median_TLM_NSE
C1,7,1.2864174086423155,-0.5684045917817042
C2,24,0.5259520140290661,0.21031967815613867
C3,21,0.5265057238293881,0.1033500468455616
C4,9,0.22870676214257202,0.40759983970027713
C5,5,0.7259897635061796,0.07106794748046852
