,Max Temp ©,Min Temp (C),af Days,Rain (mm),Sun (hrs)
Dec 30,8.6,5.5,0,130.3,31.5
Jan 31,8,4.2,0,66.2,63.8
Feb 31,7.6,3.7,0,60.6,74.1
Mar 31,8.5,2.4,6,32.5,130.3
Apr 31,9.9,5.6,0,47.1,119
May 31,12.9,8,0,86,197.1
Jun 31,15.5,10.8,0,104.2,150.2
Jul 31,16.5,12.3,0,43.5,150.8
Aug 31,16.9,12.4,0,69.8,209.2
Sep 31,14.8,11.1,0,78.3,123.8
Oct 31,13.4,8.7,0,50,128.5
Nov 31,11.6,8,0,155.8,53.3
Dec 31,10,6.7,0,57.7,14.7
Jan 32,9.8,6.5,0,122.6,53
Feb 32,7.6,3.5,1,5.4,105
Mar 32,8.7,3.8,2,37.5,119.5
Apr 32,9.9,5.2,0,45.4,181.3
May 32,12.3,8,0,64.2,164.9
Jun 32,16.8,11.3,0,35.5,249.8
Jul 32,17,13.2,0,91.4,154.9
Aug 32,18.4,13.5,0,38.5,152.3
Sep 32,16,11.7,0,68.4,129.1
Oct 32,12.6,8.9,0,133,92
Nov 32,10.3,6.8,0,89,60.6
Dec 32,9.3,6.6,0,110.2,38.9
Jan 33,6.9,3.1,3,99.7,102.5
Feb 33,7.5,3.7,2,52.1,82.8
Mar 33,11,5.3,0,55.4,148.9
Apr 33,11.5,6.5,0,22.8,175.1
May 33,13.8,8.8,0,37.9,154.7
Jun 33,16.8,11.6,0,35.4,200.7
Jul 33,18.7,13.6,0,36,178.5
Aug 33,19.7,14.1,0,36.7,209.1
Sep 33,18.3,12.9,0,23.9,209
Oct 33,13.7,10,0,88.5,88.6
Nov 33,9.8,6.5,1,46,79.4
Dec 33,6.7,2.9,2,59.1,45.9
Jan 34,8.7,5.3,0,90,62.1
Feb 34,8,4.2,0,6.6,90
Mar 34,8.6,3.7,0,49.4,119.7
Apr 34,10.1,5.5,0,30.6,153.8
May 34,12.7,8,0,98.4,182.6
Jun 34,16.1,11,0,39.4,239.7
Jul 34,19.6,13.9,0,10.6,255
Aug 34,17.7,12.6,0,71.1,174.3
Sep 34,17.3,11.9,0,93.2,155.8
Oct 34,13.2,9.6,0,121.7,69.6
Nov 34,10.1,6.7,0,69.9,49
Dec 34,10.7,8.1,0,240.5,26.9
Jan 35,8.5,5.3,0,46.2,45.4
Feb 35,8.9,5.4,0,85,53.2
Mar 35,9.9,5.1,0,23.1,135.6
