Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases
D38,242711.571,363069.196,4.771,4.661,0.11,4.881,False,1153.4,
D39,243000.256,362899.535,3.522,3.392,0.13,3.652,False,1073.8,
ceh38,241130.0,363261.0,4.465,,0.0,4.465,False,258.4,Nr fence CEH4
ceh39,241719.0,363435.0,7.85,,0.04,7.89,False,770.8,SW CEH9
ceh35,241081.0,363212.0,4.35,,0.04,4.39,False,189.6,nr path CEH4
ceh36,241161.0,363306.0,5.31,,0.03,5.34,False,312.9,N CEH4
nw13,241761.0,364180.0,12.09,,0.05,12.14,True,1371.3,1d
Nw8b,241272.0,363487.0,7.33,,0.0,7.33,True,523.8,
L7,242812.0,364395.0,10.86,10.86,0.06,10.92,False,2211.9,
wmc4,241761.0,364180.0,12.09,,0.04,12.13,True,1371.3,
L4,242897.825,364328.678,,9.246,0.12,9.366,False,2222.3,
FE2,241135.0,363595.0,8.54,,0.06,8.6,False,538.9,
FE1,241338.0,363744.0,8.7,,0.1,8.8,False,770.9,
FE3,241104.1,363546.1,7.54,,0.06,7.6,False,671.5,
LIS1,241406.0,363720.0,8.55,,0.03,8.58,True,790.4,
FE4,241223.2,363692.4,9.13,,0.06,9.19,False,501.1,
p2,242303.0,364558.0,9.0,,0.03,9.03,True,2005.6,
pw,242056.0,363286.0,6.88,,0.03,6.91,True,888.0,
pe,242739.0,362823.0,5.15,,0.03,5.18,True,956.8,
pdfs,240651.0,363372.0,3.547,,0.03,3.577,True,6871.5,
p1,241243.0,363283.0,6.825,,0.03,6.855,True,347.6,
llyn rhos,242560.208,364820.878,7.34,7.34,0.0,7.34,False,,Llyn Rhos Ddu
d29b,243601.797,363438.979,3.849,3.799,0.05,3.899,False,1765.6,co-located with D29 (nominal +1 m E)
