date,well,h_m,source
2026-03-30,D38,0.04,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,D41,0.04,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,T41a,0.3999,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,T41b,0.25,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,T41c,0.26,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,T41d,-0.14,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,D43,-0.02,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,D44,-0.14,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,FE1,-0.32,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,FE2,-1.25,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,FE3,-1.59,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,FE4,-1.13,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,LIS1,-0.34,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,p2,-0.06,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,pe,-0.24,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
2026-03-30,pw,-0.39,"Newborough_well_records.ods sheet 'depth from surface', column 30/03/2026"
