Parameter,Well,Era,Value,Unit,Note
head_dem_r_raw,,,0.7479045402257651,,Figure 54 head surface regressed on the LiDAR DEM at the 50 m grid cells inside the convex hull of the reference network (region reference_hull in 20_head_vs_dem.csv); DEM smoothed by a square mean filter of the stated width (0 = native). T-66.
head_dem_slope_raw,,,0.6471557505940144,m/m,Figure 54 head surface regressed on the LiDAR DEM at the 50 m grid cells inside the convex hull of the reference network (region reference_hull in 20_head_vs_dem.csv); DEM smoothed by a square mean filter of the stated width (0 = native). T-66.
head_dem_n_cells,,,1269.0,cells,Figure 54 head surface regressed on the LiDAR DEM at the 50 m grid cells inside the convex hull of the reference network (region reference_hull in 20_head_vs_dem.csv); DEM smoothed by a square mean filter of the stated width (0 = native). T-66.
head_dem_headline_smoothing_m,,,300.0,m,config.HEAD_DEM_HEADLINE_SMOOTHING_M
head_dem_r_smoothed,,,0.9180444345281139,,Figure 54 head surface regressed on the LiDAR DEM at the 50 m grid cells inside the convex hull of the reference network (region reference_hull in 20_head_vs_dem.csv); DEM smoothed by a square mean filter of the stated width (0 = native). T-66. Width 300 m.
head_dem_slope_smoothed,,,0.9942942607694665,m/m,Figure 54 head surface regressed on the LiDAR DEM at the 50 m grid cells inside the convex hull of the reference network (region reference_hull in 20_head_vs_dem.csv); DEM smoothed by a square mean filter of the stated width (0 = native). T-66. Width 300 m.
wells_wt_ground_slope,,,0.9768047350932366,m/m,"Mean head (2005-2026 maOD) on surveyed ground elevation at the reference wells. Slack floors are cut to the water table, so this is the slack-formation relation, not topographic control. T-66."
wells_wt_ground_intercept,,,-0.5692756737158912,m,"Mean head (2005-2026 maOD) on surveyed ground elevation at the reference wells. Slack floors are cut to the water table, so this is the slack-formation relation, not topographic control. T-66."
wells_wt_ground_r,,,0.9858126232213938,,"Mean head (2005-2026 maOD) on surveyed ground elevation at the reference wells. Slack floors are cut to the water table, so this is the slack-formation relation, not topographic control. T-66."
wells_wt_ground_n,,,66.0,wells,"Mean head (2005-2026 maOD) on surveyed ground elevation at the reference wells. Slack floors are cut to the water table, so this is the slack-formation relation, not topographic control. T-66."
well_spacing_median_m,,,122.55654625049569,m,Median nearest-neighbour spacing of the reference wells: the finest relief the Delaunay head surface can carry. T-66.
