well,Cluster,Cluster_Label,basis,fit_start,fit_end,pastas_gain,pastas_gain_se,pastas_efold_months,pastas_efold_months_se,pastas_f_evap,pastas_f_evap_se,pastas_base_level_m,pastas_base_level_m_se,pastas_beta_1_recharge,pastas_beta_2_atmospheric_draw,pastas_beta_3_drainage,pastas_R2,pastas_n_obs,pastas_ar1_gain,pastas_ar1_gain_se,pastas_ar1_efold_months,pastas_ar1_efold_months_se,pastas_ar1_f_evap,pastas_ar1_f_evap_se,pastas_ar1_base_level_m,pastas_ar1_base_level_m_se,pastas_ar1_beta_1_recharge,pastas_ar1_beta_2_atmospheric_draw,pastas_ar1_beta_3_drainage,pastas_ar1_R2,pastas_ar1_n_obs,pastas_ar1_ar1_alpha_days,ssmA_beta_1_recharge,ssmA_beta_2_atmospheric_draw,ssmA_beta_3_drainage,ssmA_gain,ssmA_efold_months,ssmA_inv_beta3_months,ssmA_f_evap,ssmA_base_level_m,ssmA_R2,ssmB_beta_1_recharge,ssmB_beta_2_atmospheric_draw,ssmB_beta_3_drainage,ssmB_gain,ssmB_efold_months,ssmB_inv_beta3_months,ssmB_f_evap,ssmB_base_level_m,ssmB_R2,identified,ident_reason
Ceh32,4,C4 (Main Forest),comparison_window,2017-10,2026-02,58.717229897972075,25.08914830426479,18.629818879126137,7.570638793247779,-0.7224762293021938,0.20932047342486598,-3.7626605528208192,1.2869883283030104,3.068691048160886,2.2170563373686734,0.052262190391016206,0.5541703460663533,100,240.8411022423052,125.58078850522801,101.33649853646635,60.79457875984201,-1.052184814146543,0.2089812362653506,-5.080886386293263,1.479231984832783,2.364959134492014,2.4883740873896487,0.009819582755906331,0.6535987838085312,100,337.32921006800024,2.347496406801463,2.5195061749780163,0.015188123836651,154.5613159366423,65.33964155769708,65.84091693977794,-1.0732737088236577,-3.7,0.6686148114566896,2.33541791254775,2.5300297584157123,0.0165490681564119,141.1208105782619,59.92497239489019,60.426363016249475,-1.083330629958069,-3.4471683120465872,0.6675584201485415,False,response time longer than the window allows
Ceh32,4,C4 (Main Forest),full_record,2010-07,2026-02,78.07995337606258,12.119021729967331,20.59405219245038,3.45164451614401,-0.4695055637382931,0.09699950589411445,-5.581084636636402,0.7235126490028437,3.700805233322057,1.7375486473564978,0.04739763631130234,0.6529835386817509,186,135.5824696017435,44.56073011051871,55.67467363562517,19.165997599409337,-0.9813394595602682,0.13286526228715317,-4.468167776231627,1.1086259476017377,2.4135228263557176,2.368485186052291,0.017801142237968803,0.6036801726704065,186,496.9249281021169,2.367982617021545,2.4254441013131296,0.0217103148582714,109.0717768249855,45.55922558264763,46.06105468889644,-1.024266007646568,-3.7,0.6747232342276923,2.450301270757787,2.3501798899406845,0.012150361463269286,201.66488693896738,81.80105952775845,82.30207825693203,-0.9591391548410949,-6.08336279143659,0.6754171661298323,True,
D10,2,C2 (Dune),comparison_window,2017-10,2026-02,23.847938436866347,3.1886438899808214,6.530237345672351,0.7921530361971295,-0.8478496852858084,0.10504790978538484,-1.0330759263712013,0.2022514129362875,3.3860514569917597,2.8708626621720166,0.14198508042763514,0.8763618833445411,100,25.964397342599813,6.209901308368479,6.79173941289095,1.4576428315350762,-0.7653023670532755,0.14101283735271053,-1.2140721264035494,0.3637934275326897,3.554816582436031,2.7205095449785297,0.1369111917188095,0.8750707005108657,100,82.20295981962124,4.118714008731284,1.966828777390396,0.0589498765081065,69.86806847958195,16.45850102212072,16.96356395017189,-0.4775346802960597,-3.7,0.7775616826869336,3.4201867738613645,2.951879395241426,0.1725436695847974,19.822151586850875,5.279860426530761,5.795634243819912,-0.8630754957012997,-0.8948987391591237,0.7995057640434547,True,
D10,2,C2 (Dune),full_record,2010-03,2026-02,25.14536577260405,1.9207016899468867,6.573754528352347,0.5024594487623881,-0.728516419690856,0.060769701513148866,-1.2757581930856294,0.12629827030958674,3.548384567441364,2.5850564207586695,0.14111485191865214,0.8669112484916853,189,25.25123173324557,3.761667001322721,6.663252339139848,0.9353783419359335,-0.7253397848201852,0.08493928754357445,-1.2835881864637775,0.2173811165835614,3.5189656097378696,2.5524457581568982,0.13935817654014981,0.8668222529750995,189,94.96684310937371,3.935726459338983,1.9056552437997796,0.0576298532351855,68.2931890053132,16.847171624706764,17.352117762976658,-0.48419402707164766,-3.7,0.7700667517376466,3.4041722495963977,2.730760694769832,0.17235912573129863,19.75046134141672,5.286084326531996,5.801839593680477,-0.8021805286420491,-1.0057624151853117,0.8013076519319114,True,
D15,2,C2 (Dune),comparison_window,2017-10,2026-02,32.18940126307381,4.534754462567604,7.765517446822939,1.047049960248897,-0.6930599604034897,0.09538404093549818,-1.4846732015233428,0.2871166000657903,3.889372366802618,2.6955682585306495,0.12082773255134527,0.8598100164337559,100,31.583837048919065,8.654793875314494,7.561360996542801,1.9085257720643192,-0.6799254908107618,0.13205529311607012,-1.4946967183221826,0.49724966148843247,3.9125811746306804,2.6602636754977125,0.12387922241906912,0.8592408536003039,100,118.55793636457126,4.360609835025985,2.016898739180815,0.062273278493851,70.02377168012057,15.552894326967337,16.05825201733585,-0.46252676012890664,-3.7,0.7962137633297125,3.777344953274127,2.860064498008196,0.1514625826590888,24.93912943354568,6.088610085468755,6.602290694136617,-0.757162645558529,-1.11842901048312,0.812200198681208,True,
D15,2,C2 (Dune),full_record,2010-03,2026-02,34.80182986444237,2.6898722362813334,8.161195959974597,0.6523451197682633,-0.6357996487490948,0.05736591082183601,-1.7429419508202488,0.17491347211388383,4.0134018147302974,2.5517194640945027,0.11532157447935976,0.8607704163724547,190,32.10306409391967,5.368118057567988,7.723960150507277,1.23021869277349,-0.667506620693159,0.07717106168967325,-1.5796690752092186,0.29806028101240395,3.8984886474668454,2.602266982881238,0.1214366527774905,0.8599069587810206,190,139.4911722083524,4.250011165379194,2.084889048269548,0.0608428002883915,69.85232673766454,15.930567716066108,16.435798406057174,-0.4905608402286469,-3.7,0.8075819177128079,3.8181176294776895,2.7443760588095305,0.14210073669001977,26.86909102946156,6.524493809304454,7.03726119436954,-0.7187772418590873,-1.3031966235423185,0.8256840001703204,True,
D17,2,C2 (Dune),comparison_window,2017-10,2026-02,22.142740333086138,3.6204818941670673,5.983212485528419,0.9146305486872095,-0.6957378909515375,0.11999547124693698,-1.116394700834734,0.24583331298036493,3.4080782077957674,2.371129144489723,0.15391402132388043,0.8056987561599768,100,24.830342158655277,6.913789483149892,6.182950841287673,1.5830856824092356,-0.5954894788575599,0.15860615464914468,-1.3538734670780053,0.4569504884327031,3.7080009074173645,2.2080755279613253,0.14933345999522774,0.802648991627763,100,67.87708007889398,4.322432365587284,1.3811049595745413,0.0719667612377934,60.06151022004524,13.389080249662904,13.89530364852447,-0.31952031697941724,-3.7,0.6767563828512431,3.494339603507251,2.6531428910717723,0.2190842471431742,15.949752887635311,4.043867783528051,4.564454145105595,-0.7592687580820211,-0.8298175672285,0.7067780928254407,True,
D17,2,C2 (Dune),full_record,2010-03,2026-02,26.371426204385013,2.15823539330676,6.6965916475453,0.5615076515478966,-0.609680912483438,0.061611181158195194,-1.431037326308745,0.147524417758225,3.6581096121615597,2.2302796063070955,0.13871489481874488,0.8370230354272112,191,25.226521503979868,3.9227918795000054,6.282851732276974,0.9407135025813184,-0.594620533667199,0.08709966154522568,-1.4056436663232386,0.2489406900469016,3.711906138352262,2.2071756089095738,0.14714300335726638,0.8365654987302691,191,79.51865236677313,4.12886016775877,1.5618380638196097,0.0663440993114807,62.23402247687579,14.567210369014965,15.072930530039649,-0.3782734218067277,-3.7,0.7127437059059478,3.5727140497382184,2.5068548442158196,0.19179670859579193,18.62760876292016,4.696122069096672,5.213853810742299,-0.7016668026929004,-1.0158073980671394,0.7456909877288436,True,
D25,3,C3 (Western Residual),comparison_window,2016-01,2026-02,31.386593007173968,4.187576271173802,7.097782736754244,0.9739760937258195,-0.4962987054049313,0.09087079276581747,-2.0057415288451055,0.2953332400796781,4.124648416091589,2.0470576691567564,0.13141434035700617,0.8278219926867536,100,28.684630504194434,9.720028196916283,7.914183565857736,2.472122318133641,-0.5682650004020372,0.13715744634119342,-1.7208586853180885,0.5842856743332719,3.404820961011726,1.9348405847781933,0.11869844237714178,0.8004788266707622,100,199.2037242247561,3.7014372439504655,1.5497579579631335,0.0593844952892552,62.330027828327594,16.33431087639021,16.839412293210753,-0.4186908640680099,-3.7,0.7021518342187636,3.2959329669594286,2.1673776827585,0.1274087873477485,25.86896112560538,7.337398373702585,7.8487522000394545,-0.6575915543446123,-1.4809908361654083,0.7208029149940289,True,
D25,3,C3 (Western Residual),full_record,2010-03,2026-02,34.34002814474155,2.583403009279829,7.52894730666565,0.6092905452512252,-0.47442189652886335,0.05287816449214966,-2.2062855937556263,0.17970079830860272,4.271141168078604,2.0263228933023556,0.12437791693343847,0.8681182980838686,170,32.02079483553476,6.7920027172379065,8.342227294788652,1.6907543801582368,-0.5381174417671419,0.08336652035099604,-1.9606636660967014,0.3976801525344299,3.6172638800326813,1.9465127853198723,0.11296608652632378,0.8501624908548561,170,166.4421292836068,3.807097102862853,1.601721032266589,0.061475501164014,61.92868753856404,15.76135566235434,16.266642500921513,-0.42071977388286996,-3.7,0.7537384106608057,3.4982646386548244,2.1369677228254993,0.125430666466275,27.890026715240456,7.461366682742815,7.972531982590348,-0.6108650841370367,-1.6662957512958387,0.7688422464283482,True,
