kind,old,new,typed_refs,documents
section,3.4.5,3.8.2,25,Newborough_Methods_Supplement.md;report16.md;report9.md
section,3.4.6,3.4.5,1,report9.md
section,3.8.2,3.8.3,2,report10.md;report8.md;report9.md;Supplementary_Material.md
