kind,old,new,typed_refs,documents
table,23,24,,
table,22,23,,
table,21,22,,
table,20,21,,
table,19,20,,
table,18,19,,
table,17,18,,
table,16,17,,
table,15,16,,
table,14,15,,
table,13,14,,
table,12,13,,
table,11,12,,
table,10,11,,
table,9,10,,
table,8,9,,
table,7,8,,
table,6,7,,
table,5,6,,
table,4,5,,
