kind,old,new,typed_refs,documents
figure,41,63,2,report10.md;report9.md
figure,42,65,1,report9.md
figure,43,41,6,Newborough_Methods_Supplement.md;report9.md
figure,44,42,4,Newborough_Methods_Supplement.md;report9.md
figure,45,43,5,report10.md;report9.md
figure,46,44,1,report9.md
figure,47,45,0,
figure,48,46,4,DECISION_LOG.md;report10.md
figure,49,47,7,PIPELINE_README.md;report10.md;report9.md
figure,50,48,10,DECISION_LOG.md;Newborough_Methods_Supplement.md;report10.md;report12.md;report9.md
figure,51,49,5,Newborough_Methods_Supplement.md;PIPELINE_README.md;report12.md;report9.md
figure,52,66,1,report9.md
figure,53,67,2,report10.md;report9.md
figure,54,68,4,report10.md;report9.md
figure,55,69,5,Newborough_Methods_Supplement.md;report10.md;report9.md
figure,56,70,2,report10.md;report9.md
figure,57,50,13,Newborough_Methods_Supplement.md;Supplementary_Material.md;report10.md;report8.md;report9.md
figure,58,51,13,Newborough_Methods_Supplement.md;Supplementary_Material.md;academic_Summary.md;report10.md;report8.md;report9.md
figure,59,52,4,report8.md;report9.md
figure,60,53,10,report10.md;report8.md;report9.md
figure,61,54,3,report8.md;report9.md
figure,62,55,17,Newborough_Methods_Supplement.md;Supplementary_Material.md;report10.md;report8.md;report9.md
figure,63,56,41,Newborough_Methods_Supplement.md;PIPELINE_README.md;Supplementary_Material.md;readme.md;report10.md;report8.md;report9.md
figure,64,57,14,Supplementary_Material.md;report10.md;report8.md;report9.md
figure,65,58,24,Newborough_Methods_Supplement.md;Supplementary_Material.md;report.md;report10.md;report12.md;report8.md;report9.md
figure,66,59,10,Newborough_Methods_Supplement.md;Supplementary_Material.md;report10.md;report8.md;report9.md
figure,67,60,3,report8.md;report9.md
figure,68,61,4,report8.md;report9.md
figure,69,71,2,report10.md;report9.md
figure,70,72,2,report10.md;report12.md
figure,71,73,7,Newborough_Methods_Supplement.md;Supplementary_Material.md;report10.md
figure,72,74,4,report10.md;report8.md;report9.md
figure,73,75,2,report10.md
figure,74,76,2,report10.md;report12.md
section,4.8.2,4.10.2,21,report.md;report10.md;report11.md;report12.md;report8.md;report9.md
section,4.8.3,4.10.5,3,report10.md;report8.md
section,4.8.4,4.8.2,1,report8.md
section,4.8.5,4.8.3,11,report10.md;report9.md
section,4.8.6,4.8.4,3,Supplementary_Material.md;report11.md
section,4.9.4,4.10.6,7,report10.md;report9.md
section,4.9.5,4.9.4,10,Supplementary_Material.md;report10.md;report8.md;report9.md
section,4.9.6,4.9.5,7,report10.md;report8.md;report9.md
section,4.9.7,4.9.6,8,report10.md;report11.md;report8.md
section,4.9.8,4.9.7,15,report10.md;report11.md;report12.md;report8.md
section,4.9.8.1,4.9.7.1,0,
section,4.10,4.11,2,Supplementary_Material.md
section,4.10.1,4.11.1,4,report10.md;report12.md;report9.md
section,4.10.2,4.11.2,9,Newborough_Methods_Supplement.md;report10.md;report9.md
