kind,old,new,why
section,4.10.6,4.10.5,"renumber_plan.csv mapped old 4.9.4 (Coastal-Margin Processes and the Easting Gradient) to 4.10.6; the fold of 4.10.4 into 4.10.2 put that heading at 4.10.5"
section,4.10.5,4.10.4,"renumber_plan.csv mapped old 4.8.3 (Independent transect estimate) to 4.10.5; the same fold puts that heading at 4.10.4"
