kind,old,new,typed_refs,documents
table,20,23,,
table,19,22,,
table,18,21,,
table,17,20,,
table,16,19,,
table,15,18,,
table,14,17,,
table,13,16,,
table,12,15,,
table,11,14,,
table,10,13,,
table,9,12,,
table,8,11,,
table,7,10,,
table,6,9,,
table,5,8,,
