kind,old,new,typed_refs,documents
figure,50,51,,
figure,51,52,,
figure,52,53,,
figure,53,54,,
figure,54,55,,
figure,55,56,,
figure,56,57,,
figure,57,58,,
figure,58,59,,
figure,59,60,,
figure,60,61,,
figure,61,62,,
figure,62,63,,
figure,63,64,,
figure,64,65,,
figure,65,66,,
figure,66,67,,
figure,67,68,,
figure,68,69,,
figure,69,70,,
figure,70,71,,
figure,71,72,,
figure,72,73,,
figure,73,74,,
figure,74,75,,
figure,75,76,,
figure,76,77,,
figure,77,78,,
figure,78,79,,
figure,79,80,,
figure,80,81,,
figure,81,82,,
figure,82,83,,
