Easting,Northing,Thickness_m
241600,362350,10.712504603235445
241650,362350,10.666956887898646
241700,362350,10.621987170224463
241750,362350,10.578225356524353
241800,362350,10.53601257155804
241850,362350,10.495250202038909
241900,362350,10.45534601383154
241950,362350,10.415283864448778
242000,362350,10.373797635982125
242050,362350,10.329612156303812
242100,362350,10.28171646278929
242150,362350,10.229618854582151
242200,362350,10.173501421382745
242250,362350,10.114204828264695
242300,362350,10.053057265109974
242350,362350,9.991643640288753
242400,362350,9.931615125250346
242450,362350,9.874576770366756
242500,362350,9.822022671400413
242550,362350,9.775252102110409
242600,362350,9.735215568010828
242650,362350,9.702321248525035
242700,362350,9.676330709288282
242750,362350,9.65645943664584
242800,362350,9.64164436648442
242850,362350,9.630820651791586
242900,362350,9.623088497691494
242950,362350,9.617759868652605
243000,362350,9.614334579575166
243050,362350,9.612453701332841
243100,362350,9.611855825579218
241550,362400,10.77399896197108
241600,362400,10.724832443708745
241650,362400,10.675577795434908
241700,362400,10.627411038209713
241750,362400,10.581433470782015
241800,362400,10.5383304054938
241850,362400,10.49806750125317
241900,362400,10.459771395726657
241950,362400,10.421846104577828
242000,362400,10.382255243759891
242050,362400,10.338887244385434
242100,362400,10.289989049405298
242150,362400,10.23463072236332
242200,362400,10.173019267557946
242250,362400,10.106452783960028
242300,362400,10.036937872317226
242350,362400,9.966730030138574
242400,362400,9.89803405316381
242450,362400,9.832916519494503
242500,362400,9.773336516117507
242550,362400,9.721128533813491
242600,362400,9.67776481274979
242650,362400,9.64389731813039
242700,362400,9.619026250885398
242750,362400,9.601691371030721
242800,362400,9.590080233530694
242850,362400,9.58257637173896
242900,362400,9.577985063181773
242950,362400,9.575510502201958
243000,362400,9.574644467771968
243050,362400,9.575060013625956
243100,362400,9.576536949181033
243150,362400,9.578916380307962
243200,362400,9.582074978012072
241500,362450,10.843120670549022
241550,362450,10.790687549322774
241600,362450,10.736599615330867
241650,362450,10.682299800972586
241700,362450,10.629694908203863
241750,362450,10.580763274677803
241800,362450,10.536903818015809
241850,362450,10.498292085888945
241900,362450,10.463625845975171
241950,362450,10.430381818402386
242000,362450,10.395315696291815
242050,362450,10.354957471732273
242100,362450,10.306231755280152
242150,362450,10.247365228397321
242200,362450,10.178649474771012
242250,362450,10.102332371801992
242300,362450,10.021671987759476
242350,362450,9.939953865684055
242400,362450,9.860037182734354
242450,362450,9.784409262706989
242500,362450,9.715500399107748
242550,362450,9.655952756576319
242600,362450,9.608345607263004
242650,362450,9.574038753909928
242700,362450,9.552039666326634
242750,362450,9.539430871205045
242800,362450,9.532980757571917
242850,362450,9.530267769811433
242900,362450,9.529834727930865
242950,362450,9.530901299773717
243000,362450,9.533065781448787
243050,362450,9.53611388015627
243100,362450,9.53991726321235
243150,362450,9.54438504036639
243200,362450,9.54944234015656
243250,362450,9.555021685774062
241450,362500,10.920133227503841
241500,362500,10.866090898874463
241550,362500,10.808246782521675
241600,362500,10.747536726414687
241650,362500,10.68596213700179
241700,362500,10.626614891025524
241750,362500,10.573141718936952
241800,362500,10.528471978738931
241850,362500,10.4933224994481
241900,362500,10.465621428394849
241950,362500,10.441270437795925
242000,362500,10.41521430193575
242050,362500,10.381875354160067
242100,362500,10.335672957207844
242150,362500,10.272938439667737
242200,362500,10.194197665783365
242250,362500,10.103931146098347
242300,362500,10.007902631576705
242350,362500,9.91096171261708
242400,362500,9.816550067240703
242450,362500,9.727211045634343
242500,362500,9.645495576468265
242550,362500,9.575104660505877
242600,362500,9.521217928367392
242650,362500,9.487585208359015
242700,362500,9.472156825056974
242750,362500,9.468334318362308
242800,362500,9.47008994216561
242850,362500,9.474080610483846
242900,362500,9.47893402948976
242950,362500,9.484213800236878
243000,362500,9.489832864673687
243050,362500,9.495803921363942
243100,362500,9.502149722984763
243150,362500,9.50887746121558
243200,362500,9.515976092064857
243250,362500,9.523420499488438
243300,362500,9.531176645657498
241350,362550,11.051984727028824
241400,362550,11.003472946007356
241450,362550,10.95045457429821
241500,362550,10.89194750382518
241550,362550,10.827464197404181
241600,362550,10.757675035749466
