Easting,Northing,Head_maOD
241600,362350,0.0
241650,362350,3.0941045817472848
241700,362350,3.3046960883850156
241750,362350,3.107214049263262
241800,362350,0.0
241850,362350,3.1157989407519757
241900,362350,3.3209264825758957
241950,362350,3.11971871940706
242000,362350,0.0
242050,362350,3.1189538326657202
242100,362350,3.3184324130344702
242150,362350,3.1135506880982544
242200,362350,0.0
242250,362350,3.10356718353596
242300,362350,3.297697346804484
242350,362350,3.089037870622496
242400,362350,0.0
242450,362350,3.0699117852322764
242500,362350,3.2582962651950442
242550,362350,3.045994002910603
242600,362350,0.0
242650,362350,3.0169399470169873
242700,362350,3.199296668352047
242750,362350,2.982405479061259
242800,362350,0.0
242850,362350,2.942286602994709
242900,362350,3.1186898591767016
242950,362350,2.89675150763657
243000,362350,0.0
243050,362350,2.846104054398072
243100,362350,3.0158534768527003
241550,362400,3.3091826435562193
241600,362400,3.165922042194398
241650,362400,3.3272171700156665
241700,362400,3.4239284750352175
241750,362400,3.3406952598787956
241800,362400,3.193439948953569
241850,362400,3.3492723326505627
241900,362400,3.440509040119664
241950,362400,3.3528117445563996
242000,362400,3.201456164820874
242050,362400,3.3514400030355955
242100,362400,3.4372914523983744
242150,362400,3.345387807634745
242200,362400,3.190039150672472
242250,362400,3.33472169008811
242300,362400,3.415625350532533
242350,362400,3.319288118275427
242400,362400,3.159784813637559
242450,362400,3.2988969854179695
242500,362400,3.3743020274922575
242550,362400,3.2734820184394517
242600,362400,3.1099750981591265
242650,362400,3.2429871079056634
242700,362400,3.3129568402847553
242750,362400,3.2069898251394693
242800,362400,3.0378576071699457
242850,362400,3.164916991215899
242900,362400,3.228986013913064
242950,362400,3.1165974035168924
243000,362400,2.9416525665621975
243050,362400,3.0622220984400776
243100,362400,3.1198534492813863
243150,362400,3.0020483124102197
243200,362400,2.8232744231375784
241500,362450,3.5737299234012547
241550,362450,3.5652673179886176
241600,362450,3.5535165086324074
241650,362450,3.583818900526848
241700,362450,3.61052663021133
241750,362450,3.597471607946374
241800,362450,3.5808326239397834
241850,362450,3.6056842056736054
