scenario,season,cluster,n_wells,dh_mean_m,dh_median_m,we_mean_mm,we_median_mm,sy_mean
ukcp18_2080s,summer,C2,19,-0.1291,-0.1296,-34.20672119995126,-33.52303703762273,0.26353666867841014
ukcp18_2080s,summer,C3,26,-0.1249,-0.1274,-37.22395108275402,-37.57126978659886,0.30462007979112854
ukcp18_2080s,summer,C4,9,-0.1163,-0.1139,-28.395244282595563,-26.88772607552234,0.24619287974820014
ukcp18_2080s,summer,C5,5,-0.0697,-0.0725,-21.46849726297946,-21.831459053659195,0.3098746019448432
ukcp18_2080s,summer,SITE,66,-0.1194,-0.1228,-32.49377076707558,-32.372821790454616,0.27517718110395767
ukcp18_2080s,msl5,C1,7,-0.0162,-0.0162,,,
ukcp18_2080s,msl5,C2,19,-0.0289,-0.0289,,,
ukcp18_2080s,msl5,C3,26,-0.0299,-0.0299,,,
ukcp18_2080s,msl5,C4,9,-0.0392,-0.0392,,,
ukcp18_2080s,msl5,C5,5,-0.0196,-0.0196,,,
ukcp18_2080s,msl5,SITE,66,-0.0287,-0.0287,,,
clearfell,annual,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
clearfell,annual,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
clearfell,annual,C3,26,0.0043,0.0,1.3158358979930338,0.0,0.30462007979112854
clearfell,annual,C4,9,0.0363,0.0346,9.004187540633733,8.916777299707451,0.24619287974820014
clearfell,annual,C5,5,0.0384,0.0373,11.882874585813838,11.498870699332905,0.3098746019448432
clearfell,annual,SITE,66,0.0096,0.0,2.646421123372601,0.0,0.27517718110395767
clearfell,winter,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
clearfell,winter,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
clearfell,winter,C3,26,0.0051,0.0,1.5645119512478358,0.0,0.30462007979112854
clearfell,winter,C4,9,0.0457,0.0433,11.308277275752939,11.289141027554827,0.24619287974820014
clearfell,winter,C5,5,0.0453,0.0434,14.01364724967446,13.651699759349368,0.3098746019448432
clearfell,winter,SITE,66,0.0117,0.0,3.2200006433726136,0.0,0.27517718110395767
clearfell,summer,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
clearfell,summer,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
clearfell,summer,C3,26,0.0035,0.0,1.067159844738232,0.0,0.30462007979112854
clearfell,summer,C4,9,0.0269,0.0256,6.7000978055145275,6.583552213902696,0.24619287974820014
clearfell,summer,C5,5,0.0315,0.0312,9.75210192195322,9.346041639316441,0.3098746019448432
clearfell,summer,SITE,66,0.0074,0.0,2.072841603372589,0.0,0.27517718110395767
clearfell,msl5,C1,7,0.0,0.0,,,
clearfell,msl5,C2,19,0.0,0.0,,,
clearfell,msl5,C3,26,0.0,0.0,,,
clearfell,msl5,C4,9,0.0,0.0,,,
clearfell,msl5,C5,5,0.0,0.0,,,
clearfell,msl5,SITE,66,0.0,0.0,,,
broadleaf,annual,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
broadleaf,annual,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
broadleaf,annual,C3,26,0.0015,0.0,0.4490736373569058,0.0,0.30462007979112854
broadleaf,annual,C4,9,0.0111,0.0105,2.7608489838288017,2.7246644054884843,0.24619287974820014
broadleaf,annual,C5,5,0.0133,0.0132,4.114988005071757,3.934902908516678,0.3098746019448432
