well,cluster_k6,stability
Ceh32,1,0.9849438745083829
ceh13,1,0.868738072519084
ceh14,1,0.8174331143482814
ceh2,1,1.0
ceh20,1,1.0
ceh30,1,1.0
ceh33,1,1.0
ceh34,1,1.0
nw10,1,1.0
ceh16,2,0.9805685051764849
ceh17,2,0.9950463216556718
ceh19,2,0.9831296199289914
ceh31,2,0.9030344954805387
nw9,2,0.9975816167783743
D15,3,0.7981048653637486
ceh1,3,0.4516724482667245
ceh39,3,0.5207719742291763
ceh40,3,0.7372650925862188
ceh41,3,0.7044711014176663
ceh9,3,0.4905492464547583
nw1,3,0.7421648544991962
nw11,3,0.7078810080939046
nw13,3,0.7848974089591535
nw2,3,0.7338551859099804
nw7,3,0.30784471148865633
wmc3,3,0.3256953180550238
wmc4,3,0.7731685438054421
D25,4,0.520745628238342
D38,4,0.1602766458130058
D9,4,0.1906801007556675
T41a,4,0.15318595976273466
WMC2,4,0.49276436015212133
ceh10,4,0.21834540616924036
ceh18,4,0.38213060999724663
ceh21,4,0.2450999710228919
ceh36,4,0.5221334958854008
ceh4,4,0.2877603927264704
ceh42,4,0.5381307515572975
nw5,4,0.2482465522094005
nw6,4,0.19247793005901576
D10,5,0.9659951775407816
D17,5,0.9685708893013307
D41,5,0.9656953872932985
D43,5,0.5948545771880038
D44,5,0.9375837690551587
D5,5,0.9568450412629036
D6,5,0.9737746614422218
D7,5,0.5408284793856366
D8,5,0.9701105578144273
L7,5,0.4291446467018986
T41b,5,0.9654489726117499
T41c,5,0.965513569429232
T41d,5,0.9710143236383793
WMC1,5,0.9559001099343398
ceh24,5,0.9527932098765433
ceh28,5,0.960723912206392
nw3,5,0.9652881037821263
nw4,5,0.9819993124966947
nw4b,5,0.9764242704955999
ceh11,6,0.6955751447584478
ceh23,6,0.9902308105206656
ceh25,6,0.9674687261694223
ceh26,6,0.9870950305732915
ceh27,6,0.9657573174197215
ceh5,6,0.9767927354934316
ceh6,6,0.955077399380805
