well,cluster_k4,stability
Ceh32,1,0.9919667053813395
ceh13,1,0.9575679866412214
ceh14,1,0.9547430892760799
ceh2,1,1.0
ceh20,1,1.0
ceh30,1,1.0
ceh33,1,1.0
ceh34,1,1.0
nw10,1,1.0
D15,2,0.37735843318532936
D25,2,0.6008989176297928
D38,2,0.2550423551389828
D9,2,0.3005559916274202
T41a,2,0.25671355498721227
WMC2,2,0.7057227047146402
ceh1,2,0.6875157470395565
ceh10,2,0.36096003716419095
ceh16,2,0.6489776234567901
ceh17,2,0.6467510881522935
ceh18,2,0.7437457465632231
ceh19,2,0.6987760126347082
ceh21,2,0.7266550522648083
ceh31,2,0.7158828671328672
ceh36,2,0.7333598103583086
ceh39,2,0.6949547225913996
ceh4,2,0.6704965305938542
ceh40,2,0.427713773037514
ceh41,2,0.38749767268665053
ceh42,2,0.6346001928280409
ceh9,2,0.7280866137924364
nw1,2,0.5598176225537687
nw11,2,0.6139993972272453
nw13,2,0.46469199460361743
nw2,2,0.5830565124671916
nw5,2,0.6764095826461298
nw6,2,0.6722098914895525
nw7,2,0.6819603753910324
nw9,2,0.6850236388592343
wmc3,2,0.6756386982217157
wmc4,2,0.5194525138241215
D10,3,0.9962020967988193
D17,3,0.9961297183781164
D41,3,0.9960918114143921
D43,3,0.9418676086622639
D44,3,0.9817686107159791
D5,3,0.9987951807228916
D6,3,0.9973872527952302
D7,3,0.9403450832378513
D8,3,0.997564473309946
L7,3,0.9126495792233097
T41b,3,0.9987437185929648
T41c,3,0.9948907681465821
T41d,3,0.9948783526788643
WMC1,3,0.991424520764374
ceh24,3,0.9937390825852438
ceh28,3,0.9975395249739729
nw3,3,0.99875
nw4,3,0.9974379666443596
nw4b,3,0.9988235294117647
ceh11,4,0.7428485005617491
ceh23,4,0.9975459199036435
ceh25,4,0.9814168816489002
ceh26,4,0.9929225364007972
ceh27,4,0.976768968456948
ceh5,4,0.9849133851454037
ceh6,4,0.9751956093442162
