record,well,cluster,stability_wells,stability_months,replicate,splithalf_ari,n_wells,intact_rate,merge_rate
splithalf_replicate,,,,,53,0.6659633912257065,,,
splithalf_replicate,,,,,54,0.5742026131033381,,,
splithalf_replicate,,,,,55,0.7008072365031202,,,
splithalf_replicate,,,,,56,0.3971805447279626,,,
splithalf_replicate,,,,,57,0.6063167112237384,,,
splithalf_replicate,,,,,58,0.7782819300040277,,,
splithalf_replicate,,,,,59,0.5580692528343123,,,
splithalf_replicate,,,,,60,0.3701641170111704,,,
splithalf_replicate,,,,,61,0.7439634262866215,,,
splithalf_replicate,,,,,62,0.5944254590744275,,,
splithalf_replicate,,,,,63,0.5090989103586789,,,
splithalf_replicate,,,,,64,0.425218559518416,,,
splithalf_replicate,,,,,65,0.5685971451950177,,,
splithalf_replicate,,,,,66,0.5144050264347559,,,
splithalf_replicate,,,,,67,0.39566583399376154,,,
splithalf_replicate,,,,,68,0.7259122077895288,,,
splithalf_replicate,,,,,69,0.4488222698072805,,,
splithalf_replicate,,,,,70,0.5145960624575696,,,
splithalf_replicate,,,,,71,0.5704653327683241,,,
splithalf_replicate,,,,,72,0.5346285865429122,,,
splithalf_replicate,,,,,73,0.522570317859593,,,
splithalf_replicate,,,,,74,0.47868928399191185,,,
splithalf_replicate,,,,,75,0.4724084579680248,,,
splithalf_replicate,,,,,76,0.7594042953731017,,,
splithalf_replicate,,,,,77,0.4110615034168565,,,
splithalf_replicate,,,,,78,0.6082563420685504,,,
splithalf_replicate,,,,,79,0.40634920634920635,,,
splithalf_replicate,,,,,80,0.30524336949356684,,,
splithalf_replicate,,,,,81,0.49388135941676026,,,
splithalf_replicate,,,,,82,0.5346605700554035,,,
splithalf_replicate,,,,,83,0.3943529411764706,,,
splithalf_replicate,,,,,84,0.6903464601325864,,,
splithalf_replicate,,,,,85,0.4906272874828936,,,
splithalf_replicate,,,,,86,0.7567359012282169,,,
splithalf_replicate,,,,,87,0.546045692400643,,,
splithalf_replicate,,,,,88,0.59523813671066,,,
splithalf_replicate,,,,,89,0.5350331130528602,,,
splithalf_replicate,,,,,90,0.5586238116794929,,,
splithalf_replicate,,,,,91,0.529363527848603,,,
splithalf_replicate,,,,,92,0.4821747498161481,,,
splithalf_replicate,,,,,93,0.6195246932842807,,,
splithalf_replicate,,,,,94,0.4230956176847999,,,
splithalf_replicate,,,,,95,0.3731029435257665,,,
splithalf_replicate,,,,,96,0.5497231861030161,,,
splithalf_replicate,,,,,97,0.7520770905853725,,,
splithalf_replicate,,,,,98,0.6383147853736089,,,
splithalf_replicate,,,,,99,0.7214878293372231,,,
splithalf_replicate,,,,,100,0.5636710740295553,,,
splithalf_replicate,,,,,101,0.588728299265826,,,
splithalf_replicate,,,,,102,0.5439129001476809,,,
splithalf_replicate,,,,,103,0.5254058874209261,,,
