year,T_mean_C,PET_annual_mm,period
1931,9.979166666666666,623.3556821021089,early
1932,10.320833333333335,633.7151325040431,early
1933,10.558333333333334,655.6481271813834,early
1934,10.554166666666665,636.543998318652,early
1935,10.3125,619.70066464124,early
1936,10.045833333333333,629.6522901752551,early
1937,10.133333333333333,626.0228370072135,early
1938,10.525,636.8621326791239,early
1939,10.291666666666666,629.115062611429,early
1940,9.829166666666667,625.9069861023474,early
1941,9.575000000000001,615.944040088796,early
1942,9.6375,615.6089212992803,early
1943,10.2125,633.178074963861,early
1944,9.975,627.9428427127497,early
1945,10.4125,655.7937381012157,early
1946,9.841666666666667,605.8672219234588,early
1947,9.637500000000001,640.5263502182622,early
1948,10.254166666666666,621.6692854961075,early
1949,10.916666666666666,665.7075370774705,early
1950,9.891666666666667,603.8926408906437,early
1951,9.670833333333333,627.2974658053573,early
1952,9.579166666666667,614.971038382705,early
1953,10.433333333333334,663.5807688859851,early
1954,9.733333333333333,601.4560414364713,early
1955,9.8125,638.9811143603188,early
1956,9.641666666666667,607.1017285310326,early
1957,10.533333333333333,648.7657762136358,early
1958,9.908333333333333,621.5980408374409,early
1959,11.020833333333334,677.6127652274764,early
1960,10.295833333333333,619.7866604534472,early
1961,10.2125,631.2132709870497,
1962,9.225,596.0174763656546,
1963,8.916666666666666,612.2884718720926,
1964,10.112499999999999,642.969224253309,
1965,9.595833333333333,614.6819482083197,
1966,10.075000000000001,640.1834223616672,
1967,10.091666666666667,628.3207818992834,
1968,9.954166666666667,633.1620464673588,
1969,9.775,624.2908459732474,
1970,10.091666666666667,636.3989900035253,
1971,10.604166666666666,645.0981211338468,
1972,9.987499999999999,606.699344868521,
1973,10.316666666666666,641.8594205168772,
1974,10.225,622.206858693075,
1975,10.454166666666667,650.1800557897335,
1976,10.466666666666667,647.8075363537446,
1977,10.279166666666667,633.8514648514122,
1978,10.012500000000001,621.2431657204701,
1979,9.395833333333334,606.0985847129872,
1980,10.104166666666666,634.9152063342398,
1981,9.825000000000001,618.2644229408093,
1982,10.4625,662.0369749838445,
1983,10.475,644.3302202578166,
1984,10.379166666666666,637.0538216170471,
1985,9.404166666666667,598.9246288386526,
1986,9.141666666666667,602.1939447445792,
1987,9.495833333333334,621.7173012876756,
1988,10.4375,650.0379220131707,
1989,10.825000000000001,656.7770092738665,
1990,11.033333333333333,657.2739821792057,
1991,10.170833333333333,632.1501082555399,
1992,10.404166666666667,636.2484887249703,
1993,9.9375,617.8764237719155,
1994,10.4125,658.3003455365757,
1995,10.920833333333334,666.879546235381,
1996,9.700000000000001,598.673189038861,late
1997,10.862499999999999,670.1665643834958,late
1998,10.770833333333334,633.3415569834706,late
1999,10.9375,659.5997426763528,late
2000,10.6875,640.1165085746851,late
2001,10.241666666666667,635.1285442155508,late
2002,10.670833333333334,635.3032992079291,late
2003,10.741666666666667,659.5845205279691,late
2004,10.841666666666667,652.1795365774112,late
2005,10.945833333333333,650.2905500030486,late
2006,11.125,669.8110003741165,late
2007,11.133333333333333,636.0926902860009,late
2008,10.658333333333333,639.0538971599544,late
2009,10.5375,653.223486667326,late
2010,9.512500000000001,612.4100110569882,late
2011,11.029166666666667,673.7828829168511,late
2012,10.345833333333333,615.9614001544107,late
2013,10.329166666666667,653.0047352653004,late
2014,11.441666666666668,667.7566856472461,late
2015,10.579166666666667,623.003353254614,late
2016,10.916666666666666,652.9648114288046,late
2017,11.15,658.7202592220061,late
2018,10.779166666666667,655.7759797446827,late
2019,11.016666666666666,648.1131737414971,late
2020,11.116666666666667,658.1896224689544,late
2021,10.916666666666666,660.5047044946729,late
2022,11.641666666666667,671.6506625144516,late
2023,11.779166666666667,677.9862525967212,late
2024,11.308333333333332,643.1457226065522,late
2025,11.683333333333332,686.5439607306669,late
