year,summer_max_mean,anomaly_vs_pre2013,is_post_2013
1931,16.3,-1.59390243902439,0
1932,17.400000000000002,-0.4939024390243887,0
1933,18.400000000000002,0.5060975609756113,0
1934,17.8,-0.0939024390243901,0
1935,17.166666666666668,-0.727235772357723,0
1936,16.733333333333334,-1.1605691056910565,0
1937,16.966666666666665,-0.9272357723577258,0
1938,16.2,-1.6939024390243915,0
1939,16.966666666666665,-0.9272357723577258,0
1940,17.466666666666665,-0.4272357723577258,0
1941,17.5,-0.3939024390243908,0
1942,17.766666666666666,-0.1272357723577251,0
1943,18.099999999999998,0.20609756097560705,0
1944,18.133333333333333,0.23943089430894204,0
1945,18.266666666666666,0.3727642276422749,0
1946,16.53333333333333,-1.3605691056910594,0
1947,19.53333333333333,1.6394308943089406,0
1948,16.866666666666667,-1.0272357723577237,0
1949,19.2,1.3060975609756085,0
1950,17.966666666666665,0.07276422764227419,0
1951,17.466666666666665,-0.4272357723577258,0
1952,17.766666666666666,-0.1272357723577251,0
1953,17.900000000000002,0.006097560975611316,0
1954,16.066666666666666,-1.8272357723577244,0
1955,19.766666666666666,1.872764227642275,0
1956,16.733333333333334,-1.1605691056910565,0
1957,18.5,0.6060975609756092,0
1958,17.066666666666666,-0.8272357723577244,0
1959,19.3,1.40609756097561,0
1960,18.166666666666668,0.27276422764227704,0
1961,16.966666666666665,-0.9272357723577258,0
1962,16.633333333333333,-1.260569105691058,0
1963,17.333333333333332,-0.5605691056910587,0
1964,17.333333333333332,-0.5605691056910587,0
1965,17.366666666666667,-0.5272357723577237,0
1966,17.666666666666668,-0.22723577235772296,0
1967,17.76666666666667,-0.12723577235772154,0
1968,18.366666666666664,0.47276422764227277,0
1969,18.166666666666668,0.27276422764227704,0
1970,18.766666666666666,0.8727642276422749,0
1971,17.8,-0.0939024390243901,0
1972,16.733333333333334,-1.1605691056910565,0
1973,18.3,0.4060975609756099,0
1974,17.3,-0.5939024390243901,0
1975,19.5,1.6060975609756092,0
1976,20.53333333333333,2.6394308943089406,0
1977,18.2,0.3060975609756085,0
1978,16.599999999999998,-1.293902439024393,0
1979,17.099999999999998,-0.793902439024393,0
1980,17.2,-0.6939024390243915,0
1981,17.0,-0.8939024390243908,0
1982,19.0,1.1060975609756092,0
1983,20.0,2.106097560975609,0
1984,19.733333333333334,1.8394308943089435,0
1985,16.766666666666666,-1.127235772357725,0
1986,17.233333333333334,-0.6605691056910565,0
1987,16.900000000000002,-0.9939024390243887,0
1988,17.8,-0.0939024390243901,0
1989,19.333333333333332,1.4394308943089413,0
1990,19.033333333333335,1.1394308943089442,0
1991,18.133333333333336,0.2394308943089456,0
1992,18.266666666666666,0.3727642276422749,0
1993,17.133333333333333,-0.760569105691058,0
1994,17.7,-0.19390243902439153,0
1995,20.666666666666668,2.772764227642277,0
1996,18.033333333333335,0.13943089430894418,0
1997,18.7,0.8060975609756085,0
1998,17.2,-0.6939024390243915,0
1999,18.433333333333334,0.5394308943089428,0
2000,18.333333333333332,0.43943089430894133,0
2001,17.433333333333334,-0.46056910569105725,0
2002,16.900000000000002,-0.9939024390243887,0
2003,19.166666666666668,1.272764227642277,0
2004,18.2,0.3060975609756085,0
2005,18.433333333333334,0.5394308943089428,0
2006,19.566666666666666,1.6727642276422756,0
2007,17.8,-0.0939024390243901,0
2008,17.566666666666666,-0.3272357723577244,0
2009,18.400000000000002,0.5060975609756113,0
2010,18.133333333333333,0.23943089430894204,0
2011,17.433333333333334,-0.46056910569105725,0
2012,17.233333333333334,-0.6605691056910565,0
2013,19.366666666666667,1.4727642276422763,1
2014,18.7,0.8060975609756085,1
2015,17.5,-0.3939024390243908,1
2016,18.433333333333334,0.5394308943089428,1
2017,18.166666666666668,0.27276422764227704,1
2018,19.933333333333334,2.0394308943089428,1
2019,18.633333333333336,0.7394308943089456,1
2020,18.133333333333333,0.23943089430894204,1
2021,19.233333333333334,1.3394308943089435,1
2022,19.666666666666668,1.772764227642277,1
2023,19.533333333333335,1.6394308943089442,1
2024,17.833333333333332,-0.06056910569105867,1
2025,19.733333333333334,1.8394308943089435,1
TREND_STATS,,,
slope_C_per_yr,0.01396,,
intercept_C,-9.596,,
r_squared,0.1416,,
p_value,0.0001709408913002778,,
n_years,95,,
year_range,1931-2025,,
pre_2013_mean_C,17.894,,
post_2013_mean_C,18.836,,
post_2013_anomaly,0.942,,
