month,P_mm,PET_mm
1,79.67999999999998,17.252542128011417
2,60.29999999999999,19.842282099770525
3,60.45999999999998,30.65408543768725
4,45.66,47.48185501147365
5,52.209999999999965,74.67425615884531
6,54.87499999999998,95.3725527849014
7,63.9,106.91319879432665
8,70.63999999999999,94.5606481718783
9,85.85999999999999,70.23336049854498
10,106.66999999999999,48.69015299810599
11,100.70499999999997,27.365449197184766
12,108.59999999999998,19.166697372268956
