Well,Era,beta_3_internal_brake,P_Value,Conf_Low,Conf_High
CEH36,1_Baseline,0.10213381683045053,0.008770255797423887,0.027009599368146273,0.17725803429275477
CEH36,2_Pure_Scraping,0.10617647259658228,0.017023617815501428,0.019949728673834072,0.19240321651933048
CEH36,3_Felling_Pulse,0.10510817862966365,0.0013170835345534303,0.04223846878113585,0.16797788847819145
CEH4,1_Baseline,0.09106514850299752,0.0004937085210195701,0.04087621473414342,0.1412540822718516
CEH4,2_Pure_Scraping,0.1192499766240332,0.0068157023654417705,0.034695145302942876,0.2038048079451235
CEH4,3_Felling_Pulse,0.13137368869172403,7.570730400216432e-05,0.06864311776463845,0.19410425961880962
CEH18,1_Baseline,0.06591354587906974,0.0018218099438020738,0.02494260630212218,0.1068844854560173
CEH18,2_Felling_Pulse,0.0989024899560452,0.03782104672255211,0.005767400355760718,0.19203757955632966
CEH18,3_After_Scraping,0.07715984710206338,0.283798105139254,-0.06775848431009383,0.22207817851422057
CEH21,1_Baseline,0.07679127987297199,0.002520625484526227,0.02764550397875605,0.12593705576718794
CEH21,2_Coastal_Drawdown,0.04822218845612665,0.15582688855762053,-0.01893670799093221,0.11538108490318551
CEH21,3_After_Scraping,0.05742045455154323,0.36736671283271827,-0.07123643291037185,0.18607734201345832
CEH22,1_Baseline,0.1636063341198784,1.5123993098539015e-07,0.10612567993895322,0.2210869883008036
CEH22,2_Coastal_Drawdown,0.2640868361493568,1.4649540475203775e-06,0.16608267447001446,0.36209099782869913
CEH22,3_After_Scraping,0.21144738182434092,0.0012315159699092374,0.09156418001893818,0.33133058362974366
