Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases,ground_source,Name_norm,ground_elev_m,pipe_top_elev_m
nw1,241725.0,364139.0,12.633,12.363,0.27,12.633,False,1316.9,bh1,dgps,nw1,12.363,12.633
nw2,241703.008,364112.082,12.064,11.474,0.59,12.064,False,1282.2,ob1,dgps,nw2,11.474,12.064
nw3,242091.94,363939.361,10.706,10.656,0.05,10.706,False,1396.9,1e,dgps,nw3,10.656,10.706000000000001
nw4,242431.164,363744.512,9.23,9.16,0.07,9.23,False,1478.0,1f,dgps,nw4,9.16,9.23
nw4b,242414.677,363751.66,9.336,9.256,0.08,9.336,False,1471.7,,dgps,nw4b,9.256,9.336
nw5,241711.757,363023.697,5.725,5.725,0.0,5.725,False,459.7,2f,dgps,nw5,5.725,5.725
nw6,241444.307,363316.599,6.441,6.361,0.08,6.441,False,502.5,2e,dgps,nw6,6.361,6.441
nw7,241423.695,363584.862,8.504,8.474,0.03,8.504,False,694.8,mb,dgps,nw7,8.474,8.504
nw8,241276.11,363480.129,7.334,7.244,0.09,7.334,False,520.9,2d,dgps,nw8,7.244,7.334
nw9,240937.259,363567.162,5.18,5.149,0.031,5.18,False,419.4,2b,dgps,nw9,5.149,5.18
nw10,241435.0,364325.025,11.8,11.66,0.14,11.8,False,1322.6,1b,dgps,nw10,11.66,11.8
nw12,241262.0,364524.0,13.8,13.72,0.08,13.8,False,1422.5,1a,dgps,nw12,13.72,13.8
nw11,241689.0,364237.0,12.1,11.95,0.15,12.1,False,1375.8,1c,dgps,nw11,11.95,12.1
ceh2,241421.0,363979.0,12.03,11.32,0.71,12.03,False,1014.0,in forest nr ceh1,dgps,ceh2,11.32,12.030000000000001
ceh1,241595.864,363948.335,10.692,10.652,0.04,10.692,False,1086.9,,dgps,ceh1,10.652,10.691999999999998
ceh5,242521.077,364465.817,9.638,9.588,0.05,9.638,False,2075.5,nr ceh 6,dgps,ceh5,9.588,9.638
ceh6,242621.679,364724.912,8.611,8.461,0.15,8.611,False,2338.0,ccw car park,dgps,ceh6,8.461,8.611
ceh3,240743.0,363388.0,4.372,4.362,0.01,4.372,False,176.0,forest nr fes,dgps,ceh3,4.362,4.372
ceh4,241131.693,363211.05,4.549,4.479,0.07,4.549,False,220.7,fes,dgps,ceh4,4.479,4.549
ceh7,243385.803,363612.9,5.449,5.379,0.07,5.449,False,1863.4,braint,dgps,ceh7,5.379,5.449
ceh8,243149.932,363382.305,5.694,5.494,0.2,5.694,False,1577.3,2 slacks in from nw4,dgps,ceh8,5.494,5.694
ceh10,242538.185,363173.915,5.818,5.778,0.04,5.818,False,1122.7,beyond nw5,dgps,ceh10,5.778,5.818
ceh9,241711.211,363459.012,7.983,7.983,0.0,7.983,False,784.8,nr nw6,dgps,ceh9,7.983,7.983
