Well,Well_Normalized,Cluster,Easting,Northing,n,alpha,pvalue_alpha,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,R2,mean_resid,std_resid,ar1_phi,ar1_pvalue,ar1_sigma,ar1_significant,ar1_alpha
nw1,nw1,3.0,241725.0,364139.0,251,0.09382219007958754,0.11831861409392108,4.19873538986754,2.291272144409151,0.13032014030289674,0.7591417416128841,-2.062095514263936e-15,0.11892841045068853,-0.197523557020021,0.0017039698204049257,0.11643798079861378,True,0.05
nw2,nw2,3.0,241703.008,364112.082,251,0.16157348008344175,0.03072473894448149,4.250103273009406,2.19207985907727,0.12059610760501992,0.7639884346866294,-2.2580432433113242e-15,0.11742064030736132,-0.1975140669699403,0.0016104653979423969,0.1146999207092697,True,0.05
nw3,nw3,2.0,242091.94,363939.361,210,0.7590108577868703,3.6287549786415127e-12,3.3059281126797178,3.265844223366823,0.25547202439922856,0.8013239588685388,2.3277676082974114e-15,0.10052271509167181,-0.18945072682382003,0.005847045897669819,0.09857719308434537,True,0.05
nw4,nw4,2.0,242431.164,363744.512,244,0.6969085292870382,2.766852655413247e-09,2.7751550329591215,2.2713156619154837,0.23146152454780342,0.6536948595783383,5.13250644170974e-16,0.11637362207778261,-0.1838833167931367,0.004024296571905649,0.1146250211914289,True,0.05
nw4b,nw4b,2.0,242414.677,363751.66,240,0.7606650519431064,2.2736084076223745e-10,2.895029760108203,2.449733086562208,0.25299358222433316,0.656588153112396,2.345577435984107e-15,0.12195801659788112,-0.19885913730953156,0.002010116646145817,0.11976772889587377,True,0.05
nw5,nw5,3.0,241711.757,363023.697,243,0.11139555302961274,0.10926908170363388,3.405123670539924,2.2730092866540987,0.07775635097441742,0.7426069357512062,4.456882965110454e-16,0.10447380952671015,-0.22870745915699314,0.00031873038654454326,0.10144995593649804,True,0.05
nw6,nw6,3.0,241444.307,363316.599,214,0.3322536195299329,0.000903512566538922,3.3192943346757318,1.944772850411984,0.1446915588989115,0.7312266836598604,-1.39504192206404e-15,0.10499650624408588,-0.3505340756695717,1.9870092057664934e-07,0.09863138092236771,True,0.05
nw7,nw7,3.0,241423.695,363584.862,217,0.04563926927391869,0.4379559828408171,3.0968502086151473,2.1335676350861283,0.06473053832134149,0.7566984028185963,-2.0889588062417118e-15,0.09263989853136695,-0.10524777700464422,0.12428676639571327,0.09220232890034176,False,0.05
nw9,nw9,5.0,240937.259,363567.162,240,0.03496180143733431,0.49932659186707334,2.737373961452507,1.216350363856648,0.05881812499795004,0.7302804997842622,-2.1047978175185259e-16,0.07811162470199873,-0.23617082709983436,0.0002445466331682942,0.0759965191882384,True,0.05
nw10,nw10,4.0,241435.0,364325.025,204,-0.01102040543297736,0.8502187364944974,3.4374711556456257,2.6027703154504582,0.03935873510745852,0.7844016521631485,-3.521692741347739e-15,0.09630091874299346,-0.10574286583992662,0.1377929581184045,0.09598668878115314,False,0.05
nw11,nw11,3.0,241689.0,364237.0,225,0.13637104259940153,0.045971384809671605,4.1300837679175535,2.4805615247137,0.10726630251692457,0.7941512125014483,-5.34880781641631e-15,0.10553233229853091,-0.30746993646448556,3.401476628673193e-06,0.10048427524505431,True,0.05
nw13,nw13,3.0,241761.0,364180.0,163,0.28890893015525565,0.0015423029304681682,4.151774159673078,2.395120589097539,0.15765394294860863,0.8164953663685122,-6.923568739456881e-15,0.10328590802939396,-0.1831343017711362,0.020445130819911006,0.10187291862472658,True,0.05
ceh1,ceh1,3.0,241595.864,363948.335,238,0.05574144417821629,0.4002369111103632,4.3198162409130365,2.5141184389828104,0.07852787321973033,0.7802972084787999,-1.7385719381419993e-15,0.11427053795756603,-0.20095421408145414,0.0021470790594049017,0.11196453407136811,True,0.05
ceh2,ceh2,4.0,241421.0,363979.0,224,0.032223623118491126,0.550760058309605,2.7440531457867685,2.7098033406058333,0.03628836008215844,0.7261766282477551,-3.241702541321802e-15,0.09957561150474065,0.047427887101292185,0.476085784871247,0.09833401497846565,False,0.05
ceh5,ceh5,1.0,242521.077,364465.817,237,0.8740612206086512,8.802538513016124e-18,3.979261363911289,3.431899378095917,0.2979279068256427,0.8212432006886576,4.6398656131459996e-15,0.10548900146691113,-0.2089569077808014,0.0012683184345885403,0.10338499853483152,True,0.05
ceh6,ceh6,1.0,242621.679,364724.912,238,1.6110414309629044,5.056964612772125e-27,3.8544095854184945,3.471523296347996,0.497113565962203,0.7859322863904705,1.1993207547526377e-15,0.1148198867508333,-0.23313354133579345,0.00024347125876942113,0.11012860163761061,True,0.05
ceh9,ceh9,3.0,241711.211,363459.012,225,0.07712907580881391,0.21016207286263816,3.031613130191818,2.246084969372991,0.06008189705170185,0.7719695610945481,-3.042011087472929e-16,0.08679608510571808,-0.15775294629489578,0.01809805571138476,0.08564051438112853,True,0.05
ceh10,ceh10,3.0,242538.185,363173.915,230,0.19810993997064327,0.012580796811535611,4.680385058489287,2.483764863626044,0.16966115194950396,0.7085190403484218,1.1295312511403767e-15,0.1477448712599708,-0.09469730446807421,0.1637523168300413,0.14666445999430291,False,0.05
ceh11,ceh11,1.0,242618.62,362688.287,234,0.7630422502519368,1.3368458876660855e-12,3.465457991819526,2.6608627739127724,0.274708521770408,0.7658409296728907,-3.5232975131907747e-15,0.1056782277236252,-0.21367574548860913,0.0010324162771006688,0.10343164099556079,True,0.05
ceh13,ceh13,4.0,240964.108,364066.298,215,0.024854257340634955,0.6793302965953211,1.95781111596951,2.501671564179996,0.013903508086216756,0.5666263502959135,6.954385387971765e-16,0.1118258226589029,0.018307808452169217,0.7901083473363395,0.11199227844079576,False,0.05
