,nw1,nw2,nw3,nw4,nw4b,nw5,nw6,nw7,nw9,nw10,nw11,nw13,ceh1,ceh2,ceh4,ceh5,ceh6,ceh9,ceh10,ceh11,ceh13,ceh14,ceh16,ceh17,ceh18,ceh19,ceh20,ceh21,ceh23,ceh24,ceh25,ceh26,ceh27,ceh28,ceh30,ceh31,Ceh32,ceh33,ceh34,ceh36,ceh39,ceh40,ceh41,ceh42,WMC1,WMC2,wmc3,wmc4,L7,D5,D6,D7,D8,D9,D10,D15,D17,D25,D38,D41,T41a,T41b,T41c,T41d,D43,D44,nw8,nw8b,nw12,ceh3,ceh7,ceh8,ceh12,ceh15,ceh22,ceh35,ceh37,ceh38,L1,FE1,FE2,FE3,FE4,LIS1,p2,pe,pw,p1,llyn rhos
2005-03-01,measured,measured,measured,measured,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-04-01,measured,measured,measured,interpolated,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-05-01,measured,measured,measured,measured,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-07-01,measured,measured,measured,measured,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-08-01,measured,measured,interpolated,interpolated,outside_record,interpolated,interpolated,interpolated,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-09-01,measured,measured,dry_inferred,dry_inferred,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-10-01,measured,measured,measured,dry_inferred,outside_record,interpolated,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-11-01,measured,measured,measured,measured,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2005-12-01,measured,measured,measured,measured,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
2006-01-01,measured,measured,measured,measured,outside_record,measured,measured,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,measured,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record,outside_record
