,nw1,nw2,nw3,nw4,nw 4b,nw5,nw6,nw7,nw8,nw8b,nw9,nw10,nw11,nw13,ceh 1,ceh2,ceh3,ceh4,ceh5,ceh6,ceh7,ceh8,ceh9,ceh10,ceh11,ceh13,ceh14,ceh15,ceh16,ceh17,ceh18,ceh19,ceh20,ceh21,ceh22,ceh23,ceh24,ceh25,ceh26,ceh27,ceh28,ceh30,ceh31,Ceh32,ceh33,ceh34,ceh36,ceh37,ceh39,ceh40,ceh41,ceh42,WMC1,WMC2,wmc3,wmc4,L7,D5,D6,D7,D8,D9,D10,D15,D17,D25,D38,D41,T41a,T41b,T41c,T41d,D43,D44,FE1,FE2,FE3,FE4,LIS1,llyn rhos
2009-09-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-12-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2010-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2010-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2010-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-07-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-08-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-09-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing
2010-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2010-12-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-07-01,measured,measured,interpolated,measured,measured,measured,measured,interpolated,interpolated,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-08-01,measured,measured,missing,measured,measured,measured,interpolated,missing,missing,missing,measured,interpolated,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,interpolated,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,interpolated,measured,measured,measured,interpolated,interpolated,interpolated,measured,interpolated,interpolated,measured,measured,missing,missing,missing,missing,missing,measured
2011-09-01,interpolated,interpolated,missing,interpolated,interpolated,interpolated,missing,missing,missing,missing,interpolated,missing,interpolated,missing,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,missing,missing,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,missing,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,interpolated,missing,missing,missing,missing,interpolated,interpolated,interpolated,missing,interpolated,interpolated,interpolated,missing,interpolated,interpolated,missing,interpolated,interpolated,interpolated,missing,missing,missing,interpolated,missing,missing,interpolated,interpolated,missing,missing,missing,missing,missing,interpolated
2011-10-01,measured,measured,missing,measured,measured,measured,missing,missing,missing,missing,measured,missing,measured,missing,measured,missing,measured,measured,measured,measured,missing,missing,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,missing,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,missing,missing,missing,missing,missing,measured,measured,missing,missing,missing,measured,missing,missing,measured,measured,missing,missing,missing,missing,missing,measured
2011-11-01,measured,measured,missing,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,missing,measured,missing,measured,measured,measured,measured,missing,measured,missing,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2011-12-01,measured,measured,missing,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,missing,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-01-01,measured,measured,missing,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,missing,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-02-01,measured,measured,measured,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,interpolated,measured,measured,interpolated,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-03-01,measured,measured,interpolated,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-04-01,measured,measured,missing,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-05-01,measured,measured,missing,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-06-01,measured,measured,missing,measured,measured,measured,missing,missing,measured,missing,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-07-01,measured,measured,missing,measured,measured,measured,measured,missing,measured,missing,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-08-01,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,measured,missing,measured,interpolated,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-09-01,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,measured,missing,measured,missing,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2012-12-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-07-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-08-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,interpolated
2013-09-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2013-12-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2014-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
2014-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,measured
