Well,Well_Normalized,Cluster,Easting,Northing,ridge_distance_m,n_obs,summer_mean,winter_mean,summer_minus_winter,offset_a0,amplitude,phase_month,sinusoid_rmse,corr_sun_resid
nw1,nw1,3.0,241725.0,364139.0,361.86461556775623,248,0.015469237734510472,0.027952061114796752,-0.01248282338028628,3.671424245737757e-05,0.008641618448388688,0.5374406684561468,0.030791460105964237,-0.037004059795746794
nw2,nw2,3.0,241703.008,364112.082,390.7539158959304,248,0.014000852046205915,0.026826351609216714,-0.012825499563010798,0.00013935142170418951,0.0074838035367162615,1.2124058224423166,0.029582307330831215,-0.03421694745513081
nw3,nw3,2.0,242091.94,363939.361,656.687941050412,225,0.011931484995718578,0.012251365170815745,-0.0003198801750971675,-0.00038030925279552123,0.006309200738108445,1.679426417315386,0.0335621104288312,-0.023433034594430708
nw4,nw4,2.0,242431.164,363744.512,1017.2249077957167,246,0.008643593483664296,-0.00386945840435636,0.012513051888020656,-2.5942723868622853e-05,0.006394594826897014,3.336344485724103,0.02278192816610502,-0.0009969753718886433
nw4b,nw4b,2.0,242414.677,363751.66,1000.9037266036295,238,0.0068292530797782565,-0.001686722002443193,0.00851597508222145,-3.447000550297334e-05,0.00828939919644628,3.0822205488730607,0.019217989208500763,0.011240445582808765
nw5,nw5,3.0,241711.757,363023.697,1476.7982512374672,244,0.014849710752181805,0.02669590645968305,-0.011846195707501245,-0.00044552402288123536,0.009272148406647007,0.9069816508062907,0.028910117292803426,0.027272846983231517
nw6,nw6,3.0,241444.307,363316.599,1222.2463487570865,225,0.015518694674503133,0.024098772240935113,-0.00858007756643198,-0.0005390689481229361,0.006371061070476886,1.1971940879311878,0.027636506219340384,-0.011642174884614123
nw7,nw7,3.0,241423.695,363584.862,971.5721857221694,226,0.021609990333294065,0.03291569336228529,-0.011305703028991223,-0.0004025565913257774,0.008825801383851363,11.95143348619671,0.03358581311354606,-0.05200851474825207
nw9,nw9,5.0,240937.259,363567.162,1237.2286237090516,238,0.0068499128062276815,0.009328109191538805,-0.0024781963853111235,1.6149619854337622e-07,0.011639413322538712,10.53851177538378,0.019467537883238427,0.015540360924008203
nw10,nw10,4.0,241435.0,364325.025,360.33491452396316,206,0.02506283293453689,0.031122300030049007,-0.006059467095512118,-0.0008244866510878705,0.011171314684533551,2.1833048717347054,0.03418231861546361,-0.022608585698788958
nw11,nw11,3.0,241689.0,364237.0,269.9814808463721,223,0.018840336343101647,0.023352899439784316,-0.0045125630966826695,-0.00014245675254903592,0.008230201908214847,0.0022951761535990496,0.03139803955061963,-0.02225125989970336
nw13,nw13,3.0,241761.0,364180.0,320.18900668199086,163,0.017388346146734467,0.0355327311948309,-0.018144385048096432,-7.736445748108253e-06,0.012470125987512546,0.24296312072197568,0.046388010480114275,-0.04152699075499094
ceh1,ceh1,3.0,241595.864,363948.335,572.7933123919801,236,0.023759535031703933,0.03235832567048165,-0.008598790638777717,-0.00015218963223784704,0.011484274767872484,0.03946493938424913,0.04044177213234561,-0.046611310231086674
ceh2,ceh2,4.0,241421.0,363979.0,616.1834142526071,224,0.02638571694315352,0.041878321310098665,-0.015492604366945145,-0.00014988235795314615,0.010514060946554474,1.198369240250167,0.04021632393955959,-0.03673903165549631
ceh5,ceh5,1.0,242521.077,364465.817,771.8343199275258,235,0.010783650052394756,0.004542960149120462,0.006240689903274294,-3.768669122692937e-05,0.0074164649280545605,11.475232391850932,0.03040821179974945,-0.04121801864705281
ceh6,ceh6,1.0,242621.679,364724.912,900.2275749970179,236,0.007120494046524595,0.019757604899746237,-0.012637110853221643,-0.0002325688268001155,0.008114280296723517,1.3418384131449794,0.031182627808359745,-0.07928916253891573
ceh9,ceh9,3.0,241711.211,363459.012,1041.7104216935838,227,0.01039150269501138,0.013440555739408389,-0.003049053044397008,0.00017672501521957026,0.00733624375685088,0.6301045399166221,0.023836232937029588,-0.0036667347567466346
ceh10,ceh10,2.0,242538.185,363173.915,1542.6396278619488,232,0.024379075142360342,0.0532732004096986,-0.02889412526733826,-0.0009747197863427228,0.02271642534681149,11.48801315616397,0.04931085296244243,-0.06985964131500924
ceh11,ceh11,1.0,242618.62,362688.287,2009.1801061052122,234,0.012542538426698016,0.009057028085372095,0.0034855103413259213,-0.00024412102291989233,0.011771175088367147,11.094268845817034,0.022619493289877484,-0.051008429197213934
ceh13,ceh13,4.0,240964.108,364066.298,897.6211118662371,217,0.016659168633021266,0.038602761095873885,-0.02194359246285262,-0.0011658801827834338,0.02644665991937862,3.2232837680912834,0.03679801775083344,0.024161304361547502
ceh14,ceh14,4.0,241292.0,364488.0,458.1571782696414,221,0.03747277914456865,0.053427424943187,-0.01595464579861835,-0.001294234440435936,0.040479090360713475,3.1379828800787424,0.0557112069996214,-0.008079411350806346
ceh16,ceh16,5.0,240988.214,363614.897,1167.7864660994294,221,0.014436323152225152,0.009009567073006935,0.005426756079218217,-7.203925305522515e-05,0.007889568187567484,10.953944858295793,0.02398475316710211,-0.004309264228898489
ceh17,ceh17,5.0,240804.597413,363576.069469,1321.905320974332,219,0.011772111638474081,0.008383251345316456,0.0033888602931576254,-0.00020809104527455647,0.012153259150382564,10.52783713898393,0.023074560346176574,-0.01807287443105617
ceh18,ceh18,3.0,241267.167,363202.889,1384.060927925483,219,0.019473689202345153,0.01750012451137097,0.0019735646909741847,-0.00012894064395825155,0.01226673176668274,11.030358757331992,0.033239902713813586,-0.045862778428998136
ceh19,ceh19,5.0,240845.741,363532.891,1324.003080420124,213,0.012150480963618017,0.00631676031675733,0.005833720646860687,-0.00013484412002993547,0.009763453065057711,10.73902818682903,0.021936010360838448,-0.02861137766445531
ceh20,ceh20,4.0,241153.0,363829.0,898.1369606023349,202,0.019794892959534845,0.021178849416521883,-0.0013839564569870372,-0.0007388418842430867,0.011566840228788315,2.7721485881669703,0.030109591739744666,0.027301553656401654
ceh21,ceh21,3.0,241470.51,362937.659,1587.1433647849967,186,0.011399379678998421,0.01915605122453105,-0.007756671545532629,-0.00014057986732734864,0.007992185567681956,11.700101609848934,0.017251199092623473,-0.03254844351042281
ceh22,ceh22,,241375.022,362906.94,1636.596671169777,185,0.010081637237242175,0.015260663683836578,-0.005179026446594404,1.508125147536193e-05,0.01044491150601635,10.898316917060493,0.017663301833119604,-0.03984242078377199
ceh23,ceh23,1.0,242325.311,364428.124,579.7834993314173,170,-0.004956337297793063,-0.0008836303897997722,-0.0040727069079932905,4.208506040690161e-06,0.0032942263174915378,1.950095328572723,0.019249395030475784,-0.040601404835151775
ceh24,ceh24,2.0,242938.911,363392.114,1625.090998964975,188,0.007698809340585941,0.018702906464478437,-0.011004097123892494,6.745835667300723e-05,0.010985728398155217,11.840596855026357,0.024686229055778764,-0.03919935909981243
ceh25,ceh25,1.0,242512.557,364638.544,775.0403977761414,189,0.015810292573189853,0.048722804629673926,-0.03291251205648407,0.00022882904140263742,0.01972782052943809,11.529481000566603,0.041712798133731896,-0.11287748813674797
