Date,C1,C2,C3,C4,C5,Lake_Edge,Eastern_Block,Western_Block,Forest,Coastal_Forest,P_mm,PET_mm
2005-04-01,,-0.15000000000000002,-0.836,,,,-0.15000000000000002,-0.836,,,101.0,45.6442279497586
2005-05-01,,-0.18262295081967214,-0.8720000000000001,,,,-0.18262295081967214,-0.8720000000000001,,,33.0,67.288943689844
2005-06-01,,-0.10999999999999999,-0.79,,,,-0.10999999999999999,-0.79,,,18.8,95.64204919115619
2005-08-01,,-0.6825,-1.1746666666666667,,,,-0.6825,-1.1746666666666667,,,35.6,93.9904832024979
2005-09-01,,-0.48926095866001423,-1.3025573770491803,,,,-0.48926095866001423,-1.3025573770491803,,,53.3999999999999,73.3863082250772
2005-10-01,,-0.30225543478260863,-1.323,,,,-0.30225543478260863,-1.323,,,189.79999999999998,52.6140923185296
2005-11-01,,-0.1090163934426229,-0.6253770491803279,,,,-0.1090163934426229,-0.6253770491803279,,,116.7,24.6522999075429
2005-12-01,,-0.04125,-0.5553333333333333,,,,-0.04125,-0.5553333333333333,,,56.2,18.3196038696497
2006-01-01,,-0.045,-0.5265000000000001,,,,-0.045,-0.5265000000000001,,,60.8,14.721509958904699
2006-02-01,,-0.05666666666666666,-0.5416666666666666,,,,-0.05666666666666666,-0.5416666666666666,,,44.4,16.6124252585408
2006-03-01,,-0.06305555555555553,-0.5352598870056497,,-0.19,,-0.06305555555555553,-0.5352598870056497,,-0.19,90.7999999999999,22.512906771248698
2006-04-01,,-0.061250000000000006,-0.5006666666666667,,-0.08199999999999999,,-0.061250000000000006,-0.5006666666666667,,-0.08199999999999999,53.8,42.4905250043731
2006-05-01,-0.22499999999999998,-0.13499999999999998,-0.55625,-1.5,-0.155,-0.22499999999999998,-0.13499999999999998,-0.55625,-1.5,-0.155,109.59999999999991,68.7041946994643
2006-06-01,-0.12388888888888888,-0.28125,-0.4014583333333333,-0.7025,-0.0175000000000001,-0.12388888888888888,-0.28125,-0.4014583333333333,-0.7025,-0.0175000000000001,27.599999999999998,97.3267070145387
2006-07-01,-0.63,-0.6212500000000001,-0.69625,-0.9216666666666667,-0.30000000000000004,-0.63,-0.6212500000000001,-0.69625,-0.9216666666666667,-0.30000000000000004,10.8,120.28024249614171
2006-08-01,-0.8933333333333332,-0.92875,-0.9212499999999999,-1.1766666666666667,-0.43000000000000005,-0.8933333333333332,-0.92875,-0.9212499999999999,-1.1766666666666667,-0.43000000000000005,88.0,91.5104578380378
2006-09-01,-0.6716666666666667,-0.7137500000000001,-0.7987500000000001,-1.21,-0.38,-0.6716666666666667,-0.7137500000000001,-0.7987500000000001,-1.21,-0.38,77.2,77.7344341394993
2006-10-01,-0.79,-0.9200000000000002,-1.02625,-1.3733333333333333,-0.49,-0.79,-0.9200000000000002,-1.02625,-1.3733333333333333,-0.49,123.39999999999999,52.899333424069596
2006-11-01,-0.45333333333333337,-0.6900000000000001,-0.8212499999999999,-1.3566666666666667,-0.35,-0.45333333333333337,-0.6900000000000001,-0.8212499999999999,-1.3566666666666667,-0.35,127.6,29.2664303684657
2006-12-01,-0.14333333333333334,-0.405,-0.56875,-1.22,-0.1,-0.14333333333333334,-0.405,-0.56875,-1.22,-0.1,140.0,21.3770163822565
2007-01-01,-0.04666666666666667,-0.1375,-0.32125,-0.8433333333333334,0.25,-0.04666666666666667,-0.1375,-0.32125,-0.8433333333333334,0.25,88.8,22.9778910931303
2007-02-01,0.026666666666666672,-0.0925,-0.17250000000000001,-0.6166666666666667,0.5399999999999999,0.026666666666666672,-0.0925,-0.17250000000000001,-0.6166666666666667,0.5399999999999999,39.6,19.9845408706825
2007-03-01,-0.03333333333333333,-0.15750000000000003,-0.21625,-0.64,0.35,-0.03333333333333333,-0.15750000000000003,-0.21625,-0.64,0.35,41.0,32.103671501015796
2007-04-01,-0.29000000000000004,-0.36250000000000004,-0.39499999999999996,-0.7233333333333333,0.019999999999999997,-0.29000000000000004,-0.36250000000000004,-0.39499999999999996,-0.7233333333333333,0.019999999999999997,13.799999999999999,56.333663277750304
2007-05-01,-0.5233333333333333,-0.6100000000000001,-0.5975,-0.9099999999999998,-0.18,-0.5233333333333333,-0.6100000000000001,-0.5975,-0.9099999999999998,-0.18,44.2,73.43981227710269
2007-06-01,-0.6666666666666666,-0.6675,-0.7811111111111111,-1.0474999999999999,-0.08,-0.6666666666666666,-0.6675,-0.7811111111111111,-1.0474999999999999,-0.08,78.39999999999999,98.5267510941972
2007-07-01,-0.52,-0.5599999999999999,-0.7266666666666666,-1.1724999999999999,-0.32999999999999996,-0.52,-0.5599999999999999,-0.7266666666666666,-1.1724999999999999,-0.32999999999999996,101.9,98.46035514631251
2007-08-01,-0.63,-0.7999999999999999,-0.8777777777777778,-1.2075,-0.86,-0.63,-0.7999999999999999,-0.8777777777777778,-1.2075,-0.86,59.4,89.1889998478301
2007-09-01,-0.7366666666666667,-0.8875000000000001,-0.9550000000000001,-1.3375,-0.9400000000000001,-0.7366666666666667,-0.8875000000000001,-0.9550000000000001,-1.3375,-0.9400000000000001,84.6,67.53594867000879
2007-10-01,-0.5633333333333334,-0.76,-0.8780000000000001,-1.325,-0.8700000000000001,-0.5633333333333334,-0.76,-0.8780000000000001,-1.325,-0.8700000000000001,35.4,48.168007028622
2007-11-01,-0.6666666666666666,-0.8925000000000001,-1.016,-1.495,-0.9833333333333334,-0.6666666666666666,-0.8925000000000001,-1.016,-1.495,-0.9833333333333334,89.7999999999999,28.836620439711
2007-12-01,-0.3766666666666667,-0.5549999999999999,-0.837,-1.4775,-0.9,-0.3766666666666667,-0.5549999999999999,-0.837,-1.4775,-0.9,96.8,18.1051406879666
2008-01-01,-0.26333333333333336,-0.505,-0.692,-1.3125,-0.7733333333333334,-0.26333333333333336,-0.505,-0.692,-1.3125,-0.7733333333333334,123.0,22.709724421961198
2008-02-01,-0.12,-0.265,-0.35600000000000004,-0.9149999999999999,-0.5677222222222222,-0.12,-0.265,-0.35600000000000004,-0.9149999999999999,-0.5677222222222222,33.6,22.589833904040997
2008-03-01,-0.15,-0.335,-0.48100000000000004,-0.98,-0.65,-0.15,-0.335,-0.48100000000000004,-0.98,-0.65,68.0,30.4727259235399
2008-04-01,-0.19999999999999998,-0.34750000000000003,-0.487,-0.9325000000000001,-0.7,-0.19999999999999998,-0.34750000000000003,-0.487,-0.9325000000000001,-0.7,83.4,42.4730827439543
2008-05-01,-0.33666666666666667,-0.4175,-0.567,-0.9675,-0.7925,-0.33666666666666667,-0.4175,-0.567,-0.9675,-0.7925,27.599999999999998,89.18009766901321
2008-06-01,-0.6166666666666667,-0.765,-0.857,-1.165,-0.915,-0.6166666666666667,-0.765,-0.857,-1.165,-0.915,117.1,87.3674554320744
2008-07-01,-0.5566666666666666,-0.7000000000000001,-0.797,-1.165,-0.9275,-0.5566666666666666,-0.7000000000000001,-0.797,-1.165,-0.9275,70.4,107.7148751445042
2008-08-01,-0.7566666666666667,-0.8075000000000001,-0.9870000000000001,-1.3850000000000002,-1.025,-0.7566666666666667,-0.8075000000000001,-0.9870000000000001,-1.3850000000000002,-1.025,84.4,94.7644133912385
2008-09-01,-0.6466666666666667,-0.8225,-1.0100000000000002,-1.4300000000000002,-1.065,-0.6466666666666667,-0.8225,-1.0100000000000002,-1.4300000000000002,-1.065,118.4,67.2619701143894
2008-10-01,-0.6166666666666667,-0.76,-1.0310000000000001,-1.5075,-1.0825,-0.6166666666666667,-0.76,-1.0310000000000001,-1.5075,-1.0825,164.6,43.740958938355
2008-11-01,0.02666666666666666,-0.275,-0.43531147540983606,-1.025,-0.6927868852459018,0.02666666666666666,-0.275,-0.43531147540983606,-1.025,-0.6927868852459018,81.19999999999999,26.3467047293652
2008-12-01,-0.02333333333333333,-0.15,-0.351,-0.874,-0.5900000000000001,-0.02333333333333333,-0.15,-0.351,-0.874,-0.5900000000000001,68.0,14.094129811412099
2009-01-01,-0.08,-0.14200000000000002,-0.325,-0.674,-0.5549999999999999,-0.08,-0.14200000000000002,-0.325,-0.674,-0.5549999999999999,80.19999999999999,14.182327246689601
2009-02-01,0.013333333333333345,-0.1,-0.24400000000000005,-0.518,-0.475,0.013333333333333345,-0.1,-0.24400000000000005,-0.518,-0.475,8.4,16.5519135929996
2009-03-01,-0.25333333333333335,-0.264,-0.39272727272727276,-0.6799999999999999,-0.6925,-0.25333333333333335,-0.264,-0.39272727272727276,-0.6799999999999999,-0.6925,26.0,31.8459681234241
2009-04-01,-0.41333333333333333,-0.454,-0.5772727272727273,-0.8219999999999998,-0.8025,-0.41333333333333333,-0.454,-0.5772727272727273,-0.8219999999999998,-0.8025,52.0,50.1860465707873
2009-05-01,-0.3666666666666667,-0.5483333333333335,-0.5636363636363636,-0.9440000000000002,-0.8625,-0.3666666666666667,-0.5483333333333335,-0.5636363636363636,-0.9440000000000002,-0.8625,43.4,72.38242773355789
2009-06-01,-0.6633333333333334,-0.8933333333333332,-0.8581818181818183,-1.0820000000000003,-1.0025,-0.6633333333333334,-0.8933333333333332,-0.8581818181818183,-1.0820000000000003,-1.0025,44.8,100.5128451103718
2009-07-01,-0.8466666666666667,-1.0633333333333335,-1.0558333333333334,-1.256,-1.1025,-0.8466666666666667,-1.0633333333333335,-1.0558333333333334,-1.256,-1.1025,104.3,106.0374420769479
2009-08-01,-0.7966666666666667,-1.05,-1.1,-1.3679999999999999,-1.1575,-0.7966666666666667,-1.05,-1.1,-1.3679999999999999,-1.1575,108.2,93.938647450888
2009-09-01,-0.6533333333333334,-0.9342486338797814,-1.0841666666666667,-1.488,-1.1975,-0.6533333333333334,-0.9342486338797814,-1.0841666666666667,-1.488,-1.1975,28.8,67.4184121942515
2009-10-01,-0.8700000000000001,-1.1091666666666666,-1.2325000000000002,-1.598,-1.2525,-0.8700000000000001,-1.1091666666666666,-1.2325000000000002,-1.598,-1.2525,82.4,51.1075756662561
2009-11-01,-0.9,-1.1300819672131148,-1.305,-1.7,-1.3124999999999998,-0.9,-1.1300819672131148,-1.305,-1.7,-1.3124999999999998,205.6,29.3763013627957
