,nw8,nw8b,nw12,ceh3,ceh7,ceh8,ceh12,ceh15,ceh22,ceh35,ceh37,ceh38,L1,FE1,FE2,FE3,FE4,LIS1,p2,pe,pw,p1
2025-03-01,,-1.38,,-0.95,,,,,-0.63,,,,,-0.61,-1.49,-1.83,-1.4,-0.66,-0.34,-0.66,-0.56,
2025-04-01,,-1.53,,-1.19,,,,,-0.78,,,,,-0.77,-1.64,-1.97,-1.53,-0.8,-0.55,-0.9,-0.78,
2025-05-01,,-1.64,,-1.09,,,,,-0.8291803278688524,,,,,-0.9,-1.71,-2.06,-1.64,-0.9,-0.52,-1.03,-0.85,
2025-06-01,,-1.75,,-1.09,,,,,-0.88,,,,,-0.99,-1.8,-2.25,-1.69,-1.03,-0.66,-1.15,-0.98,
2025-07-01,,-1.84,,-1.3,,,,,-0.97,,,,,-1.16,-1.93,-2.47,-1.88,-1.19,-0.81,-1.3,-1.19,
2025-08-01,,-2.01,,-1.18,,,,,-0.8439837398373984,,,,,-1.29,-2.05,-2.54,-2.03,-1.33,-0.94,-1.4,-1.3,
2025-09-01,,-1.88,,-1.29,,,,,,,,,,-1.22,-1.94,-2.27,-1.88,-1.26,-0.42,-1.16,-1.12,
2025-10-01,,-1.95,,-1.24,,,,,,,,,,-1.36,-2.06,-2.35,-2.01,-1.36,-0.38,-1.13,-1.17,
2025-11-01,,-1.4,,-0.92,,,,,-0.47,,,,,-0.95,-1.59,-1.89,-1.52,-0.82,0.02,-0.42,-0.49,
2025-12-01,,-1.1,,-0.85,,,,,-0.4,,,,,-0.45,-1.3,-1.59,-1.28,-0.43,-0.01,-0.35,-0.22,
2026-01-01,,-1.16,,-0.84,,,,,-0.42,,,,,-0.5,-1.34,-1.66,-1.25,-0.47,0.0,-0.37,-0.23,
2026-02-01,,-0.96,,-0.84,,,,,-0.32,,,,,-0.3,-1.19,-1.5,-1.04,-0.27,0.02,-0.25,-0.25,
