Metric,C4_mean,C4_sd,C4_min,C4_max,C5_mean,C5_sd,C5_min,C5_max,t_statistic,p_value
Elevation_m,10.601,1.897,8.61,14.42,5.643,0.711,4.65,6.32,5.548,0.0001
β₁_recharge,2.5,0.424,2.096,3.507,2.351,0.29,2.065,2.77,0.691,0.5026
β₂_atm_draw,2.601,0.508,2.069,3.756,1.154,0.228,0.813,1.41,5.967,0.0001
β₃_drainage,0.015,0.017,-0.019,0.04,0.045,0.007,0.037,0.055,-3.704,0.003
Model_R²,0.673,0.074,0.548,0.761,0.682,0.082,0.551,0.745,-0.211,0.8361
