Name_Original,Cluster,Easting,Northing,LCSC_Empirical_Percent,LCSC_Regression_Percent,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,Model_R2,n
nw1,3,241725.0,364139.0,46.594829704918844,22.954322541723943,4.356477949555277,2.0873836601716245,0.1112035919819169,9.636551533013614e-27,1.5529255955286804e-07,8.003331285977838e-10,0.7167800564079243,100
nw2,3,241703.008,364112.082,45.02021405000567,22.280300649963053,4.488269775666866,1.9921813796935686,0.09366748637930608,1.0338781039874146e-28,2.3730389180559987e-07,1.564803124260776e-10,0.7484163890327205,100
nw3,2,242091.94,363939.361,48.81176394571071,26.471061116131036,3.7777102912985088,1.394882941256708,0.06339217696759637,1.9251334466299414e-19,0.0006532817027225433,4.796958266124519e-07,0.6090455998113601,100
nw4,2,242431.164,363744.512,48.10319451201451,29.743203516977488,3.3621126232391134,1.2125720935064026,0.05513701806641222,1.1262905602553525e-20,0.0008147389377702948,2.3485553629818583e-07,0.6397420244412354,100
nw 4b,2,242414.677,363751.66,51.35096316749499,28.012341796500262,3.5698550562628633,1.2044974718430979,0.060668904920158556,1.602411037932332e-20,0.0017116845050791471,1.3210425894783787e-07,0.632465862803413,100
nw5,3,241711.757,363023.697,52.15733115438768,28.218743519017703,3.543743892516197,1.8705727945839743,0.05126844926638273,2.2742384154867137e-24,2.1478612117279566e-07,1.3103477548419622e-06,0.7153616544744592,100
nw6,3,241444.307,363316.599,54.75501451770107,31.923790148871916,3.1324601350173227,0.9237379232828773,0.057597272338231253,5.931525597836885e-20,0.006377899020113865,1.0226802129565765e-07,0.6186849436476685,100
nw7,3,241423.695,363584.862,57.30947425324011,36.29116906324914,2.755491282899086,1.673746495296219,0.04571246232284028,1.328712896210338e-20,2.2015683520639516e-07,0.00010888864248544841,0.6607083337836497,100
nw9,5,240937.259,363567.162,62.2942270280446,36.60283807349401,2.732028587488551,1.1306275926347702,0.04939377102676789,1.5015623541153385e-26,5.908307602623992e-06,5.922707921163871e-09,0.7383148492371772,100
nw10,4,241435.0,364325.025,49.61518315221734,28.35699739764294,3.526466451921038,2.5235749345461693,0.0460500699149063,2.4550610604996823e-28,1.0224121341970376e-13,1.639923542221499e-05,0.7747992215024542,100
nw11,3,241689.0,364237.0,43.17428996108564,22.267399347563636,4.490870192748458,2.1249794811354845,0.07783308118070989,1.781102686897541e-33,7.674181993180293e-10,5.653749543577217e-12,0.8071741801363355,100
nw13,3,241761.0,364180.0,46.277914728266516,20.836665434638373,4.799232406628865,1.7573400981872123,0.08914365918007479,1.6200048374994264e-34,2.2270431003848366e-07,7.837065952318105e-15,0.8098327515845133,100
ceh 1,3,241595.864,363948.335,47.199658605768164,22.624253290312026,4.420035380474687,2.2822806633239914,0.06599357676296758,6.732642746383251e-33,1.1596151888714193e-10,1.4983300955885458e-10,0.8072670452656556,100
