Date,C1,C2,C3,C4,C5,P_mm,PET_mm
2005-03-01,,9.818000000000001,8.2374,,,42.8,34.6223697541103
2005-04-01,,9.785622950819672,8.2014,,,101.0,45.6812277274593
2005-05-01,,9.858,8.283399999999999,,,33.0,67.59714343023509
2005-06-01,,9.567057377049181,8.087913661202185,,,18.8,95.78337094097671
2005-07-01,,9.285499999999999,7.898733333333334,,,45.8,105.4729677585336
2005-08-01,,,7.7714,,,35.6,94.1789659553573
2005-09-01,,,7.750399999999999,,,53.3999999999999,73.5143672294615
2005-10-01,,10.656,8.444777049180328,,,189.79999999999998,52.257006600385296
2005-11-01,,9.92675,8.518066666666666,,,116.7,24.566933138935003
2005-12-01,,9.923,8.546899999999999,,,56.2,18.3196038696497
2006-01-01,,9.911333333333333,8.531733333333333,,,60.8,15.5287839421061
2006-02-01,,9.694277777777776,8.538326553672317,,4.99,44.4,17.4805142925348
2006-03-01,,9.701777777777778,8.577616666666668,,5.0925,90.7999999999999,24.1411347748233
2006-04-01,8.386000000000001,9.633666666666667,8.80325,10.53,5.044,53.8,44.7985905393654
2006-05-01,7.153777777777779,9.583999999999998,7.843592592592592,11.889166666666666,5.1625,109.59999999999991,71.329053928143
2006-06-01,6.647666666666667,9.357333333333333,7.506,11.67,4.88,27.599999999999998,99.6331784431544
2006-07-01,6.384333333333333,9.052333333333332,7.270999999999999,11.415,4.75,10.8,121.39658875919079
2006-08-01,6.605999999999999,9.304,7.391555555555556,11.381666666666666,4.8,88.0,92.7451611313506
2006-09-01,6.487666666666666,9.067333333333334,7.176555555555556,11.218333333333334,4.69,77.2,78.4284119540427
2006-10-01,6.824333333333333,9.293999999999999,7.385444444444445,11.235,4.83,123.39999999999999,53.4918185350805
2006-11-01,7.134333333333333,9.604,7.633222222222224,11.371666666666664,5.08,127.6,29.460747692068303
2006-12-01,7.231000000000001,9.707333333333333,7.937666666666668,11.748333333333335,5.43,140.0,21.3770163822565
2007-01-01,7.304333333333333,9.717333333333332,8.086555555555556,11.975,5.72,88.8,22.221423554509503
2007-02-01,7.244333333333334,9.714,8.01988888888889,11.951666666666668,5.53,39.6,19.099361876006302
2007-03-01,6.987666666666666,9.567333333333332,7.818777777777778,11.868333333333334,5.2,41.0,30.453517604481902
2007-04-01,6.754333333333334,9.344,7.6032222222222225,11.681666666666667,5.0,13.799999999999999,53.5770987942778
2007-05-01,6.611000000000001,9.344,7.804900000000001,11.34625,5.1,44.2,69.9937887388818
2007-06-01,6.757666666666666,9.500666666666666,7.849900000000001,11.221250000000001,4.85,78.39999999999999,95.2020177799467
2007-07-01,6.647666666666666,9.170666666666667,7.7169,11.18625,4.9526666666666666,101.9,96.4837343273939
2007-08-01,6.541,9.100666666666667,7.325727272727272,11.05625,4.8726666666666665,59.4,87.61652394551379
2007-09-01,6.714333333333333,9.227333333333332,7.407545454545455,11.06875,4.942666666666667,84.6,66.8393272987298
2007-10-01,6.611000000000001,9.100666666666667,7.268454545454546,10.89875,4.8293333333333335,35.4,47.858957282543194
2007-11-01,6.901,9.514000000000001,7.441181818181818,10.916250000000002,4.9126666666666665,89.7999999999999,28.6417983957495
2007-12-01,7.014333333333333,9.530666666666667,7.586636363636364,11.08125,5.039333333333334,96.8,18.1051406879666
2008-01-01,7.157666666666667,9.697333333333333,7.933909090909091,11.478750000000002,5.2443333333333335,123.0,21.876220961472697
2008-02-01,7.127666666666666,9.674,7.801181818181817,11.41375,5.1626666666666665,33.6,21.6396933683363
2008-03-01,7.077666666666666,9.660666666666666,7.794818181818181,11.46125,4.859500000000001,68.0,29.3532001375542
2008-04-01,6.941,9.613999999999999,7.709363636363636,11.42625,4.767,83.4,41.917161106649104
2008-05-01,6.6610000000000005,9.227333333333332,7.424818181818182,11.22875,4.644500000000001,27.599999999999998,87.7278912262177
2008-06-01,6.720999999999999,9.294000000000002,7.484818181818182,11.22875,4.632000000000001,117.1,86.6435156016735
2008-07-01,6.521,9.217333333333334,7.293909090909091,11.00875,4.5344999999999995,70.4,106.6405469511273
2008-08-01,6.631,9.177333333333332,7.278454545454545,10.96375,4.4945,84.4,93.5640259211944
2008-09-01,6.660999999999999,9.280666666666667,7.253909090909091,10.886249999999999,4.477,118.4,66.2880382401746
2008-10-01,7.304333333333332,9.697333333333333,7.856010432190758,11.36875,4.8622868852459025,164.6,43.1979917802139
2008-11-01,7.254333333333334,9.700666666666665,7.979363636363636,10.7866,4.9695,81.19999999999999,26.1114820539287
2008-12-01,7.197666666666667,9.09425,7.998409836065574,10.9866,5.0045,68.0,14.094129811412099
2009-01-01,7.2909999999999995,9.09925,8.089363636363636,11.1426,5.0845,80.19999999999999,14.4162661505152
2009-02-01,7.024333333333334,9.04675,7.587083333333332,10.980599999999999,4.867,8.4,17.019996835669502
2009-03-01,6.864333333333332,8.87675,7.395416666666667,10.8386,4.757000000000001,26.0,32.5069233051035
2009-04-01,6.9110000000000005,9.109399999999999,7.396249999999999,10.7166,4.697000000000001,52.0,50.592554563180904
2009-05-01,6.614333333333334,8.7274,7.112916666666667,10.5786,4.557,43.4,73.9187381130205
2009-06-01,6.431,8.5534,6.974230769230768,10.4046,4.457,44.8,101.1836816271557
2009-07-01,6.481000000000001,8.567400000000001,6.934230769230769,10.292599999999998,4.402000000000001,104.3,106.79339913594089
2009-08-01,6.6243333333333325,8.58925,7.17725,10.1726,4.362,108.2,94.67605798916259
2009-09-01,6.407666666666667,8.29675,7.028916666666667,10.0626,4.3069999999999995,28.8,68.0742583034301
2009-10-01,6.377666666666666,8.397400000000001,6.956416666666666,9.9606,4.247,82.4,51.2615737056603
2009-11-01,7.214333333333332,9.0594,7.345000000000001,10.3386,4.6545000000000005,205.6,29.3416744176889
2009-12-01,7.124333333333333,9.1494,7.387307692307692,10.3886,4.644500000000001,87.2,13.4383625207979
2010-01-01,7.224333333333334,9.1974,7.444999999999999,10.424600000000002,4.612,55.0,9.4907913226698
2010-02-01,6.971,9.0114,7.254230769230769,10.3586,4.5445,36.4,11.8192629196582
2010-03-01,8.5945,8.134444444444446,7.288555555555555,10.3486,4.589499999999999,77.2,27.6823943633948
2010-04-01,8.386714285714286,7.8292631578947365,6.960222222222223,10.3126,4.447,17.2,46.689628311322295
2010-05-01,8.293857142857142,7.731999999999999,6.813,10.1446,4.327000000000001,38.199999999999996,69.1687576739669
2010-06-01,8.166714285714285,7.5461052631578935,6.486631578947368,9.478833333333332,4.3096000000000005,29.8,99.64487418171241
2010-07-01,8.43242857142857,7.7208421052631575,6.657684210526315,9.185375,4.4716000000000005,126.6,107.6769045974708
2010-08-01,8.099571428571428,7.421894736842105,6.418736842105264,8.957,4.2876,32.2,91.40006441700609
2010-09-01,8.273857142857143,7.509789473684211,6.435315789473684,8.879222222222221,4.2416,94.0,72.2254304360708
2010-10-01,8.449571428571428,7.614,6.499263157894737,8.827,4.2936,90.0,49.0996231603172
2010-11-01,8.493857142857141,7.748736842105263,6.624526315789474,8.970333333333333,4.409599999999999,86.0,21.516571546317802
2010-12-01,8.666714285714287,7.832947368421053,6.664000000000001,8.895888888888889,4.3776,53.6,5.9957081270811
2011-01-01,8.588142857142858,7.852947368421053,6.626,9.049222222222221,4.435600000000001,52.6,14.4679481890948
2011-02-01,8.67242857142857,7.957684210526316,6.701238095238095,9.132555555555555,4.5176,84.6,25.4151423145486
2011-03-01,8.445285714285715,7.7666315789473686,6.528380952380952,9.040333333333333,4.3596,29.6,31.941769306568098
2011-04-01,8.215285714285715,7.57821052631579,6.399809523809525,8.90922222222222,4.2756,32.2,62.1638884152945
2011-05-01,8.088142857142858,7.429263157894737,6.280285714285714,8.79477777777778,4.1856,77.8,78.60528228254441
2011-06-01,7.969571428571428,7.2861052631578955,6.1659999999999995,8.700333333333333,4.091600000000001,48.7999999999999,88.82982334495689
2011-07-01,7.828142857142857,6.9208823529411765,6.0201,8.516,4.0056,48.599999999999994,99.87969608622501
2011-08-01,7.816714285714285,6.992166666666666,6.20875,7.559666666666666,3.9516000000000004,67.6,90.46319216591631
2011-09-01,8.916237704918032,7.173887295081967,6.218832786885246,6.375016393442624,3.883516393442623,91.0,73.46562017722009
2011-10-01,9.1105,7.528111111111111,6.280800000000001,6.316,3.8995000000000006,76.59999999999991,54.3208467636056
2011-11-01,8.262428571428572,7.171187499999999,6.248499999999999,7.946333333333333,3.9736000000000002,61.7999999999999,33.4026341996052
2011-12-01,8.579571428571429,7.3918125,6.328937499999999,7.2116,4.1335999999999995,89.39999999999999,20.8270396712716
2012-01-01,8.452428571428571,7.421666666666667,6.160882352941177,7.2296,4.099600000000001,60.6,18.6185153218354
2012-02-01,8.411761904761905,7.548210526315791,6.642736842105263,7.1816,4.0216,37.3999999999999,18.9534098564478
2012-03-01,8.213857142857142,7.260000000000001,6.506052631578948,7.1136,3.9396,19.0,38.8812275543655
2012-04-01,8.192428571428572,7.199999999999999,6.492157894736842,7.0196,3.879600000000001,65.4,39.2810230938538
2012-05-01,8.066714285714285,7.119444444444444,6.430052631578946,6.967599999999999,3.8356000000000003,47.7999999999999,70.39426169094371
2012-06-01,8.278142857142857,7.212777777777777,6.475315789473685,6.929599999999999,3.8456,107.39999999999999,85.9582869093654
2012-07-01,8.146714285714285,7.206111111111111,6.4761,7.0756,3.9476000000000004,70.6,95.2706394013686
2012-08-01,8.471,7.494526315789473,6.352736842105263,7.027600000000001,3.9956000000000005,110.7,97.1669947028884
2012-09-01,8.592428571428572,7.644526315789473,6.501100000000001,7.137600000000001,4.071600000000001,112.0,65.163167366382
2012-10-01,8.893857142857142,8.05821052631579,6.783142857142857,8.074,4.2736,113.5999999999999,43.0565618248693
2012-11-01,8.989571428571429,8.310747195858498,7.229333333333334,9.044777777777776,4.5756,149.2,25.1103142420604
2012-12-01,9.04385714285714,8.393473684210525,7.720272727272729,9.46811111111111,4.797600000000001,128.0,18.1069981900302
2013-01-01,9.035285714285715,8.389789473684209,7.747545454545454,9.670333333333334,4.8216,62.2999999999999,15.313344307865
2013-02-01,8.948142857142857,8.336631578947367,7.690272727272727,9.887,4.815600000000001,60.3999999999999,15.478434841397199
2013-03-01,8.761242130750604,8.240842105263157,7.521636363636364,9.853666666666665,4.701600000000001,89.39999999999999,18.536646229945898
2013-04-01,8.526714285714284,8.035578947368421,7.299363636363637,9.692555555555556,4.599600000000001,32.7999999999999,41.1881222162515
2013-05-01,8.435285714285715,7.880842105263158,7.1557272727272725,9.578111111111111,4.4856,40.0,69.9649105903728
2013-06-01,8.218142857142857,7.665052631578948,6.968,9.450333333333333,4.3835999999999995,32.2,95.7209084036723
2013-07-01,8.095285714285714,7.515578947368421,6.792090909090908,9.27811111111111,4.265600000000001,42.0,121.2856667032748
2013-08-01,8.099571428571428,7.477157894736842,6.783,9.234777777777778,4.2476,68.1,98.4546047973685
2013-09-01,8.121,7.421368421052631,6.705857142857143,9.145888888888887,4.1996,76.2,71.0549863752
2013-10-01,8.573857142857143,7.756105263157895,6.980142857142857,9.254777777777777,4.373600000000001,173.8,55.6014582411958
2013-11-01,8.453857142857144,7.71557894736842,6.928238095238096,9.239222222222221,4.3536,35.8,26.376309191180397
2013-12-01,8.87315456674473,8.136105263157894,7.235380952380953,9.312555555555555,4.493600000000001,131.0,24.0293433675761
2014-01-01,8.973857142857144,8.332421052631581,7.695590909090909,9.801444444444444,4.887600000000001,159.1999999999999,20.6453615711441
2014-02-01,9.015285714285714,8.366105263157895,7.787954545454545,9.982555555555557,5.027600000000001,102.6,22.6444674545539
2014-03-01,8.860999999999999,8.307684210526316,7.701045454545454,10.000333333333332,4.9176,54.0,34.9208184013103
2014-04-01,8.631,8.177157894736842,7.461023521026372,9.849222222222222,4.759600000000001,36.0,52.06494965155721
2014-05-01,8.542428571428571,8.014,7.327217391304348,9.760333333333332,4.647600000000001,92.8,73.35482214245059
2014-06-01,8.216714285714286,7.694526315789473,7.075043478260868,9.570333333333332,4.509600000000001,46.7999999999999,94.7918339239444
2014-07-01,8.036714285714286,7.505578947368419,6.737538461538462,9.393666666666666,4.3856,48.2,111.4793229203964
2014-08-01,8.046714285714286,7.420315789473685,6.6406153846153835,9.257,4.313599999999999,109.39999999999999,87.17330020151259
2014-09-01,7.9110000000000005,7.271368421052631,6.502153846153846,9.101444444444446,4.2196,8.0,73.2238898085541
2014-10-01,8.542428571428571,7.76821052631579,6.8467692307692305,9.235888888888887,4.4276,158.6,51.0414952028619
2014-11-01,8.488142857142858,7.821894736842103,6.926000000000001,9.337,4.515600000000001,59.0,27.5006680344286
