Block,beta_1_P_summer,beta_2_h_max_winter,intercept,R2,n_hydrological_years,p_value_P_summer,p_value_h_max_winter,p_value_intercept,equation
Lake_Edge,0.001389516307773129,0.41488456802886775,-1.4302180562821771,0.40433300126259375,19,0.005434301369270564,0.048571641685175346,1.5303121262328402e-07,h_min_summer = (0.00139*P_summer) + (0.415*h_max_winter) - 1.430
Eastern_Block,0.0016409033050688374,0.5078528818522212,-1.5730946388887426,0.6259116071445505,20,0.0005604439456050687,0.00016418119389041808,2.2549286900718956e-09,h_min_summer = (0.00164*P_summer) + (0.508*h_max_winter) - 1.573
Western_Block,0.0011645815125517246,0.536745306437557,-1.4367600741057744,0.7114951308265873,20,0.0121551537350419,6.332012907771488e-06,2.7026552558042965e-08,h_min_summer = (0.00116*P_summer) + (0.537*h_max_winter) - 1.437
Forest,0.0010628244748969685,0.7118006749422444,-1.4360435531354472,0.9120527387059284,19,0.01343174501661954,8.194677651805526e-10,1.4765669519529935e-08,h_min_summer = (0.00106*P_summer) + (0.712*h_max_winter) - 1.436
Coastal_Forest,0.0007172754845081678,0.5262656643860604,-1.3462722649811316,0.9066553611128692,19,0.03209374217588242,1.4535539495839228e-09,7.016436287040958e-09,h_min_summer = (0.00072*P_summer) + (0.526*h_max_winter) - 1.346
