Contrast,Basis,pre_months,post_months,pre_mean_m,post_mean_m,step_m,se_hac_m,ci_lo_m,ci_hi_m,p_hac,p_welch,nw_maxlags
Impact - Forest Ctrl,scrape-to-fell vs post-fell,32,95,-0.03904069500350123,0.008229199097665674,0.04726989410116693,0.03159865689056632,-0.014663473404343055,0.10920326160667691,0.13466764754232638,0.012505540058929789,4
Impact - Forest Ctrl,all pre-fell vs post-fell,88,95,-0.012709428158382633,0.008229199097665674,0.020938627256048302,0.019960291951826185,-0.01818354496953102,0.060060799481627625,0.29417163916250566,0.10171759131231105,4
Edge - Forest Ctrl,scrape-to-fell vs post-fell,32,97,-0.06078546315518329,-0.0706013767356547,-0.009815913580471356,0.019615252734811305,-0.04826180894070151,0.028629981779758805,0.6167776219786102,0.4219034629835745,4
Edge - Forest Ctrl,all pre-fell vs post-fell,92,97,-0.021272813966521663,-0.0706013767356547,-0.04932856276913307,0.01588982641487621,-0.08047262254229044,-0.0181845029959757,0.0019065783848702508,1.3633869458832543e-06,4
