control_tier,zone,clearfell_step_free_m,clearfell_step_free_p,s_coast_fitted,clearfell_step_fixed1_m,clearfell_step_fixed1_se_m,clearfell_step_fixed1_p,shift_mm
Forest,Impact,0.10823026378395303,0.003423016628998919,1.5126866608554057,0.07712984158467358,0.024317550888871824,0.0018225885990934534,-31.100422199279457
Forest,Edge,0.030897714600420557,0.23316002735738345,1.182650407073436,0.02139287934121785,0.017426594643273657,0.2215076294902713,-9.504835259202707
Combined,Impact,0.0656004116094361,0.0006887415927793057,1.1290135733622906,0.0627533414523221,0.012665783950707131,2.163567233588902e-06,-2.8470701571139956
Combined,Edge,-0.02054806280453444,0.1459475105687446,-0.007150553379327531,-0.005735682872492051,0.00951632052929593,0.5477526423125361,14.812379932042392
FarField,Impact,-0.08559734449399103,0.17130607371221776,-1.5191268336701231,0.1031256286590626,0.04398368028105878,0.02024357592053668,188.72297315305363
FarField,Edge,-0.15709819877226833,0.02003453779203942,-1.7409782634871465,0.02044868764965216,0.04827116036497826,0.672390459559769,177.54688642192048
