Well,Period,Tier,beta_1_recharge,beta_1_conf_low,beta_1_conf_high,beta_2_atmospheric_draw,beta_2_conf_low,beta_2_conf_high,beta_3_drainage,beta_3_conf_low,beta_3_conf_high
FE2,Before,impact,2.784,2.213439800523899,3.3539802782915906,2.257,1.3740547509248553,3.139027443587873,0.048,0.011768400557754778,0.08481122063158705
FE2,After,impact,2.755,2.3208367619123575,3.189669799778017,1.799,1.24102061236781,2.3568192769120664,0.048,0.024513622985299494,0.07179786278325875
FE2,After_Scrape2,impact,2.467,1.6461006356003394,3.288301847452903,2.02,0.8450877766069897,3.1951837540938213,0.038,-0.011514092509722393,0.08774962193032561
FE4,After,impact,2.556,2.016586457763069,3.096222981356427,1.631,0.9370637944634937,2.3242402532101054,0.047,0.018858080932964927,0.0757669675109674
FE4,After_Scrape2,impact,2.939,2.3166296541263183,3.5607989449270097,2.094,1.1836715419774677,3.0049359588176747,0.051,0.014462100065637508,0.08711056821625243
WMC3,Before,impact,2.399,1.9938832673895592,2.8046699554918333,1.811,1.2772552167518512,2.3456727405235425,0.036,0.01763009678220701,0.0544725831240153
WMC3,After,impact,2.51,1.958076901832089,3.0618064105577254,1.571,0.8725531559127849,2.2694624035789697,0.037,0.01244963747053204,0.06246359201367205
WMC3,After_Scrape2,impact,2.146,1.1926294555847567,3.0997258158328327,1.793,0.5028524651825497,3.083807491541466,0.027,-0.020848315572291047,0.07393703997324719
FE1,Before,edge,2.855,2.1652589444304615,3.5457093652899436,2.82,1.7444317480494351,3.8956283953501147,0.026,-0.0066860461062430085,0.058001807705421286
FE1,After,edge,2.345,1.8699829478849548,2.8199982908530705,2.538,1.9134120052067503,3.1619617437118506,0.009,-0.010194470692955728,0.028869183674671933
FE1,After_Scrape2,edge,2.678,1.7822066489823838,3.5733216018623795,2.86,1.524532483330702,4.1947582795332625,0.016,-0.024787623252635796,0.0577031812123593
FE3,After,edge,2.451,2.020910194430689,2.8808362159777436,1.445,0.904619795195028,1.9847336539726266,0.061,0.033271467352396125,0.0880030815456988
FE3,After_Scrape2,edge,2.886,2.231082944264562,3.5407215347676844,1.952,1.0470750048957247,2.8576811417815757,0.068,0.023063229335914155,0.11369608396503317
LIS1,After,edge,2.669,2.0173777439815477,3.319767619819563,2.216,1.3710347638434377,3.0603363780487736,0.026,0.0006670372140432368,0.05208422881612836
LIS1,After_Scrape2,edge,2.97,1.9811437264974636,3.9593750785721813,2.938,1.4777502127076612,4.397565858299091,0.023,-0.0216933610566803,0.06674624076267802
NW8B,Before,edge,3.616,2.9250931932898743,4.306703059389174,2.387,1.3990715142279098,3.3745899305493787,0.068,0.029571591817224616,0.10704467872456232
NW8B,After,edge,3.152,2.6136242648439767,3.6907298415702385,1.833,1.152261115985979,2.513091883087129,0.057,0.030517102572582198,0.08337152256236272
NW8B,After_Scrape2,edge,3.111,2.274938688534915,3.94763424044662,2.147,0.9709144305148321,3.32355292899976,0.055,0.009261568939257309,0.10095901339070538
CEH20,Before,edge,2.548,2.1939383692680394,2.90227250139038,2.045,1.5745315202328483,2.516098902267766,0.036,0.020428395644969843,0.05098212126503933
CEH20,After,edge,2.381,1.9035308781403897,2.8591852721765845,2.118,1.4906876395034616,2.744809508429443,0.022,-0.0003231489177981106,0.04453020275055794
CEH20,After_Scrape2,edge,2.853,2.1149236519118717,3.5905294739956086,2.207,1.0821047301317925,3.3316025317307165,0.038,-0.0011487887296219995,0.0761770286409605
CEH30,Before,edge,2.571,2.150779426413475,2.9915533863438,2.022,1.4699220387243668,2.574574936301564,0.045,0.022155836906421075,0.06872871406979665
CEH30,After,edge,2.106,1.6356145501199677,2.5770671842515434,2.049,1.431624176999072,2.6656745897726526,0.019,-0.007628231913020176,0.04577995041380668
CEH30,After_Scrape2,edge,2.59,1.9222752702170185,3.2570757412544245,2.409,1.3959965317510197,3.421646938004633,0.033,-0.009445596892059809,0.07500889594171853
CEH31,Before,edge,2.731,2.354323284482973,3.108257439995052,1.445,0.9711054244859467,1.9192955532738634,0.062,0.04254545664216795,0.08066080753414061
CEH31,After,edge,2.038,1.5223449799776168,2.5529389919352896,1.219,0.578945256618607,1.8598243108023786,0.038,0.011230763743806448,0.06505832826890331
CEH31,After_Scrape2,edge,2.106,1.0637788772517303,3.148312864584848,1.479,0.05558531418190338,2.902787415564024,0.039,-0.022320774227609974,0.0997305538093074
NW5,Before,climate,3.566,3.1710891058830306,3.9600657524555496,2.166,1.6566810420279714,2.675150983779747,0.049,0.035397825435112766,0.06239921848825777
NW5,After,climate,3.467,2.809398791780497,4.124016804054206,1.768,0.9446797209554234,2.5917047312504184,0.05,0.026114798344507056,0.0743327661679302
NW5,After_Scrape2,climate,3.638,2.724152180234025,4.552077446185605,2.117,0.8583083922518282,3.3753263264728606,0.053,0.014753910383866496,0.09093662091128513
NW6,Before,climate,3.497,3.0591178960810588,3.935412350015394,1.482,0.9208752184587222,2.042633128267628,0.057,0.042478087469376945,0.0716617262906073
NW6,After,climate,3.405,2.792350058114002,4.018424038302162,0.756,0.013503346706945862,1.4980200465024431,0.064,0.042442792083870806,0.08491711754312112
NW6,After_Scrape2,climate,2.353,1.123870986624435,3.5823816333366763,1.957,0.3293573888318786,3.5836722415099893,0.024,-0.024795737693928004,0.0730314710643922
NW7,Before,climate,3.077,2.6947522319408037,3.45841371165605,1.967,1.468760455087177,2.4647124995614864,0.051,0.03470162828823398,0.06725519721992892
NW7,After,climate,2.691,2.137454988201011,3.243818650164035,1.539,0.845637645099214,2.233271974226566,0.046,0.020434856108922046,0.07186887692353316
NW7,After_Scrape2,climate,2.859,1.8995651403111422,3.8177120376207823,2.276,0.9014787148117152,3.6504225574244598,0.038,-0.012590314197119992,0.08774384275180575
CEH1,Before,climate,4.442,3.9922741471792698,4.890955079798408,2.558,1.9860276764962297,3.130320250003443,0.064,0.04899698853503597,0.079351678204399
CEH1,After,climate,4.32,3.734390868840187,4.906299421891774,2.111,1.3770261246114428,2.8455234701380014,0.064,0.042937299169993656,0.08515749027695611
CEH1,After_Scrape2,climate,4.594,3.5890624718192754,5.599609420154662,2.715,1.310787883655602,4.118536874133447,0.067,0.026849755088777523,0.10671903363231641
NW10,Before,forest,3.322,2.9358920429910005,3.7079669500647943,2.568,2.0573969705019453,3.078222288052408,0.044,0.028087066123192315,0.059775456333018145
NW10,After,forest,3.271,2.682281195317442,3.859827454321583,2.176,1.4130051561338277,2.9396132570115663,0.044,0.018784429868520306,0.06893772215484675
NW10,After_Scrape2,forest,3.546,2.771192003220367,4.320590958415302,3.037,1.8972917962907845,4.176467621700376,0.039,0.0029108147409380378,0.07502320796088383
CEH2,Before,forest,2.86,2.515673579218398,3.203807153794191,2.563,2.0987292646699545,3.026600592817314,0.032,0.017006938251746657,0.047121768902048465
CEH2,After,forest,2.615,2.0057890044290194,3.224250348107898,2.715,1.908180644828669,3.5208684318360395,0.016,-0.012222658308734112,0.04392728477607999
CEH2,After_Scrape2,forest,3.023,2.194169143874881,3.8515473555098825,3.214,1.9504033685098767,4.477652023410787,0.021,-0.021523230230364877,0.06420024623602341
CEH13,Before,forest,1.89,1.4753232050146148,2.304386064894276,2.179,1.6173150764014568,2.74160828976687,0.011,-0.006327142638431765,0.029057727262509526
CEH13,After,forest,1.844,1.194959409490105,2.4939219382136146,2.397,1.51303915183074,3.280669264150907,-0.001,-0.03015285967404253,0.029042631552256493
CEH13,After_Scrape2,forest,2.364,1.3175695647211392,3.4096364321036043,3.134,1.4196380280715724,4.848147062719791,0.001,-0.053040315251467615,0.05534863345927114
CEH32,Before,forest,2.436,2.0321271501368128,2.8394840571057,2.357,1.8060565154067532,2.907710049568099,0.031,0.008008162316933964,0.053290498251560875
CEH32,After,forest,2.161,1.7002449168338782,2.622498405174053,2.478,1.851525008975516,3.104199391169768,0.009,-0.01743099709951885,0.03484112884850343
CEH32,After_Scrape2,forest,2.673,1.6528353363036778,3.6936171369483137,2.898,1.250580959143662,4.546042711402171,0.021,-0.04516708588251281,0.08633593158118244
CEH4,Before,coastal,3.221,2.9125131308820644,3.5291644479837276,1.245,0.8612022721681936,1.6286957180477424,0.057,0.046111477038016206,0.06727295151764615
CEH4,After,coastal,3.361,2.9297444827130343,3.791662478875569,0.907,0.38752269924164096,1.4262766592814953,0.066,0.04974665616486218,0.08198505080112084
CEH4,After_Scrape2,coastal,3.574,2.8295335288699386,4.318230475988513,1.518,0.5219116636253404,2.513284168432484,0.068,0.036291045575570974,0.09975051825972744
CEH22,Before,coastal,2.755,2.4262341242930487,3.0835502008150755,0.749,0.34299363231337576,1.1553031371997762,0.053,0.041426242287932236,0.0638713286065944
CEH22,After,coastal,2.812,2.4182637325816985,3.2052249675366196,0.151,-0.31775707209065873,0.6200882470506971,0.064,0.04922096959631635,0.07779675541888638
CEH22,After_Scrape2,coastal,1.408,0.6316706192423747,2.1839635160757904,0.577,-0.41520780973963445,1.5685129309136712,0.026,-0.006375256964686576,0.05871474033809221
CEH18,Before,coastal,3.13,2.8036440315135653,3.45540909389187,1.865,1.451417411365679,2.278417675575789,0.047,0.0354935797094052,0.0588594681757304
CEH18,After,coastal,3.424,2.7969395810282833,4.051999236364891,1.469,0.6967339675161088,2.2419396279532355,0.059,0.0349010373310951,0.08358866365685613
CEH18,After_Scrape2,coastal,2.591,1.4737298043397042,3.7083513879039995,1.772,0.2654626497300756,3.279144494804558,0.037,-0.012911154660138362,0.08749623970386927
