subset,drift_variant,n_controls,controls_used,step_mm,se_mm,p
all5,free_trend,5,ceh32;ceh34;ceh33;nw10;ceh2,108.23026378395303,36.4108893861987,0.003423016628998919
all5,fixed_s1,5,ceh32;ceh34;ceh33;nw10;ceh2,77.12930891997895,24.31755437012871,0.0018227203701810268
all5,no_trend,5,ceh32;ceh34;ceh33;nw10;ceh2,16.466613284244644,25.088459086135405,0.5125648129874176
drop_in_block,free_trend,3,ceh34;nw10;ceh2,87.76363050011234,36.26171803750563,0.016657312240429812
drop_in_block,fixed_s1,3,ceh34;nw10;ceh2,67.50950686680387,24.159923654146038,0.0058501119284562406
drop_in_block,no_trend,3,ceh34;nw10;ceh2,6.846811231068752,24.800490474658915,0.7828530407934922
drop_CEH32,free_trend,4,ceh34;ceh33;nw10;ceh2,98.61465245002627,34.09734772435584,0.004373051599810595
drop_CEH32,fixed_s1,4,ceh34;ceh33;nw10;ceh2,75.97162008842889,22.734741553938647,0.001040931374599221
drop_CEH32,no_trend,4,ceh34;ceh33;nw10;ceh2,15.30892445269385,23.44593752801892,0.5147462702639026
outside_only,free_trend,2,ceh34;ceh2,109.79712046115289,36.635439932584816,0.003164208773828471
outside_only,fixed_s1,2,ceh34;ceh2,84.98992039026508,24.64594011980656,0.0007207510564815531
outside_only,no_trend,2,ceh34;ceh2,24.745530975847533,25.331462335813193,0.33010847227046247
drop_NW10,free_trend,4,ceh32;ceh34;ceh33;ceh2,131.6127334401155,37.1299257708202,0.0005165094341929795
drop_NW10,fixed_s1,4,ceh32;ceh34;ceh33;ceh2,90.54685693560506,25.087605641025114,0.00041033180587531293
drop_NW10,no_trend,4,ceh32;ceh34;ceh33;ceh2,30.302467521186852,25.95745471318151,0.24478977486640438
in_block_only,free_trend,2,ceh32;ceh33,151.83666664058978,41.29150804164767,0.0003187062326609781
in_block_only,fixed_s1,2,ceh32;ceh33,86.27425082469288,28.16352219450787,0.0025546517181267497
in_block_only,no_trend,2,ceh32;ceh33,25.511746913157516,29.18707942990565,0.383339248270116
