Placebo,Contrast,Pseudo_date,pre_months,post_months,pre_mean_m,post_mean_m,step_m,se_hac_m,ci_lo_m,ci_hi_m,p_hac,p_welch,nw_maxlags
in-space,Climate Ctrl - Forest Ctrl,2017-12-01,32,97,-0.013870964125446524,-0.03639522431243701,-0.02252426018699047,0.06052877492130225,-0.14116065903274289,0.09611213865876193,0.7097999087385269,0.5450021887073591,4
in-space,Coastal Ctrl - Forest Ctrl,2017-12-01,32,97,-0.08413798937847927,-0.09750299972701712,-0.013365010348537763,0.02314045775247039,-0.05872030754337973,0.0319902868463042,0.563560998261663,0.40361548577967493,4
in-time,Impact - Forest Ctrl,2014-04-01,44,44,0.004220205662098347,-0.02963906197886572,-0.03385926764096405,0.026994718866928356,-0.08676891662014363,0.019050381338215523,0.2097357866900056,0.07216695517490399,3
in-time,Impact - Forest Ctrl,2015-09-01,61,27,-0.002050896852671093,-0.03678981370091954,-0.034738916848248466,0.035340683479640686,-0.10400665646834421,0.03452882277184728,0.32562101722780123,0.1172706455720313,3
