Parameter,Well,Era,Value,Unit,Note,Source
ANCOVA_Forest_Impact_clearfell_step,Impact,Post_felling,0.108230263783953,m,"p=0.0034, CI=[0.0369,0.1796]",10a
ANCOVA_Forest_Impact_scraping_step,Impact,Post_scraping,0.315507032929833,m,p=0.0047,10a
ANCOVA_Forest_Impact_R2,Impact,,0.2315193224239856,,Model R²,10a
ANCOVA_Forest_Impact_N,Impact,,162.0,months,Sample size,10a
ANCOVA_Forest_Impact_coeff_intercept,Impact,,0.1110406706268905,m,"SE=0.025805, p=<0.001",10a
ANCOVA_Forest_Impact_coeff_cwb,Impact,,-0.0003989083364317,m,"SE=0.000132, p=0.0030",10a
ANCOVA_Forest_Impact_coeff_scraping,Impact,,0.315507032929833,m,"SE=0.109913, p=0.0047",10a
ANCOVA_Forest_Impact_coeff_clearfell,Impact,,0.108230263783953,m,"SE=0.036411, p=0.0034",10a
ANCOVA_Forest_Impact_coeff_cwb_x_fell,Impact,,-9.21941922996825e-05,m,"SE=0.000168, p=0.5837",10a
ANCOVA_Forest_Impact_coeff_coastal_x_time,Impact,,1.5126866608554057,m,"SE=0.447092, p=<0.001",10a
ANCOVA_Forest_Impact_s_coast,Impact,,1.5126866608554057,,"SE=0.4471, p vs 0=<0.001, p vs 1=0.2533; the amplitude of the Script 25 coastal gradient this pair feels, 1 = exactly the fitted field. Differential -10.68 mm/yr from 25_01_panel_fit_parameters.csv [full_canopy/linear_capped]",10a
ANCOVA_Forest_Impact_clearfell_step_s_fixed1,Impact,Post_felling,0.0771298415846735,m,"SENSITIVITY, not the headline (D-076): the clearfell step with the coastal correction imposed at the fitted amplitude (s_coast = 1) instead of estimated. p=0.0018; moves the headline by -31.1 mm",10a
ANCOVA_Forest_Impact_Oct2023_step,Impact,Oct2023,0.4254236508939984,m,"p=<0.001, dAIC=-9.38",10a
ANCOVA_Forest_Edge_clearfell_step,Edge,Post_felling,0.0308977146004205,m,"p=0.2332, CI=[-0.0197,0.0815]",10a
ANCOVA_Forest_Edge_scraping_step,Edge,Post_scraping,0.5623001367935998,m,p=<0.001,10a
ANCOVA_Forest_Edge_R2,Edge,,0.4546869619888051,,Model R²,10a
ANCOVA_Forest_Edge_N,Edge,,156.0,months,Sample size,10a
ANCOVA_Forest_Edge_coeff_intercept,Edge,,-0.0218254602077789,m,"SE=0.018652, p=0.2438",10a
ANCOVA_Forest_Edge_coeff_cwb,Edge,,-0.000525408815958,m,"SE=0.000094, p=<0.001",10a
ANCOVA_Forest_Edge_coeff_scraping,Edge,,0.5623001367935998,m,"SE=0.136184, p=<0.001",10a
ANCOVA_Forest_Edge_coeff_clearfell,Edge,,0.0308977146004205,m,"SE=0.025811, p=0.2332",10a
ANCOVA_Forest_Edge_coeff_cwb_x_fell,Edge,,-0.0001406690919687,m,"SE=0.000123, p=0.2552",10a
ANCOVA_Forest_Edge_coeff_coastal_x_time,Edge,,1.182650407073436,m,"SE=0.365107, p=0.0015",10a
ANCOVA_Forest_Edge_s_coast,Edge,,1.182650407073436,,"SE=0.3651, p vs 0=0.0015, p vs 1=0.6176; the amplitude of the Script 25 coastal gradient this pair feels, 1 = exactly the fitted field. Differential -9.48 mm/yr from 25_01_panel_fit_parameters.csv [full_canopy/linear_capped]",10a
ANCOVA_Forest_Edge_clearfell_step_s_fixed1,Edge,Post_felling,0.0213928793412178,m,"SENSITIVITY, not the headline (D-076): the clearfell step with the coastal correction imposed at the fitted amplitude (s_coast = 1) instead of estimated. p=0.2215; moves the headline by -9.5 mm",10a
ANCOVA_Forest_Edge_Oct2023_step,Edge,Oct2023,0.6437782373945049,m,"p=<0.001, dAIC=-13.94",10a
ANCOVA_Climate_Impact_clearfell_step,Impact,Post_felling,-0.0193019751721331,m,"p=0.4626, CI=[-0.0707,0.0321]",10a
ANCOVA_Climate_Impact_scraping_step,Impact,Post_scraping,0.0138798529888661,m,p=0.9141,10a
ANCOVA_Climate_Impact_R2,Impact,,0.1887599012571303,,Model R²,10a
ANCOVA_Climate_Impact_N,Impact,,140.0,months,Sample size,10a
ANCOVA_Climate_Impact_coeff_intercept,Impact,,-0.5287009262435688,m,"SE=0.020374, p=<0.001",10a
ANCOVA_Climate_Impact_coeff_cwb,Impact,,-0.0003639146960823,m,"SE=0.000115, p=0.0020",10a
ANCOVA_Climate_Impact_coeff_scraping,Impact,,0.0138798529888661,m,"SE=0.128452, p=0.9141",10a
ANCOVA_Climate_Impact_coeff_clearfell,Impact,,-0.0193019751721331,m,"SE=0.026201, p=0.4626",10a
ANCOVA_Climate_Impact_coeff_cwb_x_fell,Impact,,0.000100694134677,m,"SE=0.000139, p=0.4687",10a
ANCOVA_Climate_Impact_coeff_coastal_x_time,Impact,,-8.712570169628217,m,"SE=3.520989, p=0.0146",10a
