Zone,Status,n_wells,wells,baseline_months,baseline_R2,baseline_rmse_m,gross_step_m,gross_p_hac,gross_p_welch
Impact,ok,1.0,wmc3,56.0,0.9896275656591842,0.13458907904143733,0.09931247064332495,0.010960406414647222,0.0010811682732555052
Edge,ok,4.0,ceh31 ceh20 ceh30 ceh16,60.0,0.9878127652815726,0.1630883402801661,0.040230371104587846,0.3833289496166532,0.23308611107764318
Forest Ctrl,ok,5.0,ceh32 ceh34 ceh33 nw10 ceh2,60.0,0.9899676744145778,0.1609615799167992,0.050046284685059235,0.4064118010712763,0.21984098703488508
Climate Ctrl,ok,5.0,ceh9 nw7 nw6 nw5 wmc2,60.0,0.9952019869483073,0.061595838098331114,0.02752202449806879,0.2511108197653078,0.07276243989296335
Coastal Ctrl,ok,2.0,ceh19 ceh17,60.0,0.9896121332028397,0.1579771692272056,0.03668127433652144,0.4623790262101597,0.327091034722619
Far-field Ctrl,"refused: tier shares wells with the donor pool: ceh5, ceh6",,,,,,,,
