Parameter,Well,Era,Value,Unit,Note
ANCOVA_Forest_Impact_clearfell_step,Impact,Post_felling,0.10823026378395303,m,"p=0.0034, CI=[0.0369,0.1796]"
ANCOVA_Forest_Impact_scraping_step,Impact,Post_scraping,0.315507032929833,m,p=0.0047
ANCOVA_Forest_Impact_R2,Impact,,0.23151932242398565,,Model R²
ANCOVA_Forest_Impact_N,Impact,,162.0,months,Sample size
ANCOVA_Forest_Impact_coeff_intercept,Impact,,0.11104067062689059,m,"SE=0.025805, p=<0.001"
ANCOVA_Forest_Impact_coeff_cwb,Impact,,-0.0003989083364317114,m,"SE=0.000132, p=0.0030"
ANCOVA_Forest_Impact_coeff_scraping,Impact,,0.315507032929833,m,"SE=0.109913, p=0.0047"
ANCOVA_Forest_Impact_coeff_clearfell,Impact,,0.10823026378395303,m,"SE=0.036411, p=0.0034"
ANCOVA_Forest_Impact_coeff_cwb_x_fell,Impact,,-9.21941922996825e-05,m,"SE=0.000168, p=0.5837"
ANCOVA_Forest_Impact_coeff_coastal_x_time,Impact,,1.5126866608554057,m,"SE=0.447092, p=<0.001"
ANCOVA_Forest_Impact_s_coast,Impact,,1.5126866608554057,,"SE=0.4471, p vs 0=<0.001, p vs 1=0.2533; the amplitude of the Script 25 coastal gradient this pair feels, 1 = exactly the fitted field. Differential -10.68 mm/yr from 25_01_panel_fit_parameters.csv [full_canopy/linear_capped]"
ANCOVA_Forest_Impact_clearfell_step_s_fixed1,Impact,Post_felling,0.07712984158467358,m,"SENSITIVITY, not the headline (D-076): the clearfell step with the coastal correction imposed at the fitted amplitude (s_coast = 1) instead of estimated. p=0.0018; moves the headline by -31.1 mm"
ANCOVA_Forest_Impact_Oct2023_step,Impact,Oct2023,0.4254236508939984,m,"p=<0.001, dAIC=-9.38"
ANCOVA_Forest_Edge_clearfell_step,Edge,Post_felling,0.030897714600420557,m,"p=0.2332, CI=[-0.0197,0.0815]"
ANCOVA_Forest_Edge_scraping_step,Edge,Post_scraping,0.5623001367935998,m,p=<0.001
ANCOVA_Forest_Edge_R2,Edge,,0.4546869619888051,,Model R²
ANCOVA_Forest_Edge_N,Edge,,156.0,months,Sample size
ANCOVA_Forest_Edge_coeff_intercept,Edge,,-0.021825460207778934,m,"SE=0.018652, p=0.2438"
ANCOVA_Forest_Edge_coeff_cwb,Edge,,-0.0005254088159580105,m,"SE=0.000094, p=<0.001"
ANCOVA_Forest_Edge_coeff_scraping,Edge,,0.5623001367935998,m,"SE=0.136184, p=<0.001"
ANCOVA_Forest_Edge_coeff_clearfell,Edge,,0.030897714600420557,m,"SE=0.025811, p=0.2332"
ANCOVA_Forest_Edge_coeff_cwb_x_fell,Edge,,-0.0001406690919687337,m,"SE=0.000123, p=0.2552"
ANCOVA_Forest_Edge_coeff_coastal_x_time,Edge,,1.182650407073436,m,"SE=0.365107, p=0.0015"
ANCOVA_Forest_Edge_s_coast,Edge,,1.182650407073436,,"SE=0.3651, p vs 0=0.0015, p vs 1=0.6176; the amplitude of the Script 25 coastal gradient this pair feels, 1 = exactly the fitted field. Differential -9.48 mm/yr from 25_01_panel_fit_parameters.csv [full_canopy/linear_capped]"
ANCOVA_Forest_Edge_clearfell_step_s_fixed1,Edge,Post_felling,0.02139287934121785,m,"SENSITIVITY, not the headline (D-076): the clearfell step with the coastal correction imposed at the fitted amplitude (s_coast = 1) instead of estimated. p=0.2215; moves the headline by -9.5 mm"
