Well,Label,Distance_m,Role,Scrape_era_mean,Post_fell_mean,Step_change_m
CEH2,CEH2 Pine/BL margin,414,reference,-1.4051664959016392,-1.2978571428571428,0.1073093530444964
CEH34,CEH34 Forest control,285,forest_ctrl,-0.9732812500000001,-0.898673469387755,0.07460778061224504
WMC3,WMC3 Core impact,92,impact,-1.343919057377049,-1.2181482101037138,0.1257708472733352
NW8B,NW8B Edge E,184,edge,-1.5813333333333333,-1.4774489795918366,0.10388435374149663
CEH20,CEH20 Edge N,186,edge,-1.370625,-1.2777230892356943,0.09290191076430565
CEH16,CEH16 Edge W,191,edge,-0.9579687500000001,-0.9480612244897957,0.009907525510204462
