Date,Impact_Mean,Edge_Mean,Control_Mean,Impact_BACI_Delta,Edge_BACI_Delta,Impact_CUSUM,Edge_CUSUM
2009-06-01,-1.13,-0.85,-0.8775000000000001,-0.25249999999999984,0.02750000000000008,-0.09436465814467845,0.07865754130887335
2009-08-01,-1.22,-0.985,-0.9949999999999999,-0.2250000000000001,0.009999999999999898,-0.16122931628935716,0.13981508261774653
2009-09-01,-1.3250000000000002,-1.0725,-1.1125,-0.21250000000000013,0.040000000000000036,-0.2155939744340359,0.23097262392661982
2009-10-01,-1.42,-1.1949999999999998,-1.225,-0.19499999999999984,0.03000000000000025,-0.25245863257871437,0.31213016523549336
2009-12-01,-1.0,-0.78,-0.78,-0.21999999999999997,0.0,-0.31432329072339293,0.36328770654436665
2010-01-01,-0.93,-0.74,-0.8300000000000001,-0.09999999999999998,0.09000000000000008,-0.2561879488680715,0.50444524785324
2010-02-01,-0.97,-0.735,-0.79,-0.17999999999999994,0.05500000000000005,-0.27805260701275003,0.6106027891621133
2010-03-01,-1.045,-0.8125,-0.8525,-0.1924999999999999,0.040000000000000036,-0.3124172651574285,0.7017603304709866
2010-04-01,-1.09,-0.92,-0.9500000000000001,-0.14,0.030000000000000027,-0.2942819233021071,0.7829178717798599
2010-06-01,-1.25,-1.05,-1.115,-0.135,0.06499999999999995,-0.2711465814467857,0.8990754130887332
2010-07-01,-1.31,-1.38375,-1.4887499999999998,0.17874999999999974,0.10499999999999976,0.06573876040853543,1.0552329543976062
2010-08-01,-1.23,-1.5325,-1.528,0.29800000000000004,-0.0044999999999999485,0.5218741022638569,1.1018904957064795
2010-10-01,-1.52,-1.5950000000000002,-1.5699999999999998,0.04999999999999982,-0.025000000000000355,0.7300094441191781,1.1280480370153523
2010-11-01,-1.53,-1.5850000000000002,-1.6019999999999999,0.07199999999999984,0.016999999999999682,0.9601447859744994,1.1962055783242251
2010-12-01,-1.32,-1.4225,-1.462,0.1419999999999999,0.03949999999999987,1.2602801278298208,1.2868631196330982
2011-01-01,-1.33,-1.44625,-1.4649999999999999,0.1349999999999998,0.018749999999999822,1.553415469685142,1.3567706609419712
2011-03-01,-1.19,-1.3075,-1.3239999999999998,0.1339999999999999,0.016499999999999737,1.8455508115404635,1.424428202250844
2011-04-01,-1.35,-1.46,-1.452,0.10199999999999987,-0.008000000000000007,2.105686153395785,1.4675857435597173
2011-05-01,-1.43,-1.5699999999999998,-1.546,0.1160000000000001,-0.0239999999999998,2.3798214952511065,1.4947432848685906
2011-06-01,-1.53,-1.6475,-1.6760000000000002,0.14600000000000013,0.028500000000000192,2.683956837106428,1.574400826177464
2011-07-01,-1.61,-1.7525000000000002,-1.766,0.15599999999999992,0.013499999999999845,2.998092178961749,1.639058367486337
2011-08-01,-1.7,-1.8499999999999999,-1.8679999999999999,0.16799999999999993,0.018000000000000016,3.3242275208170704,1.7082159087952102
2011-09-01,-1.79,-1.9299999999999997,-1.9283755458515284,0.13837554585152834,-0.0016244541484713437,3.6207384085239203,1.757748995955612
2011-10-01,-1.7932967032967033,-1.9607377049180328,-1.9574250030876847,0.16412829979098142,-0.0033127018303480416,3.943002050170223,1.8055938354341372
2011-11-01,-1.7967032967032968,-1.9924999999999997,-1.9874427755650466,0.1907394788617498,-0.005057224434953156,4.291876870887294,1.8516941523080572
2011-12-01,-1.8,-2.005,-2.0524999999999998,0.2524999999999997,0.047499999999999876,4.702512212742615,1.9503516936169303
