Date,Control,Zone,BACI_raw,BACI_corrected,CWB
2011-01-01,Forest,Impact,0.27,0.21216186913293342,-321.03443463434746
2011-02-01,Forest,Impact,0.254,0.2158882996069171,-277.91655544150296
2011-03-01,Forest,Impact,0.21599999999999997,0.17160654059036226,-295.7800111408686
2011-04-01,Forest,Impact,0.256,0.19366370856579637,-341.4593212222198
2011-05-01,Forest,Impact,0.2739999999999998,0.20595516695277494,-358.18979432755225
2011-06-01,Forest,Impact,0.2919999999999998,0.2019343877360024,-413.48198835348524
2011-07-01,Forest,Impact,0.3059999999999998,0.18923607015040533,-479.69134652941193
2011-08-01,Forest,Impact,0.27037554585152845,0.13886694079937695,-517.8316893516238
2012-10-01,Forest,Impact,0.43400000000000016,0.337818622021322,-481.1526213153846
2012-11-01,Forest,Impact,0.3420000000000001,0.2920456459987418,-375.5652892816795
2012-12-01,Forest,Impact,0.28600000000000014,0.27629607898741276,-283.95735871607377
2013-01-01,Forest,Impact,0.16799999999999993,0.17216010695027104,-254.65883331073564
2013-02-01,Forest,Impact,0.08800000000000019,0.10523332779572558,-227.22446569946703
2013-03-01,Forest,Impact,-0.041999999999999815,-0.0003713196832706364,-172.77322504152863
2013-04-01,Forest,Impact,-0.0040000000000000036,0.029001474137238793,-196.4929496012728
2013-05-01,Forest,Impact,-0.018000000000000016,-0.002377676462901608,-240.7343747783176
2013-06-01,Forest,Impact,-0.006000000000000005,-0.022133804663113134,-318.9755614044127
2013-07-01,Forest,Impact,0.01200000000000001,-0.043436840701063295,-414.8978339280689
2013-08-01,Forest,Impact,0.01200000000000001,-0.06189181570445309,-461.78441099607323
2013-09-01,Forest,Impact,0.006000000000000005,-0.07145346678436701,-473.5631782574557
2013-10-01,Forest,Impact,-0.033999999999999586,-0.06746626092978086,-373.1466088855528
2013-11-01,Forest,Impact,0.06800000000000006,0.03235344922419595,-381.6691139637671
2013-12-01,Forest,Impact,0.010000000000000009,0.013364174193906564,-292.9835285757073
2014-01-01,Forest,Impact,-0.05400000000000005,0.0025344958595817577,-171.0288647144987
2014-02-01,Forest,Impact,0.0020000000000000018,0.08677335817518356,-107.84475721540709
2014-03-01,Forest,Impact,-0.03599999999999992,0.05094849890463627,-105.77288958721807
2014-04-01,Forest,Impact,0.009999999999999898,0.08409961073979977,-139.44432197035428
2014-05-01,Forest,Impact,-0.004000000000000115,0.07204142533645334,-138.14072476725775
2014-06-01,Forest,Impact,0.038000000000000034,0.08724622706560405,-204.68758544442966
2014-07-01,Forest,Impact,0.05600000000000027,0.0720393932499434,-286.23937161711905
2014-08-01,Forest,Impact,0.05599999999999983,0.07531164427576953,-281.90868362202747
2014-09-01,Forest,Impact,0.08200000000000007,0.06729501397545956,-365.47851805068854
2014-10-01,Forest,Impact,0.15599999999999992,0.18056579735526118,-276.1799008607957
2014-11-01,Forest,Impact,0.1140000000000001,0.14553404179783735,-263.1367028452089
2014-12-01,Forest,Impact,0.11999999999999988,0.1661580626629217,-231.9375304241049
2015-01-01,Forest,Impact,0.07999999999999985,0.14473272566366252,-191.53469547523378
2015-02-01,Forest,Impact,0.07600000000000007,0.14172532557038198,-192.57779497890985
2015-03-01,Forest,Impact,0.05800000000000005,0.1298971246767244,-181.08466431509203
2015-04-01,Forest,Impact,0.08000000000000007,0.14136745150847327,-209.2890458626231
2015-05-01,Forest,Impact,0.06799999999999984,0.14228940022791742,-182.1021426618302
2015-06-01,Forest,Impact,0.10799999999999987,0.1504267496754336,-260.5944328362632
2015-07-01,Forest,Impact,0.14600000000000013,0.1675920334600816,-312.9816111720056
2015-08-01,Forest,Impact,0.15400000000000014,0.15943499617678564,-354.4512940101497
2015-09-01,Forest,Impact,0.18599999999999994,0.17680354500311965,-392.3247355219304
2015-10-01,Forest,Impact,0.2588196721311473,0.2484305758282131,-398.40994435333096
2015-11-01,Forest,Impact,0.19199999999999995,0.2181942571568988,-315.55549264296934
2015-12-01,Forest,Impact,0.22799999999999998,0.3434043304414403,-108.53573403012354
2016-01-01,Forest,Impact,0.20599999999999985,0.35303872606263625,-37.34738663821993
2016-02-01,Forest,Impact,0.10799999999999998,0.2749671971034916,6.246759762092367
2016-03-01,Forest,Impact,0.03400000000000003,0.2066343751936234,16.441227738844372
2016-04-01,Forest,Impact,0.0040000000000000036,0.18736628440839975,38.35645644933979
2016-05-01,Forest,Impact,0.038000000000000034,0.20181345266782078,-11.008954780171806
2016-06-01,Forest,Impact,-0.006000000000000227,0.14033642509783684,-55.590230985232
2016-07-01,Forest,Impact,0.016000000000000014,0.142279025033611,-106.14505358000129
2016-08-01,Forest,Impact,0.011999999999999789,0.11699918630318976,-159.69063967566208
2016-09-01,Forest,Impact,0.03200000000000025,0.13872987261876393,-158.99385912327696
2016-10-01,Forest,Impact,0.050000000000000044,0.14153849131250812,-198.07808845437594
2016-11-01,Forest,Impact,0.038000000000000034,0.14871840137091913,-156.24851366583692
2016-12-01,Forest,Impact,0.10000000000000009,0.22684506098658155,-121.50719338476532
2017-01-01,Forest,Impact,0.08700000000000019,0.2162854437092401,-119.1374561030164
2017-02-01,Forest,Impact,0.07400000000000007,0.2320662141594064,-54.675916660678794
2017-03-01,Forest,Impact,0.09000000000000008,0.2587852914105897,-32.46355521485698
