Parameter,Well,Era,Value,Unit,Note
ImpactVsEdge_monthly_clearfell_step,Impact,Post_felling,0.0633,m,"p=0.0002, CI=[0.0301,0.0964]"
ImpactVsEdge_monthly_clearfell_step_se,Impact,Post_felling,0.0169,m,
ImpactVsEdge_monthly_scraping_step,Impact,Post_scraping,-0.0218,m,p=0.2684
ImpactVsEdge_monthly_R2,Impact,,0.833,,Model R²
ImpactVsEdge_monthly_N,Impact,,886.0,months,Sample size
ImpactVsEdge_summer_clearfell_step,Impact,Post_felling_Jun-Sep,0.0213,m,"p=0.2947, CI=[-0.0185,0.0611]"
ImpactVsEdge_summer_clearfell_step_se,Impact,Post_felling_Jun-Sep,0.0203,m,
ImpactVsEdge_summer_R2,Impact,,0.7309,,Model R²
ImpactVsEdge_summer_N,Impact,,64.0,well-years,Sample size
