control_tier,zone,coastal_differential_mm_yr,delta_0_mm_yr,reach_L_m,donor,delta_easting_m,absorbed_drift_mm_yr,absorbed_drift_se_mm_yr,s_coast,s_coast_se,p_vs_zero,p_vs_one,identified,n_months
Forest,Impact,-10.697414838709678,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-41.2730000000156,-17.041392605015325,4.731461181475459,1.593038398711932,0.44229949504755,0.00042365119722668495,0.18191974966983468,True,163
Forest,Edge,-9.494851935483872,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-186.54649999999674,-11.664652852668338,3.418609052853284,1.2285239340147636,0.3600486954490951,0.0008248908612774114,0.5265701887121734,True,159
Climate,Impact,-0.9418625806451626,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-417.8967999999877,7.289078209856824,3.124917513572196,-7.739003926521753,3.3178062042040906,0.021085897554618573,0.009381920809672302,False,147
Climate,Edge,0.260700322580643,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-563.1702999999688,11.944314912750494,3.9773805571055094,45.816264416227305,15.256523343484462,0.0031742405882136224,0.0038785034484647017,False,144
Combined,Impact,-3.7390830645161284,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-125.96111775006284,-5.003145723053885,2.274993779658105,1.3380675520513845,0.6084362771310913,0.02951741195060001,0.5793546598021814,True,145
Combined,Edge,-2.5365201612903228,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-271.234617750044,0.02593828792588305,1.6974586315270337,-0.010225934065782587,0.6692076244580448,0.9878306658614141,0.1334690999449605,True,142
FarField,Impact,-13.128993548387097,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-1409.6853999999876,19.757720102404207,8.027344815601033,-1.5048922089562191,0.6114211867052974,0.014872581924989647,6.551210815509116e-05,True,171
FarField,Edge,-11.926430645161291,-32.37,930.0,25_01_panel_fit_parameters.csv [full_canopy/linear_capped],-1554.9588999999687,23.590531358053095,8.987959737152133,-1.9780043216554555,0.7536169038805139,0.009477582990705277,0.00011436124379193744,True,173
