Contrast,Test,Note,pre_months,slope_m_yr,se_hac_m_yr,p_hac,Verdict,n_months,trend_m_yr,trend_p,step_m,se_hac_m,ci_lo_m,ci_hi_m
Impact - Forest Ctrl,pre-trend (all pre-fell),spans the April 2015 scrape,86.0,-0.013250482158552379,0.004854611145291377,0.006343754137631324,PARALLEL TRENDS FAIL,,,,,,,
Impact - Forest Ctrl,pre-trend (post-scrape only),scrape excluded; short window,32.0,-0.05024591554324863,0.02555145276987123,0.04924547262339411,PARALLEL TRENDS FAIL,,,,,,,
Impact - Forest Ctrl,step net of linear trend,,,,,0.31055870102431316,,181.0,-0.002231104711388474,0.609660806193752,0.04003964238313142,0.039484864027692655,-0.037350691111146174,0.11742997587740903
Edge - Forest Ctrl,pre-trend (all pre-fell),spans the April 2015 scrape,91.0,-0.02101080071833603,0.00507920490159865,3.524408935848776e-05,PARALLEL TRENDS FAIL,,,,,,,
Edge - Forest Ctrl,pre-trend (post-scrape only),scrape excluded; short window,32.0,-0.04029740798719058,0.017872902842922027,0.024154365894406324,PARALLEL TRENDS FAIL,,,,,,,
Edge - Forest Ctrl,step net of linear trend,,,,,0.694580116267831,,188.0,-0.007690853863860396,0.046977441163202356,0.012278058472888546,0.031269955067185426,-0.04901105345879489,0.07356717040457197
