Date,Impact_BACI_Raw,Impact_BACI_ClimCorrected,Impact_CUSUM_ClimCorrected,Edge_BACI_Raw,Edge_BACI_ClimCorrected,Edge_CUSUM_ClimCorrected,CumWaterBalance_mm,Model2_Fitted_Impact,Post_Felling,Post_Scraping
2009-07-01,-0.19599999999999995,-0.23120508110688862,0.04894211140139218,0.018999999999999906,0.010750835410732325,0.21638257152929663,-21.205037452163328,-0.10098342449685041,0,0
2009-08-01,-0.2460000000000001,-0.28433183959106173,0.044757464318611245,-0.01100000000000012,-0.019981818642485737,0.4020324890053752,-26.41128027826675,-0.09785666601267745,0,0
2009-09-01,-0.32000000000000006,-0.3932170577889035,-0.06831240096201144,-0.040000000000000036,-0.05715603377276127,0.5505081913511782,-84.49728784773367,-0.06297144781483567,0,0
2009-10-01,-0.22199999999999998,-0.2881153175311126,-0.07628052598484322,0.0030000000000001137,-0.012491972153960283,0.7436479553157822,-72.6724588892052,-0.07007318807262645,0,0
2009-11-01,-0.22199999999999998,-0.1939709427503536,0.009895723773083981,0.0030000000000001137,0.009567697027378756,0.9588473884617252,84.08364437278364,-0.16421756285338546,0,0
2009-12-01,-0.31600000000000006,-0.2553630981954457,0.03467981808591905,-0.09600000000000009,-0.08179171621135263,1.0826874083689368,138.37768647677032,-0.1968254074082934,0,0
2010-01-01,-0.33000000000000007,-0.2544198496357722,0.06040716095842766,-0.14,-0.12229025241716852,1.1660288920703326,163.25910312800178,-0.21176865596796696,0,0
2010-02-01,-0.3719999999999999,-0.29407806633733047,0.046476287129377986,-0.1369999999999999,-0.11874153174237177,1.252919096446525,167.15831458277614,-0.2141104392664085,0,0
2010-03-01,-0.272,-0.17714633525068277,0.149477144386976,-0.08200000000000007,-0.05977413180680849,1.398776700758281,195.35067544133742,-0.23104217035305633,0,0
2010-04-01,-0.45200000000000007,-0.38781019982099674,0.04181413707426007,-0.17700000000000005,-0.16195921014864006,1.4424492267282052,144.2934781080968,-0.20037830578274238,0,0
2010-05-01,-0.2460000000000001,-0.2134216583295827,0.10853967125295816,-0.07600000000000007,-0.0683663262791893,1.5797146365675803,91.65847930149026,-0.16876684727415647,0,0
2010-06-01,-0.27800000000000014,-0.30019349389574207,0.08849336986549688,-0.07800000000000018,-0.08320032274321515,1.7021460499429295,0.460045705728632,-0.11399501170799714,0,0
2010-07-01,-0.244,-0.26758892157553776,0.10105164079823992,-0.3314999999999999,-0.33702729578918245,1.5707504902723113,-1.8634261530852037,-0.11259958402820129,0,0
2010-08-01,-0.0685714285714285,-0.14024116805950543,0.24095766524701528,-0.12857142857142856,-0.14536489867627067,1.631017327714605,-81.92090887757882,-0.06451876611566217,0,0
2010-09-01,0.14875000000000016,0.0776352340496019,0.598740091804898,-0.15374999999999983,-0.1704134301245022,1.666235633708667,-80.99684422281194,-0.06507373965334082,0,0
2010-10-01,-0.11250000000000004,-0.17138785836060377,0.707499425952575,-0.18750000000000022,-0.20129845240098174,1.6705689174262495,-60.63830030360218,-0.07730064724313535,0,0
2010-11-01,-0.10624999999999996,-0.13830068946956176,0.849345928991294,-0.16125000000000012,-0.1687600356062577,1.707440617938556,-15.95278374735011,-0.10413781613417729,0,0
2010-12-01,-0.040000000000000036,-0.05515238921170775,1.074340732287867,-0.14250000000000007,-0.14605046909701805,1.7670218849601023,12.183912750353361,-0.12103611639203135,0,0
2011-01-01,-0.09375,-0.09645679158054513,1.2580311332156027,-0.19874999999999998,-0.19938424848217126,1.7732693725964954,32.906588873817434,-0.13348171402319395,0,0
2011-02-01,-0.027499999999999858,-0.005021311070595273,1.5331570146532882,-0.1549999999999998,-0.14973285108571077,1.8291682576293489,74.8419439358106,-0.15866719453314365,0,0
2011-03-01,-0.046250000000000124,-0.035209920642344975,1.7780942865192242,-0.16375000000000028,-0.16116311683323908,1.873636876914674,55.795964105593576,-0.14722858496139424,0,0
2011-04-01,-0.06625000000000014,-0.08335413953514254,1.9748873394923625,-0.17625000000000002,-0.18025779824238441,1.899010814790854,8.934129893391052,-0.11908436606859668,0,0
2011-05-01,-0.03749999999999987,-0.06536230390741854,2.1896722280932246,-0.17749999999999977,-0.18402862381059842,1.9206139270988198,-8.978867342792778,-0.1083262016963204,0,0
2011-06-01,-0.02750000000000008,-0.0892798160243411,2.380539604577164,-0.14500000000000002,-0.15947608852631615,1.966769574691068,-65.4535854995771,-0.07440868957939806,0,0
2011-07-01,0.0012499999999999734,-0.10100394425950357,2.5596828528259414,-0.1412500000000001,-0.1652098827662803,2.007191428043352,-132.84546780635515,-0.03393456134423553,0,0
2011-08-01,0.0034943762781185495,-0.12237604381132988,2.7174540015228925,-0.14650562372188136,-0.17599925871978345,2.036823905442133,-172.16833475941837,-0.010318085514290642,0,0
2011-09-01,-0.03936464604065604,-0.16495085334595083,2.8326503406852224,-0.17936464604065572,-0.2087916850256772,2.03366395653502,-171.6951032079325,-0.01060229829844428,0,0
2011-10-01,-0.033646920008993275,-0.15645045974774419,2.956347073445759,-0.20108792163032296,-0.22986293306614086,2.0094327595874435,-167.06179266313623,-0.013384965864988177,0,0
2011-11-01,-0.027738603109609405,-0.1447290524685042,3.0917652134855356,-0.22353530640631236,-0.25094820936778456,1.9641162863382233,-157.38264403659255,-0.019198056244844275,0,0
2011-12-01,-0.028824155766471682,-0.11632296948421385,3.2555894365096023,-0.23382415576647153,-0.2543266540715268,1.9154213683852608,-108.27727908307959,-0.04868969188599691,0,0
2012-01-01,-0.004285637101639317,-0.07931239093592853,3.4564242380819548,-0.13178563710163926,-0.1493657142245524,1.9716873902792726,-87.51054170197551,-0.061161751769449865,0,0
2012-02-01,0.016625793849646797,-0.060041416162618405,3.676530014427617,-0.1458742061503533,-0.16383867077041542,2.0134804556274215,-90.24200089569175,-0.05952129559147387,0,0
2012-03-01,0.11600000000000033,0.013873396661382612,3.9705506035972804,-0.0689999999999995,-0.0929300445672951,2.1261821471786906,-132.63343743714466,-0.03406190226512136,0,0
2012-04-01,0.12399999999999989,0.024467057186784227,4.275164853292345,-0.07099999999999995,-0.09432230466470116,2.2374915786325538,-128.3148350979897,-0.03665556279052341,0,0
2012-05-01,0.21527868852458987,0.08900298380714955,4.6443150296077755,-0.06550000000000011,-0.09508860025566299,2.348034714495455,-172.8431582859853,-0.009912800886298756,0,0
2012-06-01,0.2726666666666664,0.1461261250573137,5.07058834717337,-0.06400000000000006,-0.09365065615901569,2.4600157944550034,-173.28412779980786,-0.009647963994386388,0,0
2012-07-01,0.29394535519125653,0.13958603439092726,5.490321574072578,-0.06600000000000028,-0.102169081369346,2.5634784492042217,-219.60408513808142,0.018170815196590195,0,0
