cluster_id,cluster_label,n_wells,mean_dist_coast_m,observed_centroid_mm_yr,observed_per_well_mean_mm_yr,observed_balanced_annual_mean_mm_yr,decomposition_basis,coastal_gradient_mm_yr,climate_cwb_mm_yr,far_field_offset_mm_yr,modelled_total_mm_yr,unexplained_mm_yr,coastal_gradient_pct_of_basis,climate_cwb_pct_of_basis,far_field_offset_pct_of_basis,unexplained_pct_of_basis
1,C1 (Lake Edge),7,1818.6571428571428,-10.9,-9.12286060637808,-10.974881583349337,observed_balanced_annual_mean_mm_yr,0.0,2.9780370624243115,-0.1736997914171317,2.8043372710071797,-13.779218854356516,-0.0,-27.135026832020433,1.5827031034272139,125.55232372859321
2,C2 (Dune),28,1473.3535714285715,-11.2,-1.0441744150517218,-11.09881869571975,observed_balanced_annual_mean_mm_yr,0.0,2.9780370624243115,-0.1736997914171317,2.8043372710071797,-13.90315596672693,-0.0,-26.832018290133785,1.565029542145047,125.26698874798873
3,C3 (Western Residual),17,802.7470588235294,-9.4,-7.501543383938478,-14.150669897030625,observed_balanced_annual_mean_mm_yr,-4.416508640055029,2.9780370624243115,-0.1736997914171317,-1.612171369047849,-12.538498527982776,31.210597605571937,-21.045201987569666,1.227502250289796,88.60710213170795
4,C4 (Main Forest),4,888.9,-17.8,-0.6349201419941272,-6.526052917572081,observed_balanced_annual_mean_mm_yr,-2.054834755891107,2.9780370624243115,-0.1736997914171317,0.7495025151160728,-7.275555432688154,31.486639502389707,-45.63305109594859,2.661636269442848,111.48477532411603
5,C5 (Coastal Forest),3,372.09999999999997,-35.9,-41.307599063015395,-16.147206250921386,observed_balanced_annual_mean_mm_yr,-16.22165305215669,2.9780370624243115,-0.1736997914171317,-13.41731578114951,-2.7298904697718758,100.46105066151028,-18.44304838958987,1.0757265914481033,16.906271136631474
