cluster_id,cluster_label,n_wells,n_years_min,n_years_median,n_years_max,record_length_break_years,n_wells_long,n_years_long_min,n_years_long_max,mean_slope_long_mm_yr,n_wells_short,n_years_short_min,n_years_short_max,mean_slope_short_mm_yr,slope_vs_record_length_mm_yr_per_year,slope_vs_record_length_p,observed_per_well_mean_mm_yr,observed_balanced_annual_mean_mm_yr,composition_gap_mm_yr
1,C1 (Lake Edge),7,15.0,16.0,19.0,19.0,3,19.0,19.0,5.053589718175055,4,15.0,16.0,11.09575677686061,-1.4856687265573703,0.09465203397957016,8.506256608852516,6.557075517357073,1.9491810914954426
2,C2 (Dune),28,10.0,16.0,21.0,12.0,27,12.0,21.0,12.3859974545269,1,10.0,10.0,4.212121212120331,-1.5983496691259589,0.04741052412982908,12.09407330301238,-2.8227477033578925,14.916821006370272
3,C3 (Western Residual),17,10.0,18.0,21.0,13.0,16,13.0,21.0,3.251246987481972,1,10.0,10.0,11.333333333325687,-2.536522077060248,0.008343489577801223,3.7266638313551312,-4.911636660104007,8.638300491459137
4,C4 (Main Forest),4,8.0,14.0,18.0,18.0,2,18.0,18.0,3.853957412614943,2,8.0,10.0,18.701154401149687,-2.3985494813451673,0.5514731980858976,11.277555906882316,14.698440545810536,-3.4208846389282197
5,C5 (Coastal Forest),3,10.0,19.0,20.0,19.0,2,19.0,20.0,-24.183918128654845,1,10.0,10.0,-71.02828282828041,4.881723247512482,0.07018622801726389,-39.79870636186337,-14.983583959899809,-24.815122401963556
