cluster_id,cluster_label,n_wells_summer,mean_dist_coast_m_summer,observed_centroid_mm_yr_summer,observed_balanced_annual_mean_mm_yr_summer,coastal_gradient_mm_yr_summer,climate_cwb_mm_yr_summer,far_field_offset_mm_yr_summer,unexplained_mm_yr_summer,coastal_gradient_pct_of_basis_summer,n_wells_spring,mean_dist_coast_m_spring,observed_centroid_mm_yr_spring,observed_balanced_annual_mean_mm_yr_spring,coastal_gradient_mm_yr_spring,climate_cwb_mm_yr_spring,far_field_offset_mm_yr_spring,unexplained_mm_yr_spring,coastal_gradient_pct_of_basis_spring
1,C1 (Lake Edge),7,1818.6571428571428,-10.9,-10.974881583349337,0.0,2.9479593711052416,-0.2989360297112883,-13.62390492474329,-0.0,7,1818.6571428571428,7.8,7.853125752234095,0.0,2.9479593711052416,-0.2989360297112883,5.204102410840141,0.0
2,C2 (Dune),22,1565.4272727272728,-17.6,-14.561039552837272,0.0,2.9479593711052416,-0.2989360297112883,-17.210062894231225,-0.0,22,1565.4272727272728,-0.3,0.5667137707371763,0.0,2.9479593711052416,-0.2989360297112883,-2.082309570656777,0.0
3,C3 (Western Residual),22,906.2454545454547,-6.7,-7.531105656702992,0.0,2.9479593711052416,-0.2989360297112883,-10.180128998096945,-0.0,22,906.2454545454547,3.4,3.6432630086415205,0.0,2.9479593711052416,-0.2989360297112883,0.9942396672475673,0.0
4,C4 (Main Forest),4,888.9,-17.2,-6.512293027651199,-0.468494553702279,2.9479593711052416,-0.2989360297112883,-8.692821815342874,7.194002968125834,4,888.9,-3.6,11.880116959065878,-0.468494553702279,2.9479593711052416,-0.2989360297112883,9.699588171374204,-3.9435180252561777
5,C5 (Coastal Forest),4,410.025,-35.6,-31.978007518796773,-17.066782014533548,2.9479593711052416,-0.2989360297112883,-17.560248845657178,53.37037338708999,4,410.025,-37.6,-23.914035087719178,-17.066782014533548,2.9479593711052416,-0.2989360297112883,-9.496276414579583,71.3672199272553
