cluster_id,cluster_label,n_wells,mean_dist_coast_m,observed_centroid_mm_yr,observed_per_well_mean_mm_yr,observed_balanced_annual_mean_mm_yr,decomposition_basis,coastal_gradient_mm_yr,climate_cwb_mm_yr,far_field_offset_mm_yr,modelled_total_mm_yr,unexplained_mm_yr,coastal_gradient_pct_of_basis,climate_cwb_pct_of_basis,far_field_offset_pct_of_basis,unexplained_pct_of_basis
1,C1 (Lake Edge),7,1818.6571428571428,6.5,8.506256608852514,6.557075517357073,observed_balanced_annual_mean_mm_yr,0.0,2.9332105782055358,-0.09952344590399002,2.8336871323015456,3.7233883850555274,0.0,44.73351832598399,-1.51780234405634,56.784284018072356
2,C2 (Dune),28,1473.3535714285715,0.3,12.09407330301238,-2.8227477033578925,observed_balanced_annual_mean_mm_yr,0.0,2.9332105782055358,-0.09952344590399002,2.8336871323015456,-5.656434835659438,-0.0,-103.91331023726416,3.525764834937201,200.3875454023269
3,C3 (Western Residual),17,802.7470588235294,-1.0,3.7266638313551312,-4.911636660104007,observed_balanced_annual_mean_mm_yr,-3.227809424180686,2.9332105782055358,-0.09952344590399002,-0.3941222918791401,-4.517514368224867,65.7175936974201,-59.7196165186906,2.026278668216524,91.975744153054
4,C4 (Main Forest),4,888.9,-1.2,11.277555906882316,14.698440545810536,observed_balanced_annual_mean_mm_yr,-0.21206215793233057,2.9332105782055358,-0.09952344590399002,2.621624974369215,12.07681557144132,-1.4427527687131012,19.955930488432543,-0.6771020748344421,82.163924355115
5,C5 (Coastal Forest),3,372.09999999999997,-37.900000000000006,-39.79870636186337,-14.983583959899809,observed_balanced_annual_mean_mm_yr,-18.302427569888874,2.9332105782055358,-0.09952344590399002,-15.468740437587329,0.4851564776875197,122.14986493799616,-19.576161391397505,0.6642165597385922,-3.2379201063372545
