spec,window_start,window_end,window_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,far_field_observed_mm_yr,n_far_field_wells,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
forest_free,2005-03,2026-02,20.922655715263517,10929,61,-31.346200177944056,1.9704236817117726,893.8257779509511,47.603645655715475,-0.10383484282252585,0.5464934407138563,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-04,2026-02,20.83778234086242,10922,61,-31.394657811012504,1.9719137240054265,893.8392868312766,47.60693350100243,-0.0992211118307542,0.5472778957595958,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-05,2026-02,20.75564681724846,10915,61,-31.421662315207055,1.9733946029644995,894.1114520707254,47.676503752272005,-0.08263189104606668,0.5481040714391446,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-06,2026-02,20.670773442847366,10908,61,-31.40667364445555,1.9739342458379272,893.7963484606574,47.709247044402,-0.007230044095071565,0.5486613435414874,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-07,2026-02,20.588637919233403,10908,61,-31.40667364445555,1.9739342458379272,893.7963484606574,47.709247044402,-0.007230044095071565,0.5486613435414874,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-08,2026-02,20.503764544832308,10901,61,-31.387659742552902,1.974784969171035,893.706174591424,47.78495137108394,0.04072185479970076,0.5492721117110292,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-09,2026-02,20.418891170431213,10894,61,-31.41063265922355,1.9752981930351126,893.7226799279069,47.80284224398754,0.10978159845447259,0.5497665523332884,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-10,2026-02,20.33675564681725,10889,61,-31.423002807426577,1.975717527041402,893.7005891104859,47.82910355740674,0.14683316633355345,0.549952552668898,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-11,2026-02,20.251882272416154,10883,61,-31.470000540318413,1.9729484663100112,893.7079505801203,47.72952234096744,0.2910049259162046,0.5494296626197177,-6.35277553286428,41,2338.0,False,False,True
forest_free,2005-12,2026-02,20.16974674880219,10876,61,-31.476328966652684,1.9723197992729018,893.7009884036524,47.74179358973416,0.41166970008071346,0.5496679507144041,-6.35277553286428,41,2338.0,False,False,True
forest_free,2006-01,2026-02,20.084873374401095,10869,61,-31.48164115779344,1.972625504684252,893.7177969036227,47.781848986283045,0.4910913140264332,0.5500968755130023,-5.540617142552794,41,2338.0,False,False,True
forest_free,2006-02,2026-02,20.0,10861,61,-31.470193900606308,1.973322162927878,893.7158704125873,47.85589834793394,0.561723761042667,0.5506445267241196,-5.540617142552794,41,2338.0,False,False,True
forest_free,2006-03,2026-02,19.923340177960302,10852,61,-31.46569889122546,1.9738626950802187,893.7139068393018,47.91609053846331,0.6461113008883989,0.5512731228803714,-5.540617142552794,41,2338.0,False,False,True
