spec,covariate,role,n_obs,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,AIC,basis
forest_free_linear_capped,cumulative_water_balance,published,10929,-31.346,1.97,893.826,47.604,-0.104,0.546,-31848.8,
forest_free_linear_capped,accumulator_half_life_2mo,alternative,10929,-29.255,1.671,1023.485,60.415,2.923,0.462,-35388.4,half_life_months=2
forest_free_linear_capped,accumulator_half_life_4mo,alternative,10929,-28.83,1.521,1035.766,57.469,2.572,0.42,-37454.4,half_life_months=4
forest_free_linear_capped,accumulator_half_life_8mo,alternative,10929,-29.068,1.585,1046.127,60.922,1.917,0.438,-36544.5,half_life_months=8
forest_free_linear_capped,accumulator_half_life_12mo,alternative,10929,-29.823,1.712,1046.841,64.222,1.47,0.473,-34868.0,half_life_months=12
forest_free_linear_capped,accumulator_half_life_24mo,alternative,10929,-31.474,1.908,1020.602,63.654,-0.419,0.531,-32494.7,half_life_months=24
forest_free_linear_capped,beta3_recursion,alternative,10929,-28.544,1.599,1011.255,57.493,-1.496,0.445,-36351.4,n_wells=46; beta_1_recharge=4.2941; beta_2_atmospheric_draw=1.54614; beta_3_drainage=0.0693955
forest_free_linear_capped,specification_range_min,range,10929,-31.474,,893.826,,,,,"min across 7 covariates including the published one; delta_0 from accumulator_half_life_24mo, L from cumulative_water_balance"
forest_free_linear_capped,specification_range_max,range,10929,-28.544,,1046.841,,,,,"max across 7 covariates including the published one; delta_0 from beta3_recursion, L from accumulator_half_life_12mo"
