spec,window_years,window_start,window_end,window_mid,observed_span_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,beta_cwb_m_per_mm,cwb_trend_mm_yr,climate_term_mm_yr,identified_sum_mm_yr,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
forest_free,10.0,2005-03,2015-02,2010-02,9.921971252566735,4084,55,-65.78753339959484,5.198908453287538,1749.9043094131118,128.16663288704967,0.8998830610638691,3.6898537842281023,0.002239454444464148,-2.9518328982932625,-6.610495303398334,-5.710612242334465,2338.0,False,False,True
forest_free,10.0,2005-06,2015-05,2010-05,9.831622176591376,4225,55,-66.97144579511425,4.903786910426215,1721.6078608289245,115.42276063198409,-1.5973464134870057,3.4490711254274404,0.0022360677461245996,0.4274836851670433,0.9558824803965086,-0.6414639330904971,2338.0,False,False,True
forest_free,10.0,2005-09,2015-08,2010-08,9.91375770020534,4376,56,-59.57793465201317,4.6591182402690725,1703.3354195134714,120.90989785761161,-7.514534911577372,3.2563384033735527,0.002208716925551076,-1.085121266482137,-2.396725707554516,-9.911260619131887,2338.0,False,False,True
forest_free,10.0,2005-12,2015-11,2010-11,9.91649555099247,4514,56,-53.764441790604366,4.568065154698676,1778.4851919249475,140.35034310838566,-12.370307400966146,3.215793005065395,0.0022355684320212715,-3.7480152436904386,-8.378944561528858,-20.749251962495002,2338.0,False,False,True
forest_free,10.0,2006-03,2016-02,2011-02,9.921971252566735,4648,56,-49.99042445285858,4.355774353756916,1692.054019668646,132.00724938859668,-13.348578345725782,3.0018611013515617,0.002281761127776756,0.19255272406510815,0.43935932081928764,-12.909219024906495,2338.0,False,False,True
forest_free,10.0,2006-06,2016-05,2011-05,9.91649555099247,4765,56,-46.38203035821889,4.301230534639191,1147.449499504989,102.26944041718517,-19.6737368023737,1.6862016463791987,0.002241181181062163,5.714156704982046,12.80646047284594,-6.86727632952776,2338.0,False,False,True
forest_free,10.0,2006-09,2016-08,2011-08,9.91649555099247,4859,56,-46.779813568827386,4.982850724301011,881.914999508578,84.192280731785,-21.20266874410768,1.556692576005433,0.002172337494492204,6.546827649712256,14.221919173448205,-6.980749570659475,2338.0,False,False,True
forest_free,10.0,2006-12,2016-11,2011-11,9.919233401779604,4952,56,-40.934731567932836,5.026161569923819,843.5119233720621,87.67492984394637,-25.44235519918963,1.5880681825690008,0.0020592444607681697,5.933585110485826,12.218702271264426,-13.223652927925205,2338.0,False,False,True
forest_free,10.0,2007-03,2017-02,2012-02,9.924709103353868,5045,56,-40.63451906689038,5.137048274827391,847.2722203676277,92.05007757730826,-29.99999999999996,1.630342070032882,0.0020207985430408396,9.28664464981837,18.76643797809097,-11.233562021908991,2338.0,True,False,False
forest_free,10.0,2007-06,2017-05,2012-05,9.91649555099247,5138,56,-39.89950259848356,5.038485790904097,862.7741064351204,97.05650849631989,-29.999999999999996,1.5899318660363038,0.001997965685758419,11.974761857347271,23.925163286108596,-6.074836713891401,2338.0,True,False,False
forest_free,10.0,2007-09,2017-08,2012-08,9.91649555099247,5226,56,-23.05622496846163,4057437.161679002,2554.938572270089,449618386.173614,-28.88829112493102,4057437.099900138,0.002012495393067843,11.446523138955582,23.036075083792575,-5.852216041138444,2338.0,False,True,False
forest_free,10.0,2007-12,2017-11,2012-11,9.919233401779604,5311,57,-26.993384657988482,5632134.597475745,3128.3304064467693,652722101.1946557,-25.816817198802497,5632134.672620276,0.0020046917206561357,9.665088084201614,19.37552206181125,-6.441295136991247,2338.0,False,True,False
forest_free,10.0,2008-03,2018-02,2013-02,9.921971252566735,5404,57,-30.502180698430244,7715702.523370397,2878.379685595387,728102768.3146602,-24.065792096255866,7715702.602144368,0.0020010322150941337,11.586197266792537,23.184353981287465,-0.8814381149684003,2338.0,False,True,False
forest_free,10.0,2008-06,2018-05,2013-05,9.91375770020534,5502,57,-27.0305402969035,4775756.866911694,2564.7783081579632,453145137.0152465,-26.640304858963056,4775756.89963988,0.001998240687069462,14.822394493279479,29.618711756265398,2.9784068973023423,2338.0,False,True,False
forest_free,10.0,2008-09,2018-08,2013-08,9.91375770020534,5595,57,-21.318470640535086,3217045.8141681063,3050.2748961835823,460299155.5171703,-27.62086354893871,3217045.7942883093,0.0019928689158175213,13.103772459726574,26.11410081493479,-1.506762734003921,2338.0,False,True,False
forest_free,10.0,2008-12,2018-11,2013-11,9.91649555099247,5681,57,-18.800222162907225,2826431.480090487,3257.418072857351,489721284.097705,-27.74164950270728,2826431.4345957106,0.0019637261192699865,12.177687711279049,23.913643430951808,-3.828006071755471,2338.0,False,True,False
forest_free,10.0,2009-03,2019-02,2014-02,9.921971252566735,5773,57,-23.44925516697287,6285534.884235156,3633.885567984866,974057161.6539488,-27.207522182497247,6285534.893660987,0.0020136902549328884,15.191678105953745,30.59133415803638,3.383811975539132,2338.0,False,True,False
forest_free,10.0,2009-06,2019-05,2014-05,9.91375770020534,5859,57,-23.478444391066358,2800566.506763284,3248.377461331222,387474442.08073896,-27.687619418700134,2800566.4855906917,0.002008101177478512,17.80482477251176,35.753889590479446,8.066270171779312,2338.0,False,True,False
forest_free,10.0,2009-09,2019-08,2014-08,9.91375770020534,5941,61,-22.79023412134203,3391929.6478858422,3777.347087319123,562192375.4793892,-26.09036472337946,3391929.6655593384,0.001994076178085173,15.93381164768693,31.773234232748568,5.682869509369109,2338.0,False,True,False
forest_free,10.0,2009-12,2019-11,2014-11,9.91649555099247,6033,61,-23.312393544553117,3646234.8488384876,3637.437862783786,568922830.0459691,-24.820039566769918,3646234.8492762414,0.0019822549720794093,13.946808056094536,27.646129613830556,2.8260900470606387,2338.0,False,True,False
forest_free,10.0,2010-03,2020-02,2015-02,9.921971252566735,6126,61,-25.517769967468002,3882702.1670678398,2835.8188722626423,431489126.05871016,-24.42279817338645,3882702.1840395737,0.0019797829557613154,16.647752489199696,32.95893662985057,8.53613845646412,2338.0,False,True,False
forest_free,10.0,2010-06,2020-05,2015-05,9.91649555099247,6147,61,-19.94712718245603,3.1635221954120545,1592.6273865445175,197.48023919888794,-29.999999999999538,1.8888194275170818,0.0019021263918452918,18.788339774689252,35.73779694439305,5.737796944393509,2338.0,True,False,False
forest_free,10.0,2010-09,2020-08,2015-08,9.91649555099247,6165,61,-16.123484871617006,3.1854232814508987,1473.8568204474186,219.75015514375517,-26.329654150437147,1.694512808911127,0.001804038570393495,16.538074058029565,29.835323480709402,3.505669330272255,2338.0,False,False,True
forest_free,10.0,2010-12,2020-11,2015-11,9.919233401779604,6183,61,-22.283231511744525,4.222273180141596,904.0188064108203,164.06060819683438,-19.287147926205563,1.31857675081587,0.0016938210789771361,14.217923221029729,24.082618051058656,4.795470124853093,2338.0,False,False,True
forest_free,10.0,2011-03,2021-02,2016-02,9.924709103353868,6193,61,-29.93147286935298,4.599996948880277,790.4084472787031,107.66799866845884,-15.918010815155638,1.3534499665793411,0.0016976867602574448,16.585781875110044,28.15746229789222,12.239451482736582,2338.0,False,False,True
forest_free,10.0,2011-06,2021-05,2016-05,9.91649555099247,6199,61,-57.850726424943204,13.745311873044306,374.8975428916699,64.74575461901158,-13.804594477616046,1.2952165309409327,0.0016946656176440897,18.850460629041233,31.94522750478976,18.140633027173713,2338.0,False,False,True
forest_free,10.0,2011-09,2021-08,2016-08,9.91649555099247,6209,60,-52.49348955114551,13.849339105904345,348.9052323521202,57.19539915383226,-13.387015826231458,1.2845530191375631,0.0016567477737953948,15.899758950971586,26.341890245905578,12.95487441967412,2338.0,False,False,True
forest_free,10.0,2011-12,2021-11,2016-11,9.919233401779604,6269,60,-44.80811851103852,13.998783726975368,376.67812679925703,86.66902616837355,-10.166599975669856,1.2722055789607527,0.001630506862056869,12.10362552974916,19.73504448202271,9.568444506352856,2338.0,False,False,True
forest_free,10.0,2012-03,2022-02,2017-02,9.921971252566735,6296,60,-49.748423898633305,13.922251808189854,399.34422018206686,93.05769240031285,-8.196178549506831,1.2225684906398535,0.0014644842918483671,10.814900624064927,15.838252081844189,7.642073532337358,2338.0,False,False,True
forest_free,10.0,2012-06,2022-05,2017-05,9.91375770020534,6314,60,-47.943437996771934,13.703439728923358,415.18770956361493,106.88590415947654,-8.985222369560688,1.1561612438725952,0.0011725665280738755,8.284819587527346,9.714502139465377,0.7292797699046893,2338.0,False,False,True
forest_free,10.0,2012-09,2022-08,2017-08,9.91375770020534,6329,60,-36.11574759716958,13.60248861355093,455.97795558098716,184.763735138615,-7.771313904598853,1.1215924789507083,0.0011949857056565837,1.3913799526758193,1.6626791545847381,-6.108634750014115,2338.0,False,False,True
forest_free,10.0,2012-12,2022-11,2017-11,9.91649555099247,6328,60,-28.896364797728904,6.339255849356456,523.8007446781908,82.21286055062582,-2.61026891342333,1.1228288809809621,0.001455379898570392,-4.799928614026586,-6.985719619427136,-9.595988532850466,2338.0,False,False,True
forest_free,10.0,2013-03,2023-02,2018-02,9.921971252566735,6280,60,-33.427365544104816,6.169179125400163,523.8030942371026,68.76414599232132,3.9746328181884576,1.1043417719367463,0.0016003939547266691,-5.679963324334944,-9.090178967334838,-5.115546149146381,2338.0,False,False,True
forest_free,10.0,2013-06,2023-05,2018-05,9.91375770020534,6286,60,-37.73319528957355,6.331839489320396,523.798504965625,66.26187168762188,9.331089623996094,1.1164021484865403,0.0015638135691409612,-5.723490128528401,-8.950471525837058,0.3806180981590366,2338.0,False,False,True
forest_free,10.0,2013-09,2023-08,2018-08,9.91375770020534,6289,60,-30.139462326421054,6.2776490991538365,523.7975637300797,82.17855673326387,15.739272529228838,1.1497421357057758,0.0016288227976575928,-11.3219515067723,-18.441452728204457,-2.7021801989756185,2338.0,False,False,True
forest_free,10.0,2013-12,2023-11,2018-11,9.91649555099247,6290,60,-30.811918522599434,6.122887629942574,523.8000264770054,72.31824986198694,26.976814124307793,1.201708893642594,0.0018086565158234834,-15.854184157317535,-28.6747734791978,-1.6979593548900063,2338.0,False,False,True
forest_free,10.0,2014-03,2024-02,2019-02,9.921971252566735,6288,60,-29.4461880223033,6.6864748804305965,463.5500072539859,73.8321212306547,29.99999999999994,1.157939252970703,0.0018730242858974288,-14.393927725640628,-26.96017619957724,3.039823800422699,2338.0,True,False,False
forest_free,10.0,2014-06,2024-05,2019-05,9.91649555099247,6283,60,-22.487279418522068,12.205591575953653,414.48263789687013,209.53246463663038,29.99999999999999,1.0811138209211308,0.0018812937434395565,-10.680297425110158,-20.092776723933344,9.907223276066645,2338.0,True,False,False
forest_free,10.0,2014-09,2024-08,2019-08,9.91649555099247,6273,60,-16.53976865867355,12.794140658591768,332.6254388355837,156.4345330990572,29.999999999999996,1.0504110770408464,0.0018420995867726563,-11.355655686276096,-20.918248647221763,9.081751352778234,2338.0,True,False,False
forest_free,10.0,2014-12,2024-11,2019-11,9.919233401779604,6261,60,-98.69157044773516,23410129.99061121,174.53934278229704,7856804.994262919,29.999999999999996,1.0120057018486863,0.0018252988445263856,-13.413221782833586,-24.48313822158229,5.516861778417706,2338.0,True,False,False
forest_free,10.0,2015-03,2025-02,2020-02,9.924709103353868,6249,60,-107.88226997602865,50.7799027498992,176.00278617752284,10.660213305890156,29.999999999999996,1.033015360326279,0.0018481278600417776,-11.962345607686684,-22.107944189014148,7.892055810985848,2338.0,True,False,False
forest_free,10.0,2015-06,2025-05,2020-05,9.91649555099247,6237,60,16.855081613872088,4152929.474095905,9999.999999931772,2463903367.9108715,29.999999999999996,4152929.4611663553,0.0021628670210513215,-10.819776190278278,-23.401737097109194,6.598262902890802,2338.0,True,True,False
forest_free,10.0,2015-09,2025-08,2020-08,9.91649555099247,6219,60,16.85027964587672,2108776.952651888,9999.999336696414,1251478902.946757,29.999999999995747,2108776.960223349,0.0022244094401056127,-14.221275224757928,-31.6339388602916,-1.633938860295853,2338.0,True,True,False
forest_free,10.0,2015-12,2025-11,2020-11,9.919233401779604,6209,59,16.776425016065538,2171123.499633884,9999.999790871687,1294151357.504434,29.999999880046875,2171123.4765351093,0.0022746000634947406,-18.320106776646544,-41.670916037390654,-11.670916157343779,2338.0,True,True,False
forest_free,10.0,2016-03,2026-02,2021-02,9.921971252566735,6204,58,18.35498123451168,3147192.7079164153,9999.99999383895,1714625946.3172987,29.9999999819613,3147192.717230316,0.002158307719179516,-13.988777516436423,-30.192086495609587,-0.1920865136482881,2338.0,True,True,False
forest_free,12.0,2005-03,2017-02,2011-02,11.9233401779603,5332,56,-35.55158533117066,3.7674267837798125,1665.9560634938127,154.61271606241147,-29.999999992713207,2.609441500589255,0.0020620312847157286,6.312967858013241,13.017537222628144,-16.982462770085064,2338.0,True,False,False
forest_free,12.0,2005-06,2017-05,2011-05,11.832991101984941,5461,56,-42.431133887643526,7193114.113189298,2475.793507904506,419707517.8986537,-22.61997667573991,7193114.2401113175,0.002078531540023761,9.148392843298268,19.015223065323106,-3.604753610416804,2338.0,False,True,False
forest_free,12.0,2005-09,2017-08,2011-08,11.915126625598905,5593,56,-43.403272352875966,4181324.720769834,2728.2738195394295,262832690.23869553,-22.459138964910025,4181324.7060642526,0.0020583894150625133,8.556698700648015,17.613018033293034,-4.846120931616991,2338.0,False,True,False
forest_free,12.0,2005-12,2017-11,2011-11,11.917864476386036,5720,57,-44.739783151505286,6088931.979703803,2762.9079526857536,376022357.2959407,-22.361475241664092,6088931.94965045,0.002047825123638619,7.564533450731745,15.490841649013205,-6.870633592650886,2338.0,False,True,False
