cluster_id,cluster_label,n_wells,n_years_min,n_years_median,n_years_max,record_length_break_years,n_wells_long,n_years_long_min,n_years_long_max,mean_slope_long_mm_yr,n_wells_short,n_years_short_min,n_years_short_max,mean_slope_short_mm_yr,slope_vs_record_length_mm_yr_per_year,slope_vs_record_length_p,observed_per_well_mean_mm_yr,observed_balanced_annual_mean_mm_yr,composition_gap_mm_yr
1,C1 (Lake Edge),7,15.0,16.0,20.0,20.0,3,20.0,20.0,-11.34837092731816,4,15.0,16.0,-7.453727865673018,-0.839115587542266,0.17373599772122655,-9.12286060637808,-10.974881583349337,1.8520209769712572
2,C2 (Dune),28,11.0,16.0,21.0,20.0,4,20.0,21.0,-11.016594103836576,24,11.0,17.0,0.6178955330790871,-1.9822047256134585,0.020317130906564854,-1.044174415051722,-11.09881869571975,10.054644280668027
3,C3 (Western Residual),17,11.0,19.0,21.0,13.0,16,13.0,21.0,-8.498798936343732,1,11.0,11.0,8.454545454545576,-2.8745006049584436,0.0066774783331518045,-7.501543383938477,-14.150669897030625,6.649126513092147
4,C4 (Main Forest),4,8.0,15.0,19.0,19.0,2,19.0,19.0,-12.575226700848884,2,8.0,11.0,11.305386416860632,-3.8117567396510266,0.4535542930260505,-0.6349201419941259,-6.526052917572081,5.8911327755779554
5,C5 (Coastal Forest),3,10.0,20.0,20.0,20.0,2,20.0,20.0,-32.379699248120076,1,10.0,10.0,-59.16339869280601,,,-41.307599063015395,-16.147206250921386,-25.16039281209401
