key,Cluster,E,N,dry_m,wet_m,swing_mm,amplification,n_dry,n_wet,flagged
nw1,3.0,241725.0,364139.0,-1.9611111111111112,-1.0791666666666668,881.9444444444445,1.2393554145105166,3,4,False
nw2,3.0,241703.008,364112.082,-1.1533333333333335,-0.25833333333333336,895.0000000000002,1.257701778126893,3,4,False
nw3,2.0,242091.94,363939.361,-0.7102869352869353,-0.12333333333333334,586.9536019536021,0.8248185350335527,3,4,False
nw4,2.0,242431.164,363744.512,-0.55,-0.04416666666666666,505.83333333333337,0.7108240030940632,3,4,False
nw4b,2.0,242414.677,363751.66,-0.5944444444444444,-0.06583333333333333,528.6111111111111,0.7428325523822088,3,4,False
nw5,3.0,241711.757,363023.697,-0.9844444444444446,-0.02916666666666667,955.2777777777779,1.3424073292918637,3,4,False
nw6,3.0,241444.307,363316.599,-0.7616666666666667,-0.0008333333333333374,760.8333333333334,1.2774718640632923,2,4,False
nw7,3.0,241423.695,363584.862,-1.5583333333333333,-0.7333333333333333,825.0000000000001,1.3852104550083895,2,4,False
nw8,5.0,241276.11,363480.129,-1.6983333333333335,-0.9700000000000001,728.3333333333334,0.9697216377320989,2,1,True
nw8b,3.0,241272.0,363487.0,-1.6233333333333333,-0.8844444444444445,738.8888888888888,1.3223216206082926,1,3,True
nw9,5.0,240937.259,363567.162,-1.0923333333333332,-0.43483333333333335,657.4999999999998,0.9239540995736667,3,4,False
nw10,4.0,241435.0,364325.025,-1.4483333333333333,-0.37666666666666665,1071.6666666666665,1.7993743890310994,2,4,False
nw11,3.0,241689.0,364237.0,-1.2111111111111112,-0.2925,918.6111111111113,1.2908813719011902,3,4,False
nw13,3.0,241761.0,364180.0,-1.1116666666666666,-0.275,836.6666666666665,1.1247863076145888,2,4,False
ceh1,3.0,241595.864,363948.335,-1.1188888888888888,0.08666666666666667,1205.5555555555554,1.6941110232994145,3,4,False
ceh2,4.0,241421.0,363979.0,-1.5866666666666664,-0.5341666666666667,1052.4999999999998,1.7671927319955507,2,4,False
ceh3,5.0,240743.0,363388.0,-1.2944444444444445,-0.9608333333333333,333.6111111111112,0.46880814262271836,3,4,False
ceh4,3.0,241131.693,363211.05,-0.9355555555555557,-0.31,625.5555555555557,0.8790640609378532,3,4,False
ceh5,1.0,242521.077,364465.817,-0.5544444444444444,-0.08249999999999999,471.9444444444444,0.6632015273238953,3,4,False
ceh6,1.0,242621.679,364724.912,-0.4222222222222223,-0.11333333333333333,308.8888888888889,0.43406715620021874,3,4,False
ceh7,2.0,243385.803,363612.9,-0.6666666666666666,-0.07500000000000001,591.6666666666665,0.9868918174074256,1,2,True
ceh8,2.0,243149.932,363382.305,-0.6333333333333334,-0.16833333333333333,465.00000000000006,0.7003175805156431,3,2,False
ceh9,3.0,241711.211,363459.012,-1.0811111111111111,-0.19583333333333333,885.2777777777778,1.2440395924551233,3,4,False
ceh10,2.0,242538.185,363173.915,-1.6444444444444442,-0.7066666666666666,937.7777777777776,1.317815395082678,3,4,False
ceh11,1.0,242618.62,362688.287,-0.7033333333333335,-0.12833333333333335,575.0000000000002,0.808020695444652,3,4,False
ceh13,4.0,240964.108,364066.298,-1.5933333333333333,-0.3891666666666667,1204.1666666666665,2.0218475833203255,2,4,False
ceh14,4.0,241292.0,364488.0,-1.5233333333333334,-0.12416666666666668,1399.1666666666667,2.349260963595036,2,4,False
ceh15,4.0,240679.892,363754.368,-1.5843333333333334,-0.47433333333333333,1110.0,1.4843680391074756,2,2,False
