Cluster_ID,Cluster,n,beta_1_recharge_mean,beta_2_atmospheric_draw_mean,beta_3_drainage_mean,beta_3_pct_mean
1,C1 (Lake Edge),7,5.008373366726299,0.6249059958322531,0.10328260371266966,10.328260371266966
2,C2 (Dune),24,4.2751474245467795,1.6605224251267359,0.07297255517511957,7.297255517511957
3,C3 (Western Residual),21,3.498124990999274,1.7673511185681485,0.05769154821018011,5.769154821018011
4,C4 (Main Forest),9,2.4817562957511323,2.6431854656698355,0.0159942136798052,1.5994213679805198
5,C5 (Coastal Forest),5,2.3139098907095823,1.2078851495326899,0.04601224358742252,4.601224358742252
