panel,coefficient,n,n_clusters,R2_adj_covariates,R2_adj_with_clusters,delta_R2_adj,AIC_covariates,AIC_with_clusters,delta_AIC,F_stat,F_pvalue,df_num,df_den,p_dist_coast,p_dist_lake,p_ground_elev,p_in_forest,p_easting,p_northing
all,beta_1_recharge,66,5,0.6960984974449739,0.7071290502979732,0.011030552852999365,116.56778264250153,117.49417749715472,0.9263948546531964,1.555537019794135,0.19915328568098822,4,55,0.02455960336967196,0.08327552093117938,0.14283015569852267,0.027905249028706957,0.014622315513332108,0.013697632958850117
all,beta_2_atmospheric_draw,66,5,0.6777714634912122,0.7753147925188473,0.09754332902763507,63.190034350309475,42.759547751835726,-20.43048659847375,7.403466072764512,7.614610747226828e-05,4,55,0.4339237910661252,0.16647059278497284,1.5035924062549046e-14,0.24004230482627315,0.6101078479918891,0.4064793036892488
all,beta_3_drainage,66,5,0.6288358113778696,0.6836960880893503,0.05486027671148075,-341.28904421475204,-348.4786328502822,-7.1895886355301855,3.558264539336216,0.01186868070486476,4,55,0.010141524202322012,0.11184687311436772,1.731770047566134e-05,0.027843934351039032,0.008687069706795737,0.005083763228322686
forest_free,beta_1_recharge,50,3,0.46086600110421727,0.5271540666549266,0.06628806555070932,95.18815896813116,90.30243151742825,-4.885727450702916,4.084170422697361,0.023944765720688304,2,42,0.8863893161749473,0.07271169712264645,0.3228918936226645,,0.9954898962839778,0.8890159387759698
forest_free,beta_2_atmospheric_draw,50,3,0.47239852841552943,0.6334632456623186,0.16106471724678917,54.386127983214834,37.84800674852741,-16.538121234687424,10.667308223515555,0.0001793787764004024,2,42,0.40541088711715995,0.36353947334164693,9.128629181152727e-08,,0.44407405196215405,0.3636749046376751
forest_free,beta_3_drainage,50,3,0.4219935020990522,0.5450187045011927,0.12302520240214054,-259.6594754709363,-269.95191631969186,-10.292440848755575,6.948715869472906,0.0024717591966813093,2,42,0.8257298975989159,0.03089893396682743,0.01519299947768893,,0.7338554141946351,0.5678914019938537
